iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
48 2022-01-03 02:33:53 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.34%
49 2022-01-03 02:33:55 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.06%
50 2022-01-03 02:33:57 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 10.02%
51 2022-01-03 02:34:00 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.17%
52 2022-01-03 02:34:02 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.81%
53 2022-01-03 02:34:04 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.82%
54 2022-01-03 02:34:06 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.99%
55 2022-01-03 02:34:08 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.36%
56 2022-01-03 02:34:10 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.42%
57 2022-01-03 02:34:12 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.18%
58 2022-01-03 02:34:14 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.32%
59 2022-01-03 02:34:16 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.11%
60 2022-01-03 02:34:18 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.90%
61 2022-01-03 02:34:20 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.73%
62 2022-01-03 02:34:22 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.63%
63 2022-01-03 02:34:24 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.83%
64 2022-01-03 02:34:26 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.59%
65 2022-01-03 02:34:28 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.99%
66 2022-01-03 02:34:30 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.72%
67 2022-01-03 02:34:32 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.16%
68 2022-01-03 02:34:34 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.50%
69 2022-01-03 02:34:36 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.88%
70 2022-01-03 02:34:38 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 10.25%
71 2022-01-03 02:34:40 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.25%
72 2022-01-03 02:34:42 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.62%
73 2022-01-03 02:34:44 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.78%
74 2022-01-03 02:34:46 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.67%
75 2022-01-03 02:34:48 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 10.25%
76 2022-01-03 02:34:50 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.07%
77 2022-01-03 02:34:52 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.42%
78 2022-01-03 02:34:54 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.42%
79 2022-01-03 02:34:56 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.91%
80 2022-01-03 02:34:58 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.15%
81 2022-01-03 02:35:00 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.90%
82 2022-01-03 02:35:02 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.28%
83 2022-01-03 02:35:04 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.56%
