iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
49 2022-01-03 03:07:16 ROS_VNF_command 8409280e6b67 commander_robot_1 168.3MiB / 1.941GiB 8.47% 10.77%
50 2022-01-03 03:07:18 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 10.23%
51 2022-01-03 03:07:20 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 14.89%
52 2022-01-03 03:07:22 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 10.05%
53 2022-01-03 03:07:24 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 10.20%
54 2022-01-03 03:07:26 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 12.94%
55 2022-01-03 03:07:28 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 14.27%
56 2022-01-03 03:07:30 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 10.59%
57 2022-01-03 03:07:32 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 12.28%
58 2022-01-03 03:07:34 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 9.26%
59 2022-01-03 03:07:36 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 11.69%
60 2022-01-03 03:07:38 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 12.01%
61 2022-01-03 03:07:40 ROS_VNF_command 8409280e6b67 commander_robot_1 168.4MiB / 1.941GiB 8.47% 12.05%
62 2022-01-03 03:07:42 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 10.16%
63 2022-01-03 03:07:44 ROS_VNF_command 8409280e6b67 commander_robot_1 168.6MiB / 1.941GiB 8.48% 11.29%
64 2022-01-03 03:07:46 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 9.77%
65 2022-01-03 03:07:48 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 11.15%
66 2022-01-03 03:07:50 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 10.59%
67 2022-01-03 03:07:52 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 9.55%
68 2022-01-03 03:07:54 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 8.50%
69 2022-01-03 03:07:56 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 11.55%
70 2022-01-03 03:07:58 ROS_VNF_command 8409280e6b67 commander_robot_1 168.5MiB / 1.941GiB 8.48% 14.85%
71 2022-01-03 03:08:00 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 13.84%
72 2022-01-03 03:08:02 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 14.34%
73 2022-01-03 03:08:04 ROS_VNF_command 8409280e6b67 commander_robot_1 168.6MiB / 1.941GiB 8.48% 9.96%
74 2022-01-03 03:08:06 ROS_VNF_command 8409280e6b67 commander_robot_1 168.6MiB / 1.941GiB 8.48% 13.15%
75 2022-01-03 03:08:08 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 11.75%
76 2022-01-03 03:08:10 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 12.84%
77 2022-01-03 03:08:12 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 11.92%
78 2022-01-03 03:08:14 ROS_VNF_command 8409280e6b67 commander_robot_1 168.6MiB / 1.941GiB 8.48% 13.72%
79 2022-01-03 03:08:16 ROS_VNF_command 8409280e6b67 commander_robot_1 168.6MiB / 1.941GiB 8.48% 11.26%
80 2022-01-03 03:08:18 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 13.19%
81 2022-01-03 03:08:20 ROS_VNF_command 8409280e6b67 commander_robot_1 168.7MiB / 1.941GiB 8.49% 10.33%
82 2022-01-03 03:08:22 ROS_VNF_command 8409280e6b67 commander_robot_1 168.6MiB / 1.941GiB 8.48% 9.32%
