iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
44 2022-01-03 01:40:56 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 17.40%
45 2022-01-03 01:40:58 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 21.64%
46 2022-01-03 01:41:00 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.16%
47 2022-01-03 01:41:02 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 17.10%
48 2022-01-03 01:41:04 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 18.56%
49 2022-01-03 01:41:06 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 18.45%
50 2022-01-03 01:41:08 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 18.14%
51 2022-01-03 01:41:10 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.20%
52 2022-01-03 01:41:12 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.20%
53 2022-01-03 01:41:15 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.94%
54 2022-01-03 01:41:17 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.54%
55 2022-01-03 01:41:19 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 18.04%
56 2022-01-03 01:41:21 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 18.82%
57 2022-01-03 01:41:23 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.82%
58 2022-01-03 01:41:25 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.89%
59 2022-01-03 01:41:27 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 17.82%
60 2022-01-03 01:41:29 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.40%
61 2022-01-03 01:41:31 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 20.42%
62 2022-01-03 01:41:33 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 21.53%
63 2022-01-03 01:41:35 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.11%
64 2022-01-03 01:41:37 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 22.69%
65 2022-01-03 01:41:39 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.63%
66 2022-01-03 01:41:41 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.00%
67 2022-01-03 01:41:43 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.37%
68 2022-01-03 01:41:45 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.50%
69 2022-01-03 01:41:47 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.58%
70 2022-01-03 01:41:49 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.07%
71 2022-01-03 01:41:51 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.54%
72 2022-01-03 01:41:53 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 21.90%
73 2022-01-03 01:41:55 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.75%
74 2022-01-03 01:41:57 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 19.65%
75 2022-01-03 01:41:59 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.17%
76 2022-01-03 01:42:01 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.74%
77 2022-01-03 01:42:03 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.25%
78 2022-01-03 01:42:05 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.16%
79 2022-01-03 01:42:07 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.45%
80 2022-01-03 01:42:09 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 20.33%
81 2022-01-03 01:42:11 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 16.92%
82 2022-01-03 01:42:13 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 17.96%
83 2022-01-03 01:42:15 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.69%
84 2022-01-03 01:42:17 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.95%
85 2022-01-03 01:42:19 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 18.86%
86 2022-01-03 01:42:21 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 19.94%
87 2022-01-03 01:42:23 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 18.87%
88 2022-01-03 01:42:25 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.87%
89 2022-01-03 01:42:27 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.36%
90 2022-01-03 01:42:29 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.67%
91 2022-01-03 01:42:31 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 18.59%
92 2022-01-03 01:42:33 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 21.49%
93 2022-01-03 01:42:35 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 18.59%
94 2022-01-03 01:42:37 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 21.22%
95 2022-01-03 01:42:39 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.98%
96 2022-01-03 01:42:41 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 20.43%
97 2022-01-03 01:42:43 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 20.77%
