iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
46 2022-01-03 03:07:09 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 17.11%
47 2022-01-03 03:07:11 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 17.72%
48 2022-01-03 03:07:14 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 20.95%
49 2022-01-03 03:07:16 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.47%
50 2022-01-03 03:07:18 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.38%
51 2022-01-03 03:07:20 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 21.55%
52 2022-01-03 03:07:22 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.25%
53 2022-01-03 03:07:24 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 17.52%
54 2022-01-03 03:07:26 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 18.71%
55 2022-01-03 03:07:28 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 22.50%
56 2022-01-03 03:07:30 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 18.43%
57 2022-01-03 03:07:32 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 21.08%
58 2022-01-03 03:07:34 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.67%
59 2022-01-03 03:07:36 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 19.56%
60 2022-01-03 03:07:38 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 22.25%
61 2022-01-03 03:07:40 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 22.37%
62 2022-01-03 03:07:42 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 17.71%
63 2022-01-03 03:07:44 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 20.54%
64 2022-01-03 03:07:46 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.01%
65 2022-01-03 03:07:48 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.89%
66 2022-01-03 03:07:50 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.49%
67 2022-01-03 03:07:52 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 17.56%
68 2022-01-03 03:07:54 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 17.85%
69 2022-01-03 03:07:56 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 18.40%
70 2022-01-03 03:07:58 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 19.68%
71 2022-01-03 03:08:00 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 22.23%
72 2022-01-03 03:08:02 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 21.71%
73 2022-01-03 03:08:04 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.43%
74 2022-01-03 03:08:06 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 20.57%
75 2022-01-03 03:08:08 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 18.98%
76 2022-01-03 03:08:10 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 22.91%
77 2022-01-03 03:08:12 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 19.69%
78 2022-01-03 03:08:14 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 22.66%
79 2022-01-03 03:08:16 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 23.15%
80 2022-01-03 03:08:18 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 19.89%
81 2022-01-03 03:08:20 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 18.46%
82 2022-01-03 03:08:22 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 19.56%
83 2022-01-03 03:08:24 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 18.27%
84 2022-01-03 03:08:26 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.64%
85 2022-01-03 03:08:28 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 17.83%
86 2022-01-03 03:08:30 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 18.36%
87 2022-01-03 03:08:32 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 17.88%
88 2022-01-03 03:08:34 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 21.05%
89 2022-01-03 03:08:36 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 21.00%
90 2022-01-03 03:08:38 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 21.59%
91 2022-01-03 03:08:40 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 19.27%
92 2022-01-03 03:08:42 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 18.94%
93 2022-01-03 03:08:44 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 20.65%
94 2022-01-03 03:08:46 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 21.62%
95 2022-01-03 03:08:48 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 20.10%
96 2022-01-03 03:08:51 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 20.29%
97 2022-01-03 03:08:53 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 19.97%
98 2022-01-03 03:08:55 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 18.42%
99 2022-01-03 03:08:57 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 19.51%
100 2022-01-03 03:08:59 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.92%
101 2022-01-03 03:09:01 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.49%
102 2022-01-03 03:09:03 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.75% 19.45%
103 2022-01-03 03:09:05 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 20.78%
104 2022-01-03 03:09:07 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 21.13%
105 2022-01-03 03:09:09 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 17.26%
106 2022-01-03 03:09:11 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 18.09%
107 2022-01-03 03:09:13 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 22.36%
108 2022-01-03 03:09:15 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.07%
109 2022-01-03 03:09:17 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.61%
110 2022-01-03 03:09:19 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 20.65%
111 2022-01-03 03:09:21 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 18.71%
112 2022-01-03 03:09:23 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 19.35%
113 2022-01-03 03:09:25 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.82%
114 2022-01-03 03:09:27 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 19.49%
115 2022-01-03 03:09:29 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 18.09%
116 2022-01-03 03:09:31 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 20.39%
117 2022-01-03 03:09:33 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.58%
118 2022-01-03 03:09:35 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.6MiB / 3.844GiB 8.76% 20.60%
119 2022-01-03 03:09:37 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 22.45%
120 2022-01-03 03:09:39 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 19.96%
121 2022-01-03 03:09:41 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.87%
122 2022-01-03 03:09:43 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 21.55%
123 2022-01-03 03:09:45 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 17.58%
