timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640078391488763136,"2021-12-21,09:19:51",10.1.1.3,0.4096381664276123,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640078391847462912,"2021-12-21,09:19:51",10.1.1.3,353,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640078391865581056,"2021-12-21,09:19:51",10.1.1.3,0.37132692337036133,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640078392242476032,"2021-12-21,09:19:52",10.1.1.3,374,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640078392271764992,"2021-12-21,09:19:52",10.1.1.3,0.40428590774536133,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640078392720530944,"2021-12-21,09:19:52",10.1.1.3,445,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640078392789940992,"2021-12-21,09:19:52",10.1.1.3,0.5153870582580566,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640078393119200000,"2021-12-21,09:19:53",10.1.1.3,325,-0.270,-0.270,-0.270,0.000,0.000,0.000
1640078393163088128,"2021-12-21,09:19:53",10.1.1.3,0.3692798614501953,-0.270,-0.270,-0.270,0.000,0.000,0.000
1640078393499094016,"2021-12-21,09:19:53",10.1.1.3,334,-0.280,-0.280,-0.280,0.000,0.000,0.000
1640078393544964096,"2021-12-21,09:19:53",10.1.1.3,0.38065600395202637,-0.280,-0.280,-0.280,0.000,0.000,0.000
1640078393909416960,"2021-12-21,09:19:53",10.1.1.3,363,-0.290,-0.290,-0.290,0.000,0.000,0.000
1640078393938159872,"2021-12-21,09:19:53",10.1.1.3,0.39186787605285645,-0.290,-0.290,-0.290,0.000,0.000,0.000
1640078394307041792,"2021-12-21,09:19:54",10.1.1.3,364,-0.300,-0.300,-0.300,0.000,0.000,0.000
1640078394357220864,"2021-12-21,09:19:54",10.1.1.3,0.414931058883667,-0.300,-0.300,-0.300,0.000,0.000,0.000
1640078394743782912,"2021-12-21,09:19:54",10.1.1.3,384,-0.310,-0.310,-0.310,0.000,0.000,0.000
1640078394811485952,"2021-12-21,09:19:54",10.1.1.3,0.4526228904724121,-0.310,-0.310,-0.310,0.000,0.000,0.000
1640078395177530112,"2021-12-21,09:19:55",10.1.1.3,361,-0.320,-0.320,-0.320,0.000,0.000,0.000
1640078395208289024,"2021-12-21,09:19:55",10.1.1.3,0.3918740749359131,-0.320,-0.320,-0.320,0.000,0.000,0.000
1640078395568381184,"2021-12-21,09:19:55",10.1.1.3,349,-0.330,-0.330,-0.330,0.000,0.000,0.000
1640078395592622080,"2021-12-21,09:19:55",10.1.1.3,0.3733799457550049,-0.330,-0.330,-0.330,0.000,0.000,0.000
1640078395935142144,"2021-12-21,09:19:55",10.1.1.3,339,-0.340,-0.340,-0.340,0.000,0.000,0.000
1640078396003165952,"2021-12-21,09:19:56",10.1.1.3,0.4076120853424072,-0.340,-0.340,-0.340,0.000,0.000,0.000
1640078396487328000,"2021-12-21,09:19:56",10.1.1.3,0.4795651435852051,-0.350,-0.350,-0.350,0.000,0.000,0.000
1640078396488083968,"2021-12-21,09:19:56",10.1.1.3,480,-0.350,-0.350,-0.350,0.000,0.000,0.000
1640078396854710016,"2021-12-21,09:19:56",10.1.1.3,357,-0.360,-0.360,-0.360,0.000,0.000,0.000
1640078396897743104,"2021-12-21,09:19:56",10.1.1.3,0.4010279178619385,-0.360,-0.360,-0.360,0.000,0.000,0.000
1640078397233784832,"2021-12-21,09:19:57",10.1.1.3,334,-0.370,-0.370,-0.370,0.000,0.000,0.000
1640078397281472000,"2021-12-21,09:19:57",10.1.1.3,0.3817899227142334,-0.370,-0.370,-0.370,0.000,0.000,0.000
1640078397662721024,"2021-12-21,09:19:57",10.1.1.3,379,-0.380,-0.380,-0.380,0.000,0.000,0.000
1640078397663686912,"2021-12-21,09:19:57",10.1.1.3,0.3808479309082031,-0.380,-0.380,-0.380,0.000,0.000,0.000
1640078398033561856,"2021-12-21,09:19:58",10.1.1.3,368,-0.390,-0.390,-0.390,0.000,0.000,0.000
1640078398097385984,"2021-12-21,09:19:58",10.1.1.3,0.43191981315612793,-0.390,-0.390,-0.390,0.000,0.000,0.000
1640078398439819008,"2021-12-21,09:19:58",10.1.1.3,340,-0.400,-0.400,-0.400,0.000,0.000,0.000
1640078398457192960,"2021-12-21,09:19:58",10.1.1.3,0.35813212394714355,-0.400,-0.400,-0.400,0.000,0.000,0.000
1640078398821274112,"2021-12-21,09:19:58",10.1.1.3,362,-0.410,-0.410,-0.410,0.000,0.000,0.000
1640078398856355072,"2021-12-21,09:19:58",10.1.1.3,0.3971891403198242,-0.410,-0.410,-0.410,0.000,0.000,0.000
1640078399223673088,"2021-12-21,09:19:59",10.1.1.3,364,-0.420,-0.420,-0.420,0.000,0.000,0.000
1640078399264434944,"2021-12-21,09:19:59",10.1.1.3,0.4053499698638916,-0.420,-0.420,-0.420,0.000,0.000,0.000
1640078399597059840,"2021-12-21,09:19:59",10.1.1.3,328,-0.430,-0.430,-0.430,0.000,0.000,0.000
1640078399623374848,"2021-12-21,09:19:59",10.1.1.3,0.3559579849243164,-0.430,-0.430,-0.430,0.000,0.000,0.000
1640078401232090112,"2021-12-21,09:20:01",10.1.1.3,1.60664701461792,-0.440,-0.440,-0.440,0.000,0.000,0.000
1640078401221744896,"2021-12-21,09:20:00",10.1.1.3,486,-0.440,-0.450,-0.450,0.000,0.000,0.000
1640078401845886976,"2021-12-21,09:20:01",10.1.1.3,583,-0.450,-0.450,-0.450,0.000,0.000,0.000
1640078401878139136,"2021-12-21,09:20:01",10.1.1.3,0.6159939765930176,-0.450,-0.450,-0.450,0.000,0.000,0.000
1640078402304590848,"2021-12-21,09:20:02",10.1.1.3,425,-0.460,-0.460,-0.460,0.000,0.000,0.000
1640078402311283968,"2021-12-21,09:20:02",10.1.1.3,0.4319019317626953,-0.460,-0.460,-0.460,0.000,0.000,0.000
1640078402637588992,"2021-12-21,09:20:02",10.1.1.3,324,-0.470,-0.470,-0.470,0.000,0.000,0.000
1640078402664488192,"2021-12-21,09:20:02",10.1.1.3,0.35152697563171387,-0.470,-0.470,-0.470,0.000,0.000,0.000
1640078403035814144,"2021-12-21,09:20:03",10.1.1.3,369,-0.480,-0.480,-0.480,0.000,0.000,0.000
1640078403066971136,"2021-12-21,09:20:03",10.1.1.3,0.4005570411682129,-0.480,-0.480,-0.480,0.000,0.000,0.000
1640078403417095936,"2021-12-21,09:20:03",10.1.1.3,348,-0.490,-0.490,-0.490,0.000,0.000,0.000
1640078403446386944,"2021-12-21,09:20:03",10.1.1.3,0.3775980472564697,-0.490,-0.490,-0.490,0.000,0.000,0.000
1640078403837575936,"2021-12-21,09:20:03",10.1.1.3,388,-0.480,-0.480,-0.480,0.000,0.000,0.000
1640078404008999168,"2021-12-21,09:20:04",10.1.1.3,0.5604708194732666,-0.480,-0.480,-0.480,0.000,0.000,0.000
1640078404405519104,"2021-12-21,09:20:04",10.1.1.3,378,-0.470,-0.470,-0.470,0.000,0.000,0.000
1640078404447504896,"2021-12-21,09:20:04",10.1.1.3,0.420259952545166,-0.470,-0.470,-0.470,0.000,0.000,0.000
1640078404827887104,"2021-12-21,09:20:04",10.1.1.3,378,-0.460,-0.460,-0.460,0.000,0.000,0.000
1640078404871900160,"2021-12-21,09:20:04",10.1.1.3,0.4226720333099365,-0.460,-0.460,-0.460,0.000,0.000,0.000
1640078405302892032,"2021-12-21,09:20:05",10.1.1.3,426,-0.450,-0.450,-0.450,0.000,0.000,0.000
1640078405330790912,"2021-12-21,09:20:05",10.1.1.3,0.45420002937316895,-0.450,-0.450,-0.450,0.000,0.000,0.000
1640078405678872064,"2021-12-21,09:20:05",10.1.1.3,346,-0.440,-0.440,-0.440,0.000,0.000,0.000
