%Cpu(s):  3,2 us, 32,6 sy,  0,0 ni, 64,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  4,3 us, 28,7 sy,  0,0 ni, 67,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  4,3 us, 30,9 sy,  0,0 ni, 63,8 id,  0,0 wa,  0,0 hi,  1,1 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  4,3 us, 28,7 sy,  0,0 ni, 67,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  6,1 us, 29,3 sy,  0,0 ni, 63,6 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  3,9 us, 34,3 sy,  0,0 ni, 61,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  6,2 us, 33,3 sy,  0,0 ni, 60,4 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  4,3 us, 26,6 sy,  0,0 ni, 69,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  4,2 us, 28,4 sy,  0,0 ni, 67,4 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  6,7 us, 29,8 sy,  0,0 ni, 61,5 id,  0,0 wa,  0,0 hi,  1,9 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  3,9 us, 34,0 sy,  0,0 ni, 62,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  6,1 us, 28,6 sy,  0,0 ni, 64,3 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  4,0 us, 28,3 sy,  0,0 ni, 65,7 id,  2,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  3,2 us, 28,4 sy,  0,0 ni, 61,1 id,  6,3 wa,  0,0 hi,  1,1 si,  0,0 st
KiB Mem : 16288168 total,   168160 free,  7587204 used,  8532804 buff/cache
%Cpu(s):  3,1 us, 29,2 sy,  0,0 ni, 59,4 id,  7,3 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  3,1 us, 25,0 sy,  0,0 ni, 61,5 id,  9,4 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  2,2 us, 26,9 sy,  0,0 ni, 60,2 id, 10,8 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  3,9 us, 40,8 sy,  0,0 ni, 48,5 id,  6,8 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  7,2 us, 40,5 sy,  0,0 ni, 45,9 id,  6,3 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  5,1 us, 41,9 sy,  0,0 ni, 50,4 id,  0,0 wa,  0,0 hi,  2,6 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  6,0 us, 39,7 sy,  0,0 ni, 53,4 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  7,3 us, 40,9 sy,  0,0 ni, 51,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  5,9 us, 42,0 sy,  0,0 ni, 49,6 id,  0,0 wa,  0,0 hi,  2,5 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  4,3 us, 24,5 sy,  0,0 ni, 71,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  4,5 us, 34,5 sy,  0,0 ni, 60,9 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  4,4 us, 41,6 sy,  0,0 ni, 53,1 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  7,1 us, 40,7 sy,  0,0 ni, 52,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  9,2 us, 33,9 sy,  0,0 ni, 56,0 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  8,0 us, 41,6 sy,  0,0 ni, 49,6 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  3,9 us, 38,8 sy,  0,0 ni, 57,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  6,5 us, 41,1 sy,  0,0 ni, 51,4 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  5,9 us, 41,2 sy,  0,0 ni, 52,9 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  7,1 us, 42,9 sy,  0,0 ni, 50,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  5,4 us, 40,2 sy,  0,0 ni, 53,6 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  4,0 us, 38,0 sy,  0,0 ni, 58,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  8,0 us, 41,1 sy,  0,0 ni, 50,9 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168168 free,  7587080 used,  8532920 buff/cache
%Cpu(s):  8,2 us, 39,1 sy,  0,0 ni, 52,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
