timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640079258099913984,"2021-12-21,09:34:18",10.1.1.13,5531,0.000,0.000,0.000,0.000,0.000,0.000
1640079260496620032,"2021-12-21,09:34:20",10.1.1.13,396,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640079260533010944,"2021-12-21,09:34:20",10.1.1.13,0.43335700035095215,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640079260916673024,"2021-12-21,09:34:20",10.1.1.13,382,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640079260936412160,"2021-12-21,09:34:20",10.1.1.13,0.4020957946777344,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640079261383774976,"2021-12-21,09:34:21",10.1.1.13,420,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640079261401166080,"2021-12-21,09:34:21",10.1.1.13,0.46354103088378906,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640079262053257984,"2021-12-21,09:34:22",10.1.1.13,637,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640079262073196800,"2021-12-21,09:34:22",10.1.1.13,0.6557619571685791,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640079262495681024,"2021-12-21,09:34:22",10.1.1.13,419,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640079262551485952,"2021-12-21,09:34:22",10.1.1.13,0.47194600105285645,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640079263092979968,"2021-12-21,09:34:23",10.1.1.13,529,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640079263153917952,"2021-12-21,09:34:23",10.1.1.13,0.5900731086730957,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640079263663337984,"2021-12-21,09:34:23",10.1.1.13,506,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640079263685059072,"2021-12-21,09:34:23",10.1.1.13,0.5284709930419922,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640079264289746944,"2021-12-21,09:34:24",10.1.1.13,585,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640079264334900992,"2021-12-21,09:34:24",10.1.1.13,0.6304800510406494,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640079264739535104,"2021-12-21,09:34:24",10.1.1.13,403,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640079264784943104,"2021-12-21,09:34:24",10.1.1.13,0.4487431049346924,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640079265159169792,"2021-12-21,09:34:25",10.1.1.13,372,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640079265199547136,"2021-12-21,09:34:25",10.1.1.13,0.4131460189819336,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640079265579008000,"2021-12-21,09:34:25",10.1.1.13,377,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640079265626294016,"2021-12-21,09:34:25",10.1.1.13,0.42539000511169434,-0.110,-0.110,-0.110,0.000,0.000,0.000
