--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2021-12-31-00:44:16,-1,0,2.330405
1,2021-12-31-00:44:18,0,3,2.436780
2,2021-12-31-00:44:21,3,1,2.217215
3,2021-12-31-00:44:23,1,3,2.234654
4,2021-12-31-00:44:25,3,2,2.587948
5,2021-12-31-00:44:30,2,6,4.264404
6,2021-12-31-00:44:33,6,4,3.469909
7,2021-12-31-00:44:35,4,5,1.802132
8,2021-12-31-00:44:38,5,7,2.701431
9,2021-12-31-00:44:40,7,3,2.188809
10,2021-12-31-00:44:42,3,1,2.287021
11,2021-12-31-00:44:46,1,6,3.549576
12,2021-12-31-00:44:49,6,0,3.558154
13,2021-12-31-00:44:51,0,2,1.810939
14,2021-12-31-00:44:53,2,1,2.041149
15,2021-12-31-00:44:55,1,5,2.158512
16,2021-12-31-00:44:58,5,3,2.217243
17,2021-12-31-00:45:00,3,4,2.202986
18,2021-12-31-00:45:03,4,6,3.454907
19,2021-12-31-00:45:07,6,7,4.059154
20,2021-12-31-00:45:10,7,2,2.603375
21,2021-12-31-00:45:12,2,7,2.600133
22,2021-12-31-00:45:15,7,5,2.579772
23,2021-12-31-00:45:18,5,7,2.610318
24,2021-12-31-00:45:19,7,1,1.656997
25,2021-12-31-00:45:21,1,2,1.965285
26,2021-12-31-00:45:24,2,3,2.638580
27,2021-12-31-00:45:27,3,2,2.672873
28,2021-12-31-00:45:29,2,1,1.986909
29,2021-12-31-00:45:30,1,7,1.676429
30,2021-12-31-00:45:34,7,6,3.976193
31,2021-12-31-00:45:38,6,3,3.637340
32,2021-12-31-00:45:40,3,2,2.542101
33,2021-12-31-00:45:43,2,3,2.594710
34,2021-12-31-00:45:45,3,0,2.404786
35,2021-12-31-00:45:48,0,3,2.435289
36,2021-12-31-00:45:50,3,5,2.141488
37,2021-12-31-00:45:52,5,4,1.792798
38,2021-12-31-00:45:53,4,0,1.545043
39,2021-12-31-00:45:57,0,6,3.552485
40,2021-12-31-00:46:01,6,3,3.692362
41,2021-12-31-00:46:03,3,2,2.587388
42,2021-12-31-00:46:06,2,7,2.664426
43,2021-12-31-00:46:08,7,1,1.707091
44,2021-12-31-00:46:09,1,7,1.714864
45,2021-12-31-00:46:13,7,6,3.968054
46,2021-12-31-00:46:16,6,2,3.052425
47,2021-12-31-00:46:19,2,7,2.662961
48,2021-12-31-00:46:21,7,4,1.926413
49,2021-12-31-00:46:23,4,3,2.089554
50,2021-12-31-00:46:25,3,0,2.387785
51,2021-12-31-00:46:27,0,4,1.585333
52,2021-12-31-00:46:29,4,1,1.610842
53,2021-12-31-00:46:31,1,2,2.049128
54,2021-12-31-00:46:34,2,6,3.088536
55,2021-12-31-00:46:37,6,2,3.138950
56,2021-12-31-00:46:40,2,6,3.140841
57,2021-12-31-00:46:43,6,2,3.075392
58,2021-12-31-00:46:45,2,0,1.772862
59,2021-12-31-00:46:47,0,3,2.374436
60,2021-12-31-00:46:49,3,1,2.325064
61,2021-12-31-00:46:52,1,5,2.022227
62,2021-12-31-00:46:53,5,1,1.961236
63,2021-12-31-00:46:55,1,5,2.015052
64,2021-12-31-00:46:57,5,4,1.809005
65,2021-12-31-00:46:59,4,0,1.576627
66,2021-12-31-00:47:01,0,5,1.885659
67,2021-12-31-00:47:03,5,7,2.587358
68,2021-12-31-00:47:07,7,6,4.028064
69,2021-12-31-00:47:11,6,4,3.452085
70,2021-12-31-00:47:12,4,0,1.559810
71,2021-12-31-00:47:14,0,5,1.882672
72,2021-12-31-00:47:16,5,0,1.906860
73,2021-12-31-00:47:20,0,6,3.496429
74,2021-12-31-00:47:23,6,0,3.454533
75,2021-12-31-00:47:25,0,7,1.946128
76,2021-12-31-00:47:27,7,3,2.227274
77,2021-12-31-00:47:30,3,1,2.289733
78,2021-12-31-00:47:31,1,0,1.045363
79,2021-12-31-00:47:32,0,2,1.773921
80,2021-12-31-00:47:34,2,5,1.531748
81,2021-12-31-00:47:36,5,2,1.559227
82,2021-12-31-00:47:37,2,0,1.747808
83,2021-12-31-00:47:41,0,6,3.494512
