timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640078367420130048,"2021-12-21,09:19:27",10.1.1.7,57090,0.000,0.000,0.000,0.000,0.000,0.000
1640078369876414976,"2021-12-21,09:19:29",10.1.1.7,934,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078369907603968,"2021-12-21,09:19:29",10.1.1.7,0.9637949466705322,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078370310929152,"2021-12-21,09:19:30",10.1.1.7,400,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078370356786944,"2021-12-21,09:19:30",10.1.1.7,0.44614410400390625,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078370723897856,"2021-12-21,09:19:30",10.1.1.7,363,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078370783934208,"2021-12-21,09:19:30",10.1.1.7,0.4233250617980957,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078371438227968,"2021-12-21,09:19:31",10.1.1.7,607,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078371474505984,"2021-12-21,09:19:31",10.1.1.7,0.6415340900421143,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078371921238016,"2021-12-21,09:19:31",10.1.1.7,437,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078371953437184,"2021-12-21,09:19:31",10.1.1.7,0.4698610305786133,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078372445280000,"2021-12-21,09:19:32",10.1.1.7,490,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078372480829952,"2021-12-21,09:19:32",10.1.1.7,0.5257549285888672,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078372949632000,"2021-12-21,09:19:32",10.1.1.7,0.4618849754333496,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078374180752128,"2021-12-21,09:19:34",10.1.1.7,1.1056640148162842,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078375961609984,"2021-12-21,09:19:35",10.1.1.7,1125,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078376437465856,"2021-12-21,09:19:36",10.1.1.7,2.000734806060791,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078380749308160,"2021-12-21,09:19:39",10.1.1.7,1775,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640078380813220096,"2021-12-21,09:19:40",10.1.1.7,2.9595251083374023,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640078381262525184,"2021-12-21,09:19:41",10.1.1.7,440,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640078381283813120,"2021-12-21,09:19:41",10.1.1.7,0.461683988571167,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640078381751108864,"2021-12-21,09:19:41",10.1.1.7,0.4586610794067383,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640078381752566016,"2021-12-21,09:19:41",10.1.1.7,451,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640078382301899008,"2021-12-21,09:19:42",10.1.1.7,537,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640078382334004992,"2021-12-21,09:19:42",10.1.1.7,0.5701310634613037,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640078382718551040,"2021-12-21,09:19:42",10.1.1.7,378,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640078382786695936,"2021-12-21,09:19:42",10.1.1.7,0.44473910331726074,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640078383247016960,"2021-12-21,09:19:43",10.1.1.7,458,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640078383264416000,"2021-12-21,09:19:43",10.1.1.7,0.47556400299072266,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640078388075362816,"2021-12-21,09:19:48",10.1.1.7,4806,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640078388117788160,"2021-12-21,09:19:48",10.1.1.7,4.849292039871216,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640078388544035840,"2021-12-21,09:19:48",10.1.1.7,424,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640078388605547008,"2021-12-21,09:19:48",10.1.1.7,0.4855940341949463,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640078389108393984,"2021-12-21,09:19:49",10.1.1.7,436,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640078389155915008,"2021-12-21,09:19:49",10.1.1.7,0.48754215240478516,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640078389644589824,"2021-12-21,09:19:49",10.1.1.7,0.4867568016052246,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640078389644943872,"2021-12-21,09:19:49",10.1.1.7,487,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640078390103001088,"2021-12-21,09:19:50",10.1.1.7,444,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640078390130859008,"2021-12-21,09:19:50",10.1.1.7,0.4728729724884033,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640078390518928896,"2021-12-21,09:19:50",10.1.1.7,383,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640078390577861120,"2021-12-21,09:19:50",10.1.1.7,0.44289207458496094,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640078391042637056,"2021-12-21,09:19:51",10.1.1.7,462,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640078391049732096,"2021-12-21,09:19:51",10.1.1.7,0.4695301055908203,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640078391364753920,"2021-12-21,09:19:51",10.1.1.7,310,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640078391420231936,"2021-12-21,09:19:51",10.1.1.7,0.3645188808441162,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640078392002413056,"2021-12-21,09:19:52",10.1.1.7,577,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640078392023441920,"2021-12-21,09:19:52",10.1.1.7,0.5986449718475342,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640078392400878848,"2021-12-21,09:19:52",10.1.1.7,374,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640078392414244864,"2021-12-21,09:19:52",10.1.1.7,0.38828182220458984,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640078392782185984,"2021-12-21,09:19:52",10.1.1.7,365,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640078392822083072,"2021-12-21,09:19:52",10.1.1.7,0.4055318832397461,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640078393206678016,"2021-12-21,09:19:53",10.1.1.7,382,-0.270,-0.270,-0.270,0.000,0.000,0.000
