--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
131,2022-01-02-10:56:34,4,3,2.057460
132,2022-01-02-10:56:38,3,6,3.633480
133,2022-01-02-10:56:41,6,3,3.583112
134,2022-01-02-10:56:43,3,5,2.159815
135,2022-01-02-10:56:45,5,4,1.761858
136,2022-01-02-10:56:47,4,5,1.755668
137,2022-01-02-10:56:48,5,2,1.522658
138,2022-01-02-10:56:50,2,0,1.827475
139,2022-01-02-10:56:52,0,5,1.842373
140,2022-01-02-10:56:54,5,1,1.894137
141,2022-01-02-10:56:56,1,2,1.956194
142,2022-01-02-10:56:59,2,6,3.030645
143,2022-01-02-10:57:02,6,0,3.394463
144,2022-01-02-10:57:04,0,7,1.923788
145,2022-01-02-10:57:06,7,4,1.862108
146,2022-01-02-10:57:08,4,5,1.753622
147,2022-01-02-10:57:10,5,0,1.856941
148,2022-01-02-10:57:12,0,5,1.942450
149,2022-01-02-10:57:13,5,4,1.756391
150,2022-01-02-10:57:15,4,5,1.739229
151,2022-01-02-10:57:18,5,6,3.073589
152,2022-01-02-10:57:21,6,2,3.096894
153,2022-01-02-10:57:23,2,1,1.934026
154,2022-01-02-10:57:25,1,7,1.634759
155,2022-01-02-10:57:27,7,0,1.919694
156,2022-01-02-10:57:28,0,4,1.515506
157,2022-01-02-10:57:30,4,7,1.823398
158,2022-01-02-10:57:32,7,0,1.902350
159,2022-01-02-10:57:34,0,5,1.849411
160,2022-01-02-10:57:36,5,0,1.844456
161,2022-01-02-10:57:38,0,3,2.362756
162,2022-01-02-10:57:40,3,4,2.119482
163,2022-01-02-10:57:44,4,6,3.437156
164,2022-01-02-10:57:47,6,0,3.429485
165,2022-01-02-10:57:49,0,5,1.846103
166,2022-01-02-10:57:51,5,1,1.946322
167,2022-01-02-10:57:53,1,3,2.205526
168,2022-01-02-10:57:55,3,7,2.121599
169,2022-01-02-10:57:59,7,6,3.933882
170,2022-01-02-10:58:03,6,0,3.391539
171,2022-01-02-10:58:06,0,6,3.455968
172,2022-01-02-10:58:09,6,0,3.424607
173,2022-01-02-10:58:13,0,6,3.429458
174,2022-01-02-10:58:17,6,7,4.003929
175,2022-01-02-10:58:19,7,5,2.545970
176,2022-01-02-10:58:23,5,6,3.080524
177,2022-01-02-10:58:26,6,4,3.434515
178,2022-01-02-10:58:28,4,5,1.741342
179,2022-01-02-10:58:30,5,0,1.838828
180,2022-01-02-10:58:31,0,4,1.482824
181,2022-01-02-10:58:33,4,7,1.849994
182,2022-01-02-10:58:35,7,3,2.067459
183,2022-01-02-10:58:37,3,5,2.187591
184,2022-01-02-10:58:39,5,1,1.929247
185,2022-01-02-10:58:41,1,3,2.189445
186,2022-01-02-10:58:43,3,4,2.033781
187,2022-01-02-10:58:47,4,6,3.437840
188,2022-01-02-10:58:50,6,2,3.104904
189,2022-01-02-10:58:52,2,3,2.559273
190,2022-01-02-10:58:55,3,1,2.187684
191,2022-01-02-10:58:56,1,4,1.322300
192,2022-01-02-10:58:58,4,7,1.850235
193,2022-01-02-10:59:00,7,3,2.117825
194,2022-01-02-10:59:02,3,5,2.153801
195,2022-01-02-10:59:04,5,4,1.732092
196,2022-01-02-10:59:05,4,1,1.291705
197,2022-01-02-10:59:07,1,5,1.893027
198,2022-01-02-10:59:09,5,1,1.913075
199,2022-01-02-10:59:10,1,4,1.326123
200,2022-01-02-10:59:12,4,7,1.850298
201,2022-01-02-10:59:15,7,2,2.555486
202,2022-01-02-10:59:16,2,5,1.551874
203,2022-01-02-10:59:18,5,2,1.493186
204,2022-01-02-10:59:19,2,5,1.523806
205,2022-01-02-10:59:21,5,1,1.882506
206,2022-01-02-10:59:22,1,4,1.322013
207,2022-01-02-10:59:26,4,6,3.457765
208,2022-01-02-10:59:29,6,1,3.528703
209,2022-01-02-10:59:31,1,2,1.990666
210,2022-01-02-10:59:33,2,1,1.951946
211,2022-01-02-10:59:35,1,5,1.886127
212,2022-01-02-10:59:38,5,6,3.068696
213,2022-01-02-10:59:42,6,4,3.440294
214,2022-01-02-10:59:44,4,3,2.090251
215,2022-01-02-10:59:46,3,2,2.543550
216,2022-01-02-10:59:48,2,1,1.959097
217,2022-01-02-10:59:50,1,7,1.690767
218,2022-01-02-10:59:52,7,3,2.121237
219,2022-01-02-10:59:54,3,5,2.152848
220,2022-01-02-10:59:56,5,2,1.521938
221,2022-01-02-10:59:58,2,1,1.955043
222,2022-01-02-10:59:59,1,0,1.038353
223,2022-01-02-11:00:00,0,2,1.700865
224,2022-01-02-11:00:03,2,3,2.545666
225,2022-01-02-11:00:05,3,4,2.111932
226,2022-01-02-11:00:07,4,5,1.728515
227,2022-01-02-11:00:09,5,7,2.565009
228,2022-01-02-11:00:13,7,6,3.961151
229,2022-01-02-11:00:16,6,5,3.063075
230,2022-01-02-11:00:20,5,6,3.065387
231,2022-01-02-11:00:23,6,4,3.440104
232,2022-01-02-11:00:25,4,3,2.122622
233,2022-01-02-11:00:27,3,7,2.137297
234,2022-01-02-11:00:29,7,3,2.128033
235,2022-01-02-11:00:33,3,6,3.632287
236,2022-01-02-11:00:37,6,3,3.623879
237,2022-01-02-11:00:40,3,6,3.598969
238,2022-01-02-11:00:44,6,0,3.427131
239,2022-01-02-11:00:45,0,4,1.497614
240,2022-01-02-11:00:47,4,7,1.847541
241,2022-01-02-11:00:49,7,3,2.125686
242,2022-01-02-11:00:53,3,6,3.593687
243,2022-01-02-11:00:56,6,5,3.075352
244,2022-01-02-11:00:58,5,0,1.831438
245,2022-01-02-11:00:59,0,2,1.682297
246,2022-01-02-11:01:02,2,7,2.540245
247,2022-01-02-11:01:04,7,5,2.560541
248,2022-01-02-11:01:06,5,4,1.731852
249,2022-01-02-11:01:10,4,6,3.427238
250,2022-01-02-11:01:13,6,2,3.063421
251,2022-01-02-11:01:15,2,1,1.927615
252,2022-01-02-11:01:17,1,3,2.193316
253,2022-01-02-11:01:19,3,7,2.101376
254,2022-01-02-11:01:20,7,1,1.648041
255,2022-01-02-11:01:23,1,3,2.216704
256,2022-01-02-11:01:25,3,2,2.593032
257,2022-01-02-11:01:27,2,0,1.730546
258,2022-01-02-11:01:29,0,7,1.923835
259,2022-01-02-11:01:31,7,2,2.545040
260,2022-01-02-11:01:35,2,6,3.071807
261,2022-01-02-11:01:38,6,1,3.536793
262,2022-01-02-11:01:40,1,3,2.192380
263,2022-01-02-11:01:43,3,0,2.333583
264,2022-01-02-11:01:44,0,4,1.521698
265,2022-01-02-11:01:46,4,3,2.131569
266,2022-01-02-11:01:48,3,1,2.207417
267,2022-01-02-11:01:50,1,5,1.887569
268,2022-01-02-11:01:52,5,0,1.852659
269,2022-01-02-11:01:54,0,7,1.959906
270,2022-01-02-11:01:56,7,3,2.123498
271,2022-01-02-11:01:58,3,4,2.032514
272,2022-01-02-11:02:00,4,3,2.064586
273,2022-01-02-11:02:03,3,0,2.354621
274,2022-01-02-11:02:05,0,5,1.861400
275,2022-01-02-11:02:07,5,3,2.152495
276,2022-01-02-11:02:09,3,2,2.534794
277,2022-01-02-11:02:11,2,4,1.742414
278,2022-01-02-11:02:14,4,6,3.436399
279,2022-01-02-11:02:18,6,4,3.417221
