--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-02-10:51:05,-1,3,2.542990
1,2022-01-02-10:51:07,3,4,2.095743
2,2022-01-02-10:51:11,4,6,3.434975
3,2022-01-02-10:51:14,6,1,3.530044
4,2022-01-02-10:51:15,1,0,0.979927
5,2022-01-02-10:51:16,0,1,0.978879
6,2022-01-02-10:51:18,1,4,1.279150
7,2022-01-02-10:51:19,4,7,1.824838
8,2022-01-02-10:51:22,7,5,2.591583
9,2022-01-02-10:51:24,5,3,2.146652
10,2022-01-02-10:51:26,3,5,2.147314
11,2022-01-02-10:51:28,5,2,1.504540
12,2022-01-02-10:51:30,2,0,1.702505
13,2022-01-02-10:51:33,0,6,3.447500
14,2022-01-02-10:51:36,6,4,3.420130
15,2022-01-02-10:51:38,4,0,1.549576
16,2022-01-02-10:51:40,0,7,1.889004
17,2022-01-02-10:51:42,7,0,1.876462
18,2022-01-02-10:51:44,0,5,1.824281
19,2022-01-02-10:51:46,5,7,2.546380
20,2022-01-02-10:51:48,7,0,1.879843
21,2022-01-02-10:51:50,0,3,2.362090
22,2022-01-02-10:51:53,3,7,2.161537
23,2022-01-02-10:51:54,7,1,1.639460
24,2022-01-02-10:51:56,1,2,1.960467
25,2022-01-02-10:51:58,2,1,1.931566
26,2022-01-02-10:51:59,1,0,1.016313
27,2022-01-02-10:52:01,0,5,1.861297
28,2022-01-02-10:52:04,5,6,3.066627
29,2022-01-02-10:52:08,6,3,3.627898
30,2022-01-02-10:52:10,3,0,2.348069
31,2022-01-02-10:52:12,0,5,1.835388
32,2022-01-02-10:52:13,5,2,1.500019
33,2022-01-02-10:52:16,2,6,3.067221
34,2022-01-02-10:52:19,6,5,3.089024
35,2022-01-02-10:52:21,5,4,1.760629
36,2022-01-02-10:52:23,4,1,1.288277
37,2022-01-02-10:52:25,1,3,2.226205
38,2022-01-02-10:52:28,3,6,3.633558
39,2022-01-02-10:52:31,6,5,3.041473
40,2022-01-02-10:52:33,5,2,1.494522
41,2022-01-02-10:52:36,2,6,3.068645
42,2022-01-02-10:52:39,6,0,3.441356
43,2022-01-02-10:52:40,0,1,1.019814
44,2022-01-02-10:52:42,1,0,1.033722
45,2022-01-02-10:52:45,0,6,3.417947
46,2022-01-02-10:52:48,6,5,3.070966
47,2022-01-02-10:52:50,5,4,1.732049
48,2022-01-02-10:52:52,4,7,1.838619
49,2022-01-02-10:52:54,7,2,2.556916
50,2022-01-02-10:52:56,2,1,1.935419
