"iteration,date,init_position,final_position,time"
0,2022-01-27-15:58:39,-1,3,3.29691
1,2022-01-27-15:58:43,3,7,3.32787
2,2022-01-27-15:58:46,7,0,3.09307
3,2022-01-27-15:58:48,0,2,1.68677
4,2022-01-27-15:58:50,2,7,2.59463
5,2022-01-27-15:58:53,7,5,2.69815
6,2022-01-27-15:58:55,5,1,2.15491
7,2022-01-27-15:58:57,1,2,1.94536
8,2022-01-27-15:59:00,2,7,2.59482
9,2022-01-27-15:59:02,7,3,2.22713
10,2022-01-27-15:59:04,3,0,2.39111
11,2022-01-27-15:59:06,0,7,1.91679
12,2022-01-27-15:59:08,7,1,1.65571
13,2022-01-27-15:59:10,1,5,1.92383
14,2022-01-27-15:59:12,5,4,1.82239
15,2022-01-27-15:59:14,4,3,2.10415
16,2022-01-27-15:59:16,3,7,2.14124
17,2022-01-27-15:59:17,7,1,1.71248
18,2022-01-27-15:59:19,1,4,1.32042
19,2022-01-27-15:59:20,4,0,1.49088
20,2022-01-27-15:59:22,0,7,1.92942
21,2022-01-27-15:59:24,7,1,1.65993
22,2022-01-27-15:59:25,1,4,1.29664
23,2022-01-27-15:59:29,4,6,3.45445
24,2022-01-27-15:59:31,6,7,2.62147
25,2022-01-27-15:59:34,7,0,3.09852
26,2022-01-27-15:59:36,0,7,1.99066
27,2022-01-27-15:59:39,7,6,2.56866
28,2022-01-27-15:59:43,6,2,4.09110
29,2022-01-27-15:59:46,2,6,3.10410
30,2022-01-27-15:59:50,6,1,3.54732
31,2022-01-27-15:59:52,1,2,2.00618
32,2022-01-27-15:59:55,2,6,3.17367
33,2022-01-27-15:59:59,6,3,3.75412
34,2022-01-27-16:00:01,3,7,2.12463
35,2022-01-27-16:00:02,7,1,1.70082
36,2022-01-27-16:00:06,1,3,3.67911
37,2022-01-27-16:00:09,3,0,3.30558
38,2022-01-27-16:00:11,0,4,1.52858
39,2022-01-27-16:00:12,4,0,1.52380
40,2022-01-27-16:00:14,0,4,1.51973
41,2022-01-27-16:00:15,4,0,1.51805
42,2022-01-27-16:00:18,0,6,2.76450
43,2022-01-27-16:00:20,6,3,2.03030
44,2022-01-27-16:00:23,3,0,2.36265
45,2022-01-27-16:00:25,0,7,1.92301
46,2022-01-27-16:00:27,7,2,2.56864
47,2022-01-27-16:00:30,2,7,2.56384
48,2022-01-27-16:00:32,7,2,2.59189
49,2022-01-27-16:00:34,2,4,1.79930
50,2022-01-27-16:00:38,4,6,3.44030
51,2022-01-27-16:00:41,6,0,3.42892
52,2022-01-27-16:00:42,0,1,1.04882
53,2022-01-27-16:00:44,1,3,2.36160
54,2022-01-27-16:00:46,3,6,2.04214
55,2022-01-27-16:00:49,6,5,2.80355
56,2022-01-27-16:00:51,5,0,1.95399
57,2022-01-27-16:00:53,0,5,1.94165
58,2022-01-27-16:00:55,5,1,1.92763
59,2022-01-27-16:00:56,1,0,1.08117
60,2022-01-27-16:00:59,0,3,2.44131
61,2022-01-27-16:01:02,3,7,3.25719
62,2022-01-27-16:01:05,7,3,3.21983
63,2022-01-27-16:01:07,3,6,2.03303
64,2022-01-27-16:01:10,6,1,2.80264
65,2022-01-27-16:01:12,1,7,1.66586
66,2022-01-27-16:01:14,7,5,2.68580
67,2022-01-27-16:01:16,5,1,1.96881
68,2022-01-27-16:01:18,1,2,1.94427
69,2022-01-27-16:01:21,2,6,3.10345
70,2022-01-27-16:01:24,6,0,2.87121
71,2022-01-27-16:01:25,0,1,1.05503
72,2022-01-27-16:01:28,1,6,2.66164
73,2022-01-27-16:01:30,6,1,2.63246
74,2022-01-27-16:01:34,1,3,3.42944
75,2022-01-27-16:01:37,3,2,3.09189
76,2022-01-27-16:01:39,2,1,1.96002
77,2022-01-27-16:01:42,1,6,2.97178
78,2022-01-27-16:01:45,6,7,3.29190
79,2022-01-27-16:01:48,7,0,3.06743
80,2022-01-27-16:01:49,0,1,1.04230
81,2022-01-27-16:01:52,1,6,2.71432
82,2022-01-27-16:01:56,6,2,4.22674
83,2022-01-27-16:01:59,2,6,3.11086
84,2022-01-27-16:02:03,6,2,3.12484
85,2022-01-27-16:02:06,2,3,3.14566
86,2022-01-27-16:02:09,3,5,3.09364
87,2022-01-27-16:02:11,5,3,2.29575
88,2022-01-27-16:02:13,3,4,2.04268
89,2022-01-27-16:02:15,4,0,1.50254
90,2022-01-27-16:02:17,0,6,2.79551
91,2022-01-27-16:02:21,6,4,3.69556
92,2022-01-27-16:02:23,4,2,1.82220
93,2022-01-27-16:02:27,2,3,4.33424
94,2022-01-27-16:02:30,3,5,2.34473
95,2022-01-27-16:02:32,5,7,2.56693
96,2022-01-27-16:02:35,7,0,3.07276
97,2022-01-27-16:02:37,0,7,1.93465
98,2022-01-27-16:02:39,7,4,1.92270
99,2022-01-27-16:02:41,4,0,1.56945
100,2022-01-27-16:02:42,0,2,1.72608
101,2022-01-27-16:02:44,2,5,1.51896
102,2022-01-27-16:02:46,5,0,1.92355
103,2022-01-27-16:02:47,0,4,1.51610
104,2022-01-27-16:02:49,4,0,1.48689
105,2022-01-27-16:02:51,0,7,1.91456
106,2022-01-27-16:02:52,7,1,1.63617
107,2022-01-27-16:02:54,1,4,1.32642
108,2022-01-27-16:02:55,4,0,1.51768
109,2022-01-27-16:02:57,0,5,1.94998
110,2022-01-27-16:03:00,5,6,2.66453
111,2022-01-27-16:03:04,6,2,4.32215
112,2022-01-27-16:03:06,2,4,1.82017
113,2022-01-27-16:03:08,4,3,2.08940
114,2022-01-27-16:03:11,3,5,3.06839
115,2022-01-27-16:03:13,5,1,1.92200
116,2022-01-27-16:03:14,1,0,1.05124
117,2022-01-27-16:03:16,0,7,1.90411
118,2022-01-27-16:03:19,7,2,2.58752
119,2022-01-27-16:03:20,2,5,1.49608
120,2022-01-27-16:03:22,5,1,1.98831
121,2022-01-27-16:03:23,1,4,1.28328
122,2022-01-27-16:03:25,4,3,2.03244
123,2022-01-27-16:03:27,3,4,2.05669
124,2022-01-27-16:03:29,4,7,1.88981
125,2022-01-27-16:03:33,7,6,3.98720
126,2022-01-27-16:03:36,6,7,2.62170
127,2022-01-27-16:03:38,7,6,2.54589
128,2022-01-27-16:03:42,6,3,3.66318
129,2022-01-27-16:03:45,3,1,2.42372
130,2022-01-27-16:03:47,1,6,2.63752
131,2022-01-27-16:03:50,6,5,3.00124
132,2022-01-27-16:03:52,5,1,2.16324
133,2022-01-27-16:03:55,1,3,2.23950
134,2022-01-27-16:03:57,3,0,2.36635
135,2022-01-27-16:04:00,0,6,3.48504
136,2022-01-27-16:04:04,6,7,4.00917
137,2022-01-27-16:04:06,7,0,1.92342
138,2022-01-27-16:04:08,0,5,1.94405
139,2022-01-27-16:04:11,5,7,2.56244
140,2022-01-27-16:04:14,7,5,2.88730
141,2022-01-27-16:04:16,5,0,1.93024
142,2022-01-27-16:04:17,0,4,1.52343
143,2022-01-27-16:04:21,4,2,4.20542
144,2022-01-27-16:04:23,2,4,1.79124
145,2022-01-27-16:04:25,4,2,2.02139
146,2022-01-27-16:04:29,2,1,4.13461
147,2022-01-27-16:04:31,1,4,1.31649
148,2022-01-27-16:04:32,4,0,1.53750
149,2022-01-27-16:04:33,0,1,1.03889
150,2022-01-27-16:04:35,1,4,1.32432
151,2022-01-27-16:04:36,4,5,1.72031
152,2022-01-27-16:04:38,5,0,1.88934
153,2022-01-27-16:04:41,0,3,2.41739
154,2022-01-27-16:04:43,3,0,2.53890
155,2022-01-27-16:04:45,0,7,1.88896
156,2022-01-27-16:04:48,7,2,2.55713
157,2022-01-27-16:04:49,2,0,1.78724
158,2022-01-27-16:04:53,0,3,3.29949
159,2022-01-27-16:04:55,3,4,2.21998
160,2022-01-27-16:04:57,4,3,2.10232
161,2022-01-27-16:05:01,3,4,3.53106
162,2022-01-27-16:05:02,4,0,1.48330
163,2022-01-27-16:05:03,0,1,1.02096
164,2022-01-27-16:05:04,1,4,1.31840
165,2022-01-27-16:05:06,4,0,1.58943
166,2022-01-27-16:05:09,0,3,3.40392
167,2022-01-27-16:05:13,3,1,3.40530
168,2022-01-27-16:05:16,1,6,3.56286
169,2022-01-27-16:05:20,6,4,3.47128
170,2022-01-27-16:05:24,4,2,4.05926
171,2022-01-27-16:05:28,2,3,4.33174
172,2022-01-27-16:05:32,3,4,3.97000
173,2022-01-27-16:05:34,4,3,2.13558
174,2022-01-27-16:05:38,3,6,3.22864
175,2022-01-27-16:05:41,6,3,3.15481
176,2022-01-27-16:05:44,3,1,3.63953
177,2022-01-27-16:05:45,1,0,1.05543
178,2022-01-27-16:05:47,0,5,1.97902
179,2022-01-27-16:05:51,5,2,3.65673
180,2022-01-27-16:05:54,2,6,3.05037
181,2022-01-27-16:05:58,6,1,3.57934
182,2022-01-27-16:06:00,1,3,2.35870
183,2022-01-27-16:06:02,3,5,2.30757
184,2022-01-27-16:06:04,5,1,1.92644
185,2022-01-27-16:06:07,1,3,2.22717
186,2022-01-27-16:06:09,3,2,2.67897
187,2022-01-27-16:06:11,2,5,1.48912
188,2022-01-27-16:06:13,5,1,1.93692
189,2022-01-27-16:06:15,1,3,2.35045
190,2022-01-27-16:06:17,3,5,2.20926
191,2022-01-27-16:06:20,5,7,2.61138
192,2022-01-27-16:06:23,7,3,3.23433
193,2022-01-27-16:06:25,3,4,2.10226
194,2022-01-27-16:06:26,4,1,1.28676
195,2022-01-27-16:06:28,1,2,2.07797
196,2022-01-27-16:06:32,2,6,3.24643
197,2022-01-27-16:06:35,6,7,3.31146
198,2022-01-27-16:06:38,7,3,3.16678
199,2022-01-27-16:06:41,3,0,2.38942
200,2022-01-27-16:06:42,0,5,1.86834
201,2022-01-27-16:06:44,5,0,2.01832
202,2022-01-27-16:06:46,0,2,1.74864
203,2022-01-27-16:06:48,2,0,1.72364
204,2022-01-27-16:06:50,0,5,2.04777
205,2022-01-27-16:06:53,5,6,3.10394
206,2022-01-27-16:06:57,6,1,3.62003
207,2022-01-27-16:06:59,1,5,1.99905
208,2022-01-27-16:07:00,5,2,1.55230
209,2022-01-27-16:07:03,2,3,2.74175
210,2022-01-27-16:07:05,3,4,2.09332
211,2022-01-27-16:07:07,4,2,1.98376
212,2022-01-27-16:07:10,2,3,2.69008
213,2022-01-27-16:07:13,3,7,3.18681
214,2022-01-27-16:07:16,7,1,3.26862
215,2022-01-27-16:07:19,1,3,2.29249
216,2022-01-27-16:07:21,3,1,2.73404
217,2022-01-27-16:07:23,1,2,1.97475
218,2022-01-27-16:07:25,2,1,1.94104
219,2022-01-27-16:07:29,1,6,3.54718
220,2022-01-27-16:07:32,6,3,3.66946
221,2022-01-27-16:07:35,3,0,2.38607
222,2022-01-27-16:07:38,0,6,3.54516
223,2022-01-27-16:07:42,6,3,3.65613
224,2022-01-27-16:07:44,3,1,2.47808
225,2022-01-27-16:07:46,1,4,1.32828
226,2022-01-27-16:07:47,4,1,1.30339
227,2022-01-27-16:07:48,1,4,1.33805
228,2022-01-27-16:07:50,4,5,1.76446
229,2022-01-27-16:07:52,5,3,2.12263
230,2022-01-27-16:07:55,3,2,2.64541
231,2022-01-27-16:07:58,2,3,2.64054
232,2022-01-27-16:08:00,3,1,2.25506
233,2022-01-27-16:08:02,1,5,1.98797
234,2022-01-27-16:08:03,5,2,1.59694
235,2022-01-27-16:08:05,2,1,1.98670
236,2022-01-27-16:08:09,1,6,3.67891
237,2022-01-27-16:08:13,6,1,3.64019
238,2022-01-27-16:08:15,1,5,1.97630
239,2022-01-27-16:08:17,5,1,1.93844
240,2022-01-27-16:08:19,1,2,2.05397
241,2022-01-27-16:08:22,2,3,3.09036
242,2022-01-27-16:08:25,3,0,3.31477
243,2022-01-27-16:08:29,0,6,3.51430
244,2022-01-27-16:08:32,6,2,3.13672
245,2022-01-27-16:08:36,2,1,4.14227
246,2022-01-27-16:08:38,1,7,1.79053
247,2022-01-27-16:08:42,7,6,4.01021
248,2022-01-27-16:08:45,6,0,3.74403
249,2022-01-27-16:08:47,0,7,2.00615
250,2022-01-27-16:08:49,7,1,1.70653
251,2022-01-27-16:08:50,1,0,1.03885
252,2022-01-27-16:08:54,0,3,3.50960
253,2022-01-27-16:08:57,3,5,3.04248
254,2022-01-27-16:08:59,5,0,2.13970
255,2022-01-27-16:09:00,0,1,1.04940
256,2022-01-27-16:09:03,1,3,3.46508
257,2022-01-27-16:09:07,3,1,3.49625
258,2022-01-27-16:09:09,1,5,2.01391
259,2022-01-27-16:09:12,5,6,3.10124
260,2022-01-27-16:09:16,6,0,3.61347
261,2022-01-27-16:09:17,0,4,1.52088
262,2022-01-27-16:09:21,4,6,3.44370
263,2022-01-27-16:09:24,6,3,3.76778
264,2022-01-27-16:09:26,3,4,2.04718
265,2022-01-27-16:09:30,4,6,3.51165
266,2022-01-27-16:09:33,6,5,3.09845
267,2022-01-27-16:09:35,5,1,1.99888
268,2022-01-27-16:09:37,1,7,1.66931
269,2022-01-27-16:09:39,7,2,2.56250
270,2022-01-27-16:09:41,2,4,1.75512
