"iteration,date,init_position,final_position,time"
0,2022-01-28-02:14:40,-1,0,4.68556
1,2022-01-28-02:14:42,0,1,1.52086
2,2022-01-28-02:14:44,1,2,2.00023
3,2022-01-28-02:14:46,2,7,2.57705
4,2022-01-28-02:14:48,7,3,2.14077
5,2022-01-28-02:14:52,3,5,3.83215
6,2022-01-28-02:14:54,5,0,1.94325
7,2022-01-28-02:14:56,0,4,1.52537
8,2022-01-28-02:15:05,4,6,8.90217
9,2022-01-28-02:15:09,6,4,4.02363
10,2022-01-28-02:15:10,4,7,1.90955
11,2022-01-28-02:15:13,7,2,2.56823
12,2022-01-28-02:15:15,2,0,1.72609
13,2022-01-28-02:15:18,0,6,3.44417
14,2022-01-28-02:15:23,6,1,4.65433
15,2022-01-28-02:15:27,1,0,4.64154
16,2022-01-28-02:15:29,0,5,1.87507
17,2022-01-28-02:15:33,5,6,3.14532
18,2022-01-28-02:15:37,6,7,4.06604
19,2022-01-28-02:15:40,7,1,3.28181
20,2022-01-28-02:15:44,1,0,3.89778
21,2022-01-28-02:15:50,0,7,5.67150
22,2022-01-28-02:15:54,7,0,4.21494
23,2022-01-28-02:15:57,0,1,2.18081
24,2022-01-28-02:16:06,1,0,9.08499
25,2022-01-28-02:16:14,0,2,2.43573
26,2022-01-28-02:16:16,2,1,2.02221
27,2022-01-28-02:16:18,1,2,2.09194
28,2022-01-28-02:16:21,2,7,2.73823
29,2022-01-28-02:16:22,7,1,1.67505
30,2022-01-28-02:16:26,1,6,3.63481
31,2022-01-28-02:16:29,6,5,3.12797
32,2022-01-28-02:17:00,5,4,31.37027
33,2022-01-28-02:17:21,4,6,5.50600
34,2022-01-28-02:17:25,6,4,3.44514
35,2022-01-28-02:17:26,4,1,1.35012
36,2022-01-28-02:17:28,1,2,2.01327
37,2022-01-28-02:17:30,2,1,2.00465
38,2022-01-28-02:17:33,1,3,2.25560
39,2022-01-28-02:17:35,3,7,2.16169
40,2022-01-28-02:17:37,7,3,2.17617
41,2022-01-28-02:17:39,3,0,2.44080
42,2022-01-28-02:17:42,0,3,2.38532
43,2022-01-28-02:17:45,3,6,3.71308
44,2022-01-28-02:17:49,6,3,3.70001
45,2022-01-28-02:17:51,3,5,2.21192
46,2022-01-28-02:17:53,5,0,1.90842
47,2022-01-28-02:17:55,0,5,1.92137
48,2022-01-28-02:17:57,5,0,1.96157
49,2022-01-28-02:17:59,0,2,1.75972
50,2022-01-28-02:18:02,2,3,2.61737
51,2022-01-28-02:18:04,3,1,2.25650
52,2022-01-28-02:18:05,1,0,1.10771
53,2022-01-28-02:18:07,0,7,2.02986
54,2022-01-28-02:18:10,7,5,2.65903
55,2022-01-28-02:18:12,5,7,2.62500
56,2022-01-28-02:18:14,7,3,2.30679
57,2022-01-28-02:18:17,3,7,2.18069
58,2022-01-28-02:18:21,7,6,4.11295
59,2022-01-28-02:18:24,6,4,3.54475
60,2022-01-28-02:18:26,4,1,1.39367
61,2022-01-28-02:18:28,1,3,2.32128
62,2022-01-28-02:18:30,3,5,2.27696
63,2022-01-28-02:18:32,5,1,1.96746
64,2022-01-28-02:18:36,1,6,3.60892
65,2022-01-28-02:18:41,6,4,4.72296
66,2022-01-28-02:18:44,4,6,3.50009
67,2022-01-28-02:18:47,6,5,3.18360
68,2022-01-28-02:18:53,5,1,5.42483
69,2022-01-28-02:19:10,1,0,8.51554
70,2022-01-28-02:19:12,0,7,2.05568
71,2022-01-28-02:19:14,7,4,1.96950
72,2022-01-28-02:19:16,4,7,2.54938
73,2022-01-28-02:19:21,7,6,4.42847
74,2022-01-28-02:19:25,6,2,4.26870
75,2022-01-28-02:19:36,2,7,10.82909
76,2022-01-28-02:20:22,7,3,38.44895
77,2022-01-28-02:20:26,3,0,3.32190
78,2022-01-28-02:20:28,0,2,1.75270
79,2022-01-28-02:20:30,2,1,2.32179
80,2022-01-28-02:20:32,1,2,2.02574
81,2022-01-28-02:20:34,2,0,1.78065
82,2022-01-28-02:20:36,0,5,2.09934
83,2022-01-28-02:20:39,5,7,3.33025
84,2022-01-28-02:20:41,7,1,2.11786
85,2022-01-28-02:20:45,1,6,3.64521
86,2022-01-28-02:20:48,6,4,3.52008
87,2022-01-28-02:20:51,4,3,2.16616
88,2022-01-28-02:20:53,3,7,2.18455
89,2022-01-28-02:20:55,7,3,2.19687
90,2022-01-28-02:20:59,3,6,3.77553
91,2022-01-28-02:21:02,6,0,3.57063
92,2022-01-28-02:21:04,0,7,2.03196
