"iteration,date,executiontime"
0,2022-02-09-01:34:05,2.52793
1,2022-02-09-01:34:06,0.60884
2,2022-02-09-01:34:06,0.62333
3,2022-02-09-01:34:07,0.68900
4,2022-02-09-01:34:08,0.59665
5,2022-02-09-01:34:08,0.71885
6,2022-02-09-01:34:09,0.45540
7,2022-02-09-01:34:09,0.57461
8,2022-02-09-01:34:10,0.76375
9,2022-02-09-01:34:11,0.43376
10,2022-02-09-01:34:11,0.46907
11,2022-02-09-01:34:12,0.86521
12,2022-02-09-01:34:13,0.84807
13,2022-02-09-01:34:13,0.51659
14,2022-02-09-01:34:14,0.84103
15,2022-02-09-01:34:15,0.94354
16,2022-02-09-01:34:16,0.60874
17,2022-02-09-01:34:16,0.63534
18,2022-02-09-01:34:17,0.44259
19,2022-02-09-01:34:17,0.62896
20,2022-02-09-01:34:18,0.82673
21,2022-02-09-01:34:19,1.01673
22,2022-02-09-01:34:20,0.82381
23,2022-02-09-01:34:21,0.63695
24,2022-02-09-01:34:21,0.38789
25,2022-02-09-01:34:22,0.51877
26,2022-02-09-01:34:22,0.65071
27,2022-02-09-01:34:23,0.52174
28,2022-02-09-01:34:23,0.63646
29,2022-02-09-01:34:24,0.99969
30,2022-02-09-01:34:25,0.89696
31,2022-02-09-01:34:26,0.62645
32,2022-02-09-01:34:27,0.82373
33,2022-02-09-01:34:27,0.53209
34,2022-02-09-01:34:28,0.55186
35,2022-02-09-01:34:28,0.67015
36,2022-02-09-01:34:29,0.74213
37,2022-02-09-01:34:31,2.01357
38,2022-02-09-01:34:33,1.76214
39,2022-02-09-01:34:34,1.19520
40,2022-02-09-01:34:35,0.86283
41,2022-02-09-01:34:36,0.48888
42,2022-02-09-01:34:36,0.49087
43,2022-02-09-01:34:37,0.88399
44,2022-02-09-01:34:38,0.86011
45,2022-02-09-01:34:38,0.63882
46,2022-02-09-01:34:39,0.44802
47,2022-02-09-01:34:40,0.97454
48,2022-02-09-01:34:41,0.79205
49,2022-02-09-01:34:41,0.65580
50,2022-02-09-01:34:42,0.83175
51,2022-02-09-01:34:43,0.55730
52,2022-02-09-01:34:43,0.76175
53,2022-02-09-01:34:44,0.88624
54,2022-02-09-01:34:45,0.53542
55,2022-02-09-01:34:46,0.79899
56,2022-02-09-01:34:46,0.58846
57,2022-02-09-01:34:47,0.75577
