"iteration,date,init_position,final_position,time"
0,2022-01-28-02:17:55,-1,3,3.06338
1,2022-01-28-02:17:58,3,1,2.79544
2,2022-01-28-02:18:00,1,7,2.15783
3,2022-01-28-02:18:04,7,5,3.11886
4,2022-01-28-02:18:06,5,4,2.33107
5,2022-01-28-02:18:08,4,5,1.87062
6,2022-01-28-02:18:11,5,6,3.16164
7,2022-01-28-02:18:14,6,5,3.09662
8,2022-01-28-02:18:16,5,1,1.97831
9,2022-01-28-02:18:18,1,7,1.72491
10,2022-01-28-02:18:20,7,0,1.96920
11,2022-01-28-02:18:21,0,1,1.08371
12,2022-01-28-02:18:23,1,3,2.30321
13,2022-01-28-02:18:25,3,5,2.24296
14,2022-01-28-02:18:29,5,1,3.42420
15,2022-01-28-02:18:37,1,3,8.13390
16,2022-01-28-02:18:41,3,6,3.69721
17,2022-01-28-02:18:44,6,0,3.52870
18,2022-01-28-02:18:46,0,7,2.13132
19,2022-01-28-02:18:53,7,1,6.50260
20,2022-01-28-02:19:10,1,7,11.29795
21,2022-01-28-02:19:12,7,1,1.92285
22,2022-01-28-02:19:13,1,7,1.70347
23,2022-01-28-02:19:16,7,5,2.94076
24,2022-01-28-02:19:19,5,7,2.92323
25,2022-01-28-02:19:24,7,6,4.25041
26,2022-01-28-02:19:28,6,0,4.61440
27,2022-01-28-02:19:36,0,3,7.73212
28,2022-01-28-02:20:22,3,4,38.12787
29,2022-01-28-02:20:28,4,3,5.20366
30,2022-01-28-02:20:30,3,1,2.38650
31,2022-01-28-02:20:32,1,3,2.29345
32,2022-01-28-02:20:35,3,2,2.68076
33,2022-01-28-02:20:39,2,6,3.83389
34,2022-01-28-02:20:42,6,0,3.55747
35,2022-01-28-02:20:43,0,1,1.07160
36,2022-01-28-02:20:45,1,4,1.36594
37,2022-01-28-02:20:46,4,0,1.56481
38,2022-01-28-02:20:48,0,2,1.76327
39,2022-01-28-02:20:50,2,5,1.57557
40,2022-01-28-02:20:52,5,7,2.64625
41,2022-01-28-02:20:55,7,2,2.63771
42,2022-01-28-02:20:57,2,0,1.82586
43,2022-01-28-02:20:59,0,3,2.47745
44,2022-01-28-02:21:03,3,2,3.19647
45,2022-01-28-02:21:04,2,4,1.85358
46,2022-01-28-02:21:07,4,3,2.30709
47,2022-01-28-02:21:09,3,2,2.68274
48,2022-01-28-02:21:11,2,5,1.55827
49,2022-01-28-02:21:13,5,4,2.50579
50,2022-01-28-02:21:15,4,2,1.95225
51,2022-01-28-02:21:18,2,3,3.01307
52,2022-01-28-02:21:21,3,5,2.48204
53,2022-01-28-02:21:24,5,7,2.69832
54,2022-01-28-02:21:28,7,6,4.05846
55,2022-01-28-02:21:32,6,7,4.15902
56,2022-01-28-02:21:36,7,6,4.06925
57,2022-01-28-02:21:39,6,0,3.57661
58,2022-01-28-02:21:41,0,2,1.83832
59,2022-01-28-02:21:44,2,1,2.34929
60,2022-01-28-02:21:46,1,3,2.34705
61,2022-01-28-02:21:50,3,6,3.75175
62,2022-01-28-02:21:53,6,5,3.22106
63,2022-01-28-02:21:55,5,0,1.93633
64,2022-01-28-02:21:57,0,2,1.76529
65,2022-01-28-02:21:59,2,0,1.86185
66,2022-01-28-02:22:00,0,4,1.60256
67,2022-01-28-02:22:02,4,1,1.37308
68,2022-01-28-02:22:03,1,7,1.78422
69,2022-01-28-02:22:06,7,5,2.68210
70,2022-01-28-02:22:08,5,3,2.22203
71,2022-01-28-02:22:10,3,1,2.27439
72,2022-01-28-02:22:13,1,3,2.27232
73,2022-01-28-02:22:15,3,7,2.21553
74,2022-01-28-02:22:18,7,5,2.65340
75,2022-01-28-02:22:20,5,1,2.04657
76,2022-01-28-02:22:21,1,7,1.74695
77,2022-01-28-02:22:24,7,2,2.68798
78,2022-01-28-02:22:26,2,4,1.87016
79,2022-01-28-02:22:28,4,2,1.81497
80,2022-01-28-02:22:30,2,7,2.61209
81,2022-01-28-02:22:33,7,2,2.59015
82,2022-01-28-02:22:36,2,7,2.61916
83,2022-01-28-02:22:37,7,1,1.74610
84,2022-01-28-02:22:39,1,5,1.96642
85,2022-01-28-02:22:41,5,0,1.95368
86,2022-01-28-02:22:43,0,2,1.83949
87,2022-01-28-02:22:45,2,1,2.11941
88,2022-01-28-02:22:48,1,3,2.32355
89,2022-01-28-02:22:50,3,4,2.10029
90,2022-01-28-02:22:51,4,1,1.40353
91,2022-01-28-02:22:53,1,4,1.47982
92,2022-01-28-02:22:55,4,3,2.24472
93,2022-01-28-02:22:57,3,5,2.24307
94,2022-01-28-02:22:59,5,1,1.96907
95,2022-01-28-02:23:03,1,6,3.61584
96,2022-01-28-02:23:06,6,0,3.60012
97,2022-01-28-02:23:08,0,7,2.02459
98,2022-01-28-02:23:11,7,2,2.60900
99,2022-01-28-02:23:14,2,7,2.69468
100,2022-01-28-02:23:16,7,2,2.72111
101,2022-01-28-02:23:19,2,3,2.72273
102,2022-01-28-02:23:21,3,5,2.21903
103,2022-01-28-02:23:24,5,3,2.31099
104,2022-01-28-02:23:27,3,6,3.70610
105,2022-01-28-02:23:30,6,2,3.24581
106,2022-01-28-02:23:33,2,3,2.74695
107,2022-01-28-02:23:36,3,2,2.62360
108,2022-01-28-02:23:38,2,1,2.13424
109,2022-01-28-02:23:40,1,2,2.12832
110,2022-01-28-02:23:43,2,7,2.65233
111,2022-01-28-02:23:45,7,5,2.66495
112,2022-01-28-02:23:49,5,6,3.18922
113,2022-01-28-02:23:53,6,7,4.14357
114,2022-01-28-02:23:55,7,1,1.76371
115,2022-01-28-02:23:58,1,6,3.59863
116,2022-01-28-02:24:02,6,1,3.69244
117,2022-01-28-02:24:03,1,0,1.11032
118,2022-01-28-02:24:05,0,5,1.98412
119,2022-01-28-02:24:07,5,3,2.26976
120,2022-01-28-02:24:09,3,5,2.23874
121,2022-01-28-02:24:11,5,1,2.06348
122,2022-01-28-02:24:13,1,7,1.84375
123,2022-01-28-02:24:16,7,3,2.21508
124,2022-01-28-02:24:18,3,1,2.27302
125,2022-01-28-02:24:20,1,5,2.00966
126,2022-01-28-02:24:22,5,1,1.96280
127,2022-01-28-02:24:25,1,6,3.64549
128,2022-01-28-02:24:29,6,1,3.67887
129,2022-01-28-02:24:31,1,2,2.07896
130,2022-01-28-02:24:33,2,5,1.63573
131,2022-01-28-02:24:35,5,4,1.90837
132,2022-01-28-02:24:36,4,0,1.59863
133,2022-01-28-02:24:38,0,1,1.17711
134,2022-01-28-02:24:39,1,7,1.80693
135,2022-01-28-02:24:42,7,2,2.63351
136,2022-01-28-02:24:44,2,4,1.85481
137,2022-01-28-02:24:46,4,5,1.88480
138,2022-01-28-02:24:47,5,2,1.65192
139,2022-01-28-02:24:50,2,7,2.70456
140,2022-01-28-02:24:54,7,6,4.08627
141,2022-01-28-02:24:58,6,3,3.67600
142,2022-01-28-02:25:00,3,0,2.48141
143,2022-01-28-02:25:02,0,4,1.69806
144,2022-01-28-02:25:06,4,6,3.57222
145,2022-01-28-02:25:10,6,7,4.10302
146,2022-01-28-02:25:12,7,3,2.29382
147,2022-01-28-02:25:14,3,5,2.29981
148,2022-01-28-02:25:18,5,6,3.25951
149,2022-01-28-02:25:21,6,2,3.19232
150,2022-01-28-02:25:23,2,1,2.09759
151,2022-01-28-02:25:27,1,6,3.76673
152,2022-01-28-02:25:30,6,3,3.72487
