"iteration,date,executiontime"
159,2022-02-08-13:04:44,0.58757
160,2022-02-08-13:04:45,0.91982
161,2022-02-08-13:04:46,0.77896
162,2022-02-08-13:04:46,0.61304
163,2022-02-08-13:04:47,0.51197
164,2022-02-08-13:04:48,0.82178
165,2022-02-08-13:04:48,0.45265
166,2022-02-08-13:04:49,0.54348
167,2022-02-08-13:04:50,0.81342
168,2022-02-08-13:04:51,0.91181
169,2022-02-08-13:04:51,0.72196
170,2022-02-08-13:04:52,0.94842
171,2022-02-08-13:04:53,0.74978
172,2022-02-08-13:04:54,0.99816
173,2022-02-08-13:04:55,0.71628
174,2022-02-08-13:04:55,0.64908
175,2022-02-08-13:04:56,0.83153
176,2022-02-08-13:04:57,0.48067
177,2022-02-08-13:04:57,0.38559
178,2022-02-08-13:04:58,0.64755
179,2022-02-08-13:04:58,0.51375
180,2022-02-08-13:04:59,0.81488
181,2022-02-08-13:05:00,0.93329
182,2022-02-08-13:05:00,0.44903
183,2022-02-08-13:05:01,0.39451
184,2022-02-08-13:05:01,0.68218
185,2022-02-08-13:05:02,0.57530
186,2022-02-08-13:05:03,0.91800
187,2022-02-08-13:05:04,0.64332
188,2022-02-08-13:05:04,0.61979
189,2022-02-08-13:05:05,0.75339
190,2022-02-08-13:05:06,0.77773
191,2022-02-08-13:05:06,0.61034
192,2022-02-08-13:05:07,0.48163
193,2022-02-08-13:05:08,1.02617
194,2022-02-08-13:05:09,0.83388
195,2022-02-08-13:05:09,0.67387
196,2022-02-08-13:05:10,0.61116
197,2022-02-08-13:05:11,0.77404
198,2022-02-08-13:05:11,0.51105
199,2022-02-08-13:05:12,0.71717
200,2022-02-08-13:05:12,0.37587
201,2022-02-08-13:05:13,0.61943
202,2022-02-08-13:05:13,0.48081
203,2022-02-08-13:05:14,0.42322
204,2022-02-08-13:05:15,0.61143
205,2022-02-08-13:05:15,0.51457
206,2022-02-08-13:05:16,0.81455
207,2022-02-08-13:05:17,0.97689
208,2022-02-08-13:05:18,0.71073
209,2022-02-08-13:05:18,0.81094
210,2022-02-08-13:05:19,0.43234
211,2022-02-08-13:05:19,0.64244
212,2022-02-08-13:05:20,0.71256
213,2022-02-08-13:05:21,0.64504
214,2022-02-08-13:05:21,0.41581
215,2022-02-08-13:05:22,0.67892
216,2022-02-08-13:05:22,0.52088
217,2022-02-08-13:05:23,0.40973
218,2022-02-08-13:05:23,0.42500
219,2022-02-08-13:05:24,0.61011
220,2022-02-08-13:05:25,0.92407
221,2022-02-08-13:05:26,0.92218
222,2022-02-08-13:05:26,0.63435
223,2022-02-08-13:05:27,0.68852
224,2022-02-08-13:05:27,0.48789
225,2022-02-08-13:05:28,0.34686
226,2022-02-08-13:05:28,0.63530
227,2022-02-08-13:05:29,0.52784
