"iteration,date,init_position,final_position,time"
132,2022-01-27-13:17:15,3,6,3.64497
133,2022-01-27-13:17:18,6,2,3.04019
134,2022-01-27-13:17:20,2,1,1.99853
135,2022-01-27-13:17:22,1,2,1.99628
136,2022-01-27-13:17:25,2,6,3.13537
137,2022-01-27-13:17:28,6,1,3.54544
138,2022-01-27-13:17:29,1,0,1.05859
139,2022-01-27-13:17:31,0,1,1.11814
140,2022-01-27-13:17:32,1,0,1.04997
141,2022-01-27-13:17:33,0,4,1.52397
142,2022-01-27-13:17:35,4,2,1.75429
143,2022-01-27-13:17:36,2,5,1.50271
144,2022-01-27-13:17:38,5,1,1.93219
145,2022-01-27-13:17:40,1,5,1.92558
146,2022-01-27-13:17:43,5,6,3.08833
147,2022-01-27-13:17:47,6,2,3.12489
148,2022-01-27-13:17:49,2,7,2.62516
149,2022-01-27-13:17:52,7,2,2.59980
150,2022-01-27-13:17:54,2,7,2.60256
151,2022-01-27-13:17:56,7,3,2.12504
152,2022-01-27-13:18:00,3,6,3.63749
153,2022-01-27-13:18:04,6,7,3.94760
154,2022-01-27-13:18:07,7,2,2.59912
155,2022-01-27-13:18:10,2,6,3.09384
156,2022-01-27-13:18:13,6,2,3.09679
157,2022-01-27-13:18:15,2,7,2.60476
158,2022-01-27-13:18:18,7,5,2.62403
159,2022-01-27-13:18:21,5,6,3.11241
160,2022-01-27-13:18:25,6,0,3.44269
161,2022-01-27-13:18:27,0,3,2.39234
162,2022-01-27-13:18:29,3,0,2.38576
163,2022-01-27-13:18:31,0,4,1.52421
164,2022-01-27-13:18:33,4,3,2.12014
165,2022-01-27-13:18:35,3,0,2.35760
166,2022-01-27-13:18:38,0,3,2.38460
167,2022-01-27-13:18:40,3,5,2.19137
168,2022-01-27-13:18:42,5,4,1.78774
169,2022-01-27-13:18:43,4,0,1.52352
170,2022-01-27-13:18:44,0,1,1.03552
171,2022-01-27-13:18:45,1,0,0.98230
172,2022-01-27-13:18:48,0,3,2.35984
173,2022-01-27-13:18:50,3,1,2.22417
174,2022-01-27-13:18:52,1,3,2.22811
175,2022-01-27-13:18:54,3,5,2.14505
176,2022-01-27-13:18:57,5,7,2.59495
177,2022-01-27-13:18:59,7,4,1.89579
178,2022-01-27-13:19:00,4,1,1.31997
179,2022-01-27-13:19:02,1,7,1.68037
180,2022-01-27-13:19:06,7,6,4.00300
181,2022-01-27-13:19:09,6,1,3.53972
182,2022-01-27-13:19:11,1,4,1.32107
183,2022-01-27-13:19:12,4,1,1.28606
184,2022-01-27-13:19:14,1,5,1.91655
185,2022-01-27-13:19:16,5,7,2.56615
186,2022-01-27-13:19:19,7,5,2.55995
187,2022-01-27-13:19:21,5,4,1.75478
188,2022-01-27-13:19:22,4,5,1.74816
189,2022-01-27-13:19:24,5,1,1.93188
190,2022-01-27-13:19:27,1,3,2.23361
191,2022-01-27-13:19:29,3,0,2.35503
192,2022-01-27-13:19:31,0,3,2.36201
193,2022-01-27-13:19:34,3,2,2.59980
194,2022-01-27-13:19:37,2,6,3.09708
195,2022-01-27-13:19:41,6,1,3.53358
196,2022-01-27-13:19:43,1,3,2.22772
197,2022-01-27-13:19:45,3,4,2.14120
198,2022-01-27-13:19:47,4,2,1.78825
199,2022-01-27-13:19:49,2,4,1.76666
200,2022-01-27-13:19:50,4,7,1.86259
201,2022-01-27-13:19:52,7,3,2.12731
202,2022-01-27-13:19:55,3,7,2.17996
203,2022-01-27-13:19:56,7,1,1.63792
