date,init_position,final_position,time
1,2022-01-25-11:47:28,-1,7,2.795612
2,2022-01-25-11:47:30,7,5,2.593429
3,2022-01-25-11:47:33,5,6,3.094182
4,2022-01-25-11:47:38,6,7,4.090398
5,2022-01-25-11:47:40,7,2,2.605682
6,2022-01-25-11:47:42,2,5,1.521391
7,2022-01-25-11:47:44,5,7,2.608001
8,2022-01-25-11:47:47,7,6,2.575064
9,2022-01-25-11:47:50,6,4,3.258976
10,2022-01-25-11:47:54,4,1,3.956472
11,2022-01-25-11:47:56,1,3,2.293683
12,2022-01-25-11:48:00,3,7,3.255641
13,2022-01-25-11:48:03,7,0,3.094736
14,2022-01-25-11:48:04,0,2,1.720490
15,2022-01-25-11:48:07,2,7,2.524739
16,2022-01-25-11:48:10,7,3,3.216967
17,2022-01-25-11:48:13,3,1,2.457105
18,2022-01-25-11:48:15,1,2,1.991896
19,2022-01-25-11:48:17,2,7,2.533578
20,2022-01-25-11:48:20,7,2,2.749909
21,2022-01-25-11:48:23,2,3,2.792101
22,2022-01-25-11:48:25,3,5,2.216709
23,2022-01-25-11:48:28,5,6,3.275244
24,2022-01-25-11:48:32,6,3,3.707119
25,2022-01-25-11:48:34,3,0,2.338848
26,2022-01-25-11:48:36,0,4,1.521034
27,2022-01-25-11:48:37,4,0,1.538493
28,2022-01-25-11:48:38,0,1,1.089520
29,2022-01-25-11:48:40,1,5,1.921711
30,2022-01-25-11:48:44,5,2,3.682244
31,2022-01-25-11:48:48,2,5,3.645534
32,2022-01-25-11:48:50,5,1,1.940115
33,2022-01-25-11:48:51,1,0,1.037528
34,2022-01-25-11:48:53,0,5,2.250435
35,2022-01-25-11:48:56,5,6,3.090972
36,2022-01-25-11:49:00,6,1,3.824628
37,2022-01-25-11:49:01,1,0,1.089741
38,2022-01-25-11:49:03,0,5,1.988739
39,2022-01-25-11:49:07,5,2,3.659027
40,2022-01-25-11:49:11,2,1,4.167514
41,2022-01-25-11:49:13,1,5,1.922990
42,2022-01-25-11:49:16,5,4,3.258197
43,2022-01-25-11:49:18,4,3,2.112848
44,2022-01-25-11:49:21,3,1,3.426209
45,2022-01-25-11:49:24,1,5,2.087359
46,2022-01-25-11:49:26,5,4,2.288462
47,2022-01-25-11:49:28,4,3,2.057001
48,2022-01-25-11:49:31,3,1,3.021824
