"iteration,date,executiontime"
0,2022-02-09-01:33:42,2.64599
1,2022-02-09-01:33:43,0.72696
2,2022-02-09-01:33:44,0.57633
3,2022-02-09-01:33:44,0.72164
4,2022-02-09-01:33:45,0.75984
5,2022-02-09-01:33:46,0.63506
6,2022-02-09-01:33:46,0.71176
7,2022-02-09-01:33:47,0.84805
8,2022-02-09-01:33:48,0.44428
9,2022-02-09-01:33:48,0.67637
10,2022-02-09-01:33:49,0.61181
11,2022-02-09-01:33:50,0.51186
12,2022-02-09-01:33:50,0.43017
13,2022-02-09-01:33:51,0.58742
14,2022-02-09-01:33:51,0.48422
15,2022-02-09-01:33:52,0.83795
16,2022-02-09-01:33:53,0.62034
17,2022-02-09-01:33:53,0.66597
18,2022-02-09-01:33:54,0.68809
19,2022-02-09-01:33:55,0.68420
20,2022-02-09-01:33:56,0.98943
21,2022-02-09-01:33:57,1.01066
22,2022-02-09-01:33:57,0.61162
23,2022-02-09-01:33:58,0.59252
24,2022-02-09-01:33:58,0.58287
25,2022-02-09-01:33:59,0.52119
26,2022-02-09-01:34:00,0.90483
27,2022-02-09-01:34:00,0.66328
28,2022-02-09-01:34:01,0.51404
29,2022-02-09-01:34:02,0.55233
30,2022-02-09-01:34:02,0.69156
31,2022-02-09-01:34:03,0.71751
32,2022-02-09-01:34:04,0.98415
33,2022-02-09-01:34:05,0.75072
34,2022-02-09-01:34:06,1.05222
35,2022-02-09-01:34:07,0.84076
36,2022-02-09-01:34:07,0.43252
37,2022-02-09-01:34:08,0.87227
38,2022-02-09-01:34:08,0.56878
39,2022-02-09-01:34:09,0.80733
40,2022-02-09-01:34:10,0.66493
41,2022-02-09-01:34:10,0.56184
42,2022-02-09-01:34:11,0.74637
43,2022-02-09-01:34:12,0.50562
44,2022-02-09-01:34:12,0.52407
45,2022-02-09-01:34:13,0.67142
46,2022-02-09-01:34:14,0.64673
47,2022-02-09-01:34:14,0.92127
48,2022-02-09-01:34:15,0.56321
49,2022-02-09-01:34:16,0.73421
50,2022-02-09-01:34:17,0.74388
51,2022-02-09-01:34:17,0.41356
52,2022-02-09-01:34:18,0.66911
53,2022-02-09-01:34:18,0.81099
54,2022-02-09-01:34:19,0.60485
55,2022-02-09-01:34:20,1.05173
56,2022-02-09-01:34:21,0.79335
57,2022-02-09-01:34:22,0.69808
58,2022-02-09-01:34:22,0.40603
59,2022-02-09-01:34:23,0.60898
60,2022-02-09-01:34:23,0.78775
61,2022-02-09-01:34:24,0.82220
62,2022-02-09-01:34:25,0.73372
63,2022-02-09-01:34:26,0.70639
64,2022-02-09-01:34:26,0.53329
65,2022-02-09-01:34:27,0.60890
66,2022-02-09-01:34:28,0.85581
67,2022-02-09-01:34:28,0.58629
68,2022-02-09-01:34:29,0.42755
69,2022-02-09-01:34:31,2.15782
70,2022-02-09-01:34:33,2.55674
71,2022-02-09-01:34:35,1.32979
72,2022-02-09-01:34:36,0.88322
73,2022-02-09-01:34:36,0.70890
74,2022-02-09-01:34:37,0.66528
75,2022-02-09-01:34:38,0.59762
76,2022-02-09-01:34:38,0.75657
77,2022-02-09-01:34:39,0.67827
78,2022-02-09-01:34:40,0.55819
79,2022-02-09-01:34:40,0.47604
80,2022-02-09-01:34:41,0.77464
81,2022-02-09-01:34:42,0.86683
82,2022-02-09-01:34:42,0.48867
83,2022-02-09-01:34:43,0.84365
84,2022-02-09-01:34:44,1.09745
85,2022-02-09-01:34:45,0.89590
86,2022-02-09-01:34:46,0.66589
87,2022-02-09-01:34:47,0.92563
88,2022-02-09-01:34:47,0.81641
89,2022-02-09-01:34:48,0.78498
90,2022-02-09-01:34:49,0.98606
91,2022-02-09-01:34:50,0.72989
92,2022-02-09-01:34:51,0.89477
93,2022-02-09-01:34:51,0.43176
