timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640068711077192960,"2021-12-21,06:38:31",10.1.1.9,4423,0.000,0.000,0.000,0.000,0.000,0.000
1640068713432188928,"2021-12-21,06:38:33",10.1.1.9,362,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640068713475169024,"2021-12-21,06:38:33",10.1.1.9,0.40507984161376953,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640068713782747136,"2021-12-21,06:38:33",10.1.1.9,304,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640068713808450816,"2021-12-21,06:38:33",10.1.1.9,0.32993102073669434,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640068714101234944,"2021-12-21,06:38:34",10.1.1.9,291,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640068714136203008,"2021-12-21,06:38:34",10.1.1.9,0.32589006423950195,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640068714452446976,"2021-12-21,06:38:34",10.1.1.9,314,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640068714469392896,"2021-12-21,06:38:34",10.1.1.9,0.33165407180786133,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640068714801341184,"2021-12-21,06:38:34",10.1.1.9,330,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640068714805625856,"2021-12-21,06:38:34",10.1.1.9,0.3349020481109619,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640068715129936896,"2021-12-21,06:38:35",10.1.1.9,322,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640068715157768960,"2021-12-21,06:38:35",10.1.1.9,0.3505280017852783,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640068715487814912,"2021-12-21,06:38:35",10.1.1.9,0.3287069797515869,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640068715849071104,"2021-12-21,06:38:35",10.1.1.9,359,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640068715861332992,"2021-12-21,06:38:35",10.1.1.9,0.3716568946838379,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640068716199945984,"2021-12-21,06:38:36",10.1.1.9,335,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640068716212815104,"2021-12-21,06:38:36",10.1.1.9,0.34830212593078613,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640068716528559872,"2021-12-21,06:38:36",10.1.1.9,314,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640068716569900032,"2021-12-21,06:38:36",10.1.1.9,0.3557929992675781,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640068716867139072,"2021-12-21,06:38:36",10.1.1.9,295,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640068716887998208,"2021-12-21,06:38:36",10.1.1.9,0.3165872097015381,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640068717197165056,"2021-12-21,06:38:37",10.1.1.9,307,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640068717242408960,"2021-12-21,06:38:37",10.1.1.9,0.35292696952819824,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640068717557133056,"2021-12-21,06:38:37",10.1.1.9,313,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640068717576873984,"2021-12-21,06:38:37",10.1.1.9,0.3329939842224121,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640068718045660928,"2021-12-21,06:38:38",10.1.1.9,467,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640068718076998912,"2021-12-21,06:38:38",10.1.1.9,0.49862098693847656,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640068718367501056,"2021-12-21,06:38:38",10.1.1.9,289,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640068718392698880,"2021-12-21,06:38:38",10.1.1.9,0.31424403190612793,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640068718700068096,"2021-12-21,06:38:38",10.1.1.9,305,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640068718715784192,"2021-12-21,06:38:38",10.1.1.9,0.32107996940612793,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640068719031017984,"2021-12-21,06:38:39",10.1.1.9,313,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640068719040294912,"2021-12-21,06:38:39",10.1.1.9,0.3229219913482666,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640068719341576192,"2021-12-21,06:38:39",10.1.1.9,298,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640068719371815936,"2021-12-21,06:38:39",10.1.1.9,0.32919788360595703,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640068719665126144,"2021-12-21,06:38:39",10.1.1.9,292,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640068719686278144,"2021-12-21,06:38:39",10.1.1.9,0.3132040500640869,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640068719985613056,"2021-12-21,06:38:39",10.1.1.9,297,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640068720009689088,"2021-12-21,06:38:40",10.1.1.9,0.32205700874328613,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640068720336460032,"2021-12-21,06:38:40",10.1.1.9,323,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640068720352227840,"2021-12-21,06:38:40",10.1.1.9,0.3398151397705078,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640068720696496128,"2021-12-21,06:38:40",10.1.1.9,342,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640068720738060032,"2021-12-21,06:38:40",10.1.1.9,0.3831970691680908,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640068721048749824,"2021-12-21,06:38:41",10.1.1.9,306,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640068721070439936,"2021-12-21,06:38:41",10.1.1.9,0.32817506790161133,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640068721389060864,"2021-12-21,06:38:41",10.1.1.9,316,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640068721423108096,"2021-12-21,06:38:41",10.1.1.9,0.35103893280029297,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640068721749938944,"2021-12-21,06:38:41",10.1.1.9,325,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640068721763767040,"2021-12-21,06:38:41",10.1.1.9,0.33942294120788574,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640068722091406080,"2021-12-21,06:38:42",10.1.1.9,326,-0.260,-0.260,-0.260,0.000,0.000,0.000
