"iteration,date,executiontime"
160,2022-02-09-00:16:45,0.58499
161,2022-02-09-00:16:45,0.50195
162,2022-02-09-00:16:46,0.52747
163,2022-02-09-00:16:46,0.48175
164,2022-02-09-00:16:47,0.49269
165,2022-02-09-00:16:47,0.45990
166,2022-02-09-00:16:48,0.47208
167,2022-02-09-00:16:48,0.53668
168,2022-02-09-00:16:49,0.56403
169,2022-02-09-00:16:49,0.52684
170,2022-02-09-00:16:50,0.54811
171,2022-02-09-00:16:51,0.63202
172,2022-02-09-00:16:51,0.68018
173,2022-02-09-00:16:52,0.44508
174,2022-02-09-00:16:52,0.57371
175,2022-02-09-00:16:53,0.44283
176,2022-02-09-00:16:53,0.46265
177,2022-02-09-00:16:54,0.53956
178,2022-02-09-00:16:54,0.53167
179,2022-02-09-00:16:55,0.51719
180,2022-02-09-00:16:55,0.47346
181,2022-02-09-00:16:56,0.45845
182,2022-02-09-00:16:56,0.39286
183,2022-02-09-00:16:57,0.54052
184,2022-02-09-00:16:57,0.58557
185,2022-02-09-00:16:58,0.41595
186,2022-02-09-00:16:58,0.57311
187,2022-02-09-00:16:59,0.49300
188,2022-02-09-00:16:59,0.46588
189,2022-02-09-00:17:00,0.56441
190,2022-02-09-00:17:00,0.49919
191,2022-02-09-00:17:01,0.58465
192,2022-02-09-00:17:01,0.42207
193,2022-02-09-00:17:02,0.51401
194,2022-02-09-00:17:02,0.48864
195,2022-02-09-00:17:03,0.62621
196,2022-02-09-00:17:03,0.55396
197,2022-02-09-00:17:04,0.74957
198,2022-02-09-00:17:05,0.40204
199,2022-02-09-00:17:05,0.41566
200,2022-02-09-00:17:06,0.55341
201,2022-02-09-00:17:06,0.48476
202,2022-02-09-00:17:07,0.54523
203,2022-02-09-00:17:07,0.48274
204,2022-02-09-00:17:08,0.65320
205,2022-02-09-00:17:08,0.65147
206,2022-02-09-00:17:09,0.52891
207,2022-02-09-00:17:09,0.58540
208,2022-02-09-00:17:10,0.65842
209,2022-02-09-00:17:11,0.67819
210,2022-02-09-00:17:11,0.52075
211,2022-02-09-00:17:12,0.54048
212,2022-02-09-00:17:12,0.54489
213,2022-02-09-00:17:13,0.74973
214,2022-02-09-00:17:14,0.69923
215,2022-02-09-00:17:15,0.65800
216,2022-02-09-00:17:15,0.63834
217,2022-02-09-00:17:16,0.52125
218,2022-02-09-00:17:16,0.57635
219,2022-02-09-00:17:17,0.56223
220,2022-02-09-00:17:17,0.62465
221,2022-02-09-00:17:18,0.60745
222,2022-02-09-00:17:19,0.68956
223,2022-02-09-00:17:19,0.47422
224,2022-02-09-00:17:20,0.53195
225,2022-02-09-00:17:20,0.53585
226,2022-02-09-00:17:21,0.54379
227,2022-02-09-00:17:21,0.62068
228,2022-02-09-00:17:22,0.67341
229,2022-02-09-00:17:23,0.54288
230,2022-02-09-00:17:23,0.51133
231,2022-02-09-00:17:24,0.68823
232,2022-02-09-00:17:25,0.69668
233,2022-02-09-00:17:25,0.67594
234,2022-02-09-00:17:26,0.61449
235,2022-02-09-00:17:27,0.63977
236,2022-02-09-00:17:27,0.51375
237,2022-02-09-00:17:28,0.56785
238,2022-02-09-00:17:28,0.72154
239,2022-02-09-00:17:29,0.64037
240,2022-02-09-00:17:30,0.66193
241,2022-02-09-00:17:30,0.65774
242,2022-02-09-00:17:31,0.61189
243,2022-02-09-00:17:31,0.56437
244,2022-02-09-00:17:32,0.52016
245,2022-02-09-00:17:33,0.62710
246,2022-02-09-00:17:33,0.58300
247,2022-02-09-00:17:34,0.73039
248,2022-02-09-00:17:35,0.89109
249,2022-02-09-00:17:35,0.62337
250,2022-02-09-00:17:36,0.71106
251,2022-02-09-00:17:37,0.57427
252,2022-02-09-00:17:37,0.48506
253,2022-02-09-00:17:38,0.58617
254,2022-02-09-00:17:38,0.55446
255,2022-02-09-00:17:39,0.87451
256,2022-02-09-00:17:40,0.57715
257,2022-02-09-00:17:40,0.60308
258,2022-02-09-00:17:41,0.55389
259,2022-02-09-00:17:42,0.70271
260,2022-02-09-00:17:42,0.67487
261,2022-02-09-00:17:43,0.56591
262,2022-02-09-00:17:44,0.67137
263,2022-02-09-00:17:44,0.59922
264,2022-02-09-00:17:45,0.54812
265,2022-02-09-00:17:45,0.50351
266,2022-02-09-00:17:46,0.62733
267,2022-02-09-00:17:47,0.64781
268,2022-02-09-00:17:47,0.72214
269,2022-02-09-00:17:48,0.64593
270,2022-02-09-00:17:49,0.65134
271,2022-02-09-00:17:49,0.63247
272,2022-02-09-00:17:50,0.60374
273,2022-02-09-00:17:51,0.88117
274,2022-02-09-00:17:51,0.49038
275,2022-02-09-00:17:52,0.55279
276,2022-02-09-00:17:52,0.46769
277,2022-02-09-00:17:53,0.45400
278,2022-02-09-00:17:53,0.68098
279,2022-02-09-00:17:54,0.67069
280,2022-02-09-00:17:55,0.55253
281,2022-02-09-00:17:55,0.54007
282,2022-02-09-00:17:56,0.62493
283,2022-02-09-00:17:56,0.69380
284,2022-02-09-00:17:57,0.55592
285,2022-02-09-00:17:58,0.52491
286,2022-02-09-00:17:58,0.63179
287,2022-02-09-00:17:59,0.83786
288,2022-02-09-00:18:00,0.54009
289,2022-02-09-00:18:00,0.52909
290,2022-02-09-00:18:01,0.61148
291,2022-02-09-00:18:01,0.47465
292,2022-02-09-00:18:02,0.60538
293,2022-02-09-00:18:02,0.58125
294,2022-02-09-00:18:03,0.62530
295,2022-02-09-00:18:04,0.61302
296,2022-02-09-00:18:04,0.54908
297,2022-02-09-00:18:05,0.66894
298,2022-02-09-00:18:05,0.66640
299,2022-02-09-00:18:06,0.55883
300,2022-02-09-00:18:07,0.68431
301,2022-02-09-00:18:07,0.62418
302,2022-02-09-00:18:08,0.77128
303,2022-02-09-00:18:09,0.56128
304,2022-02-09-00:18:09,0.67317
305,2022-02-09-00:18:10,0.54712
306,2022-02-09-00:18:11,0.67740
307,2022-02-09-00:18:11,0.63817
308,2022-02-09-00:18:12,0.56197
309,2022-02-09-00:18:12,0.56563
310,2022-02-09-00:18:13,0.59385
311,2022-02-09-00:18:13,0.51755
312,2022-02-09-00:18:14,0.68866
313,2022-02-09-00:18:15,0.52678
314,2022-02-09-00:18:15,0.51473
315,2022-02-09-00:18:16,0.64700
316,2022-02-09-00:18:16,0.60683
317,2022-02-09-00:18:17,0.60194
318,2022-02-09-00:18:18,0.69429
319,2022-02-09-00:18:19,0.74742
320,2022-02-09-00:18:19,0.74282
321,2022-02-09-00:18:20,0.57145
322,2022-02-09-00:18:21,0.72332
323,2022-02-09-00:18:21,0.66634
324,2022-02-09-00:18:22,0.58177
325,2022-02-09-00:18:22,0.60793
326,2022-02-09-00:18:23,0.63761
327,2022-02-09-00:18:24,0.60985
328,2022-02-09-00:18:24,0.72140
329,2022-02-09-00:18:25,0.65268
330,2022-02-09-00:18:26,0.71971
331,2022-02-09-00:18:26,0.55485
332,2022-02-09-00:18:27,0.69011
333,2022-02-09-00:18:28,0.71354
334,2022-02-09-00:18:28,0.56450
335,2022-02-09-00:18:29,0.58465
336,2022-02-09-00:18:30,0.80413
337,2022-02-09-00:18:30,0.64722
338,2022-02-09-00:18:31,0.60644
339,2022-02-09-00:18:32,0.74786
340,2022-02-09-00:18:32,0.50632
341,2022-02-09-00:18:33,0.58453
342,2022-02-09-00:18:33,0.52697
343,2022-02-09-00:18:34,0.56741
344,2022-02-09-00:18:34,0.48672
345,2022-02-09-00:18:35,0.58401
346,2022-02-09-00:18:36,0.70806
347,2022-02-09-00:18:36,0.76783
348,2022-02-09-00:18:37,0.88337
349,2022-02-09-00:18:38,0.85530
350,2022-02-09-00:18:39,0.73183
351,2022-02-09-00:18:40,0.71965
352,2022-02-09-00:18:40,0.65195
353,2022-02-09-00:18:41,0.67423
