"iteration,date,executiontime"
0,2022-02-09-01:34:06,2.89697
1,2022-02-09-01:34:06,0.44020
2,2022-02-09-01:34:07,0.61389
3,2022-02-09-01:34:08,0.61271
4,2022-02-09-01:34:08,0.60411
5,2022-02-09-01:34:09,0.43378
6,2022-02-09-01:34:10,0.87663
7,2022-02-09-01:34:10,0.97785
8,2022-02-09-01:34:11,0.88737
9,2022-02-09-01:34:12,0.85800
10,2022-02-09-01:34:13,0.98255
11,2022-02-09-01:34:14,0.69604
12,2022-02-09-01:34:15,0.97543
13,2022-02-09-01:34:16,0.66159
14,2022-02-09-01:34:16,0.75785
15,2022-02-09-01:34:17,0.84639
16,2022-02-09-01:34:18,0.39295
17,2022-02-09-01:34:18,0.45573
18,2022-02-09-01:34:19,0.53362
19,2022-02-09-01:34:19,0.47532
20,2022-02-09-01:34:20,0.72835
21,2022-02-09-01:34:21,0.82653
22,2022-02-09-01:34:21,0.63135
23,2022-02-09-01:34:22,0.66856
24,2022-02-09-01:34:23,0.68419
25,2022-02-09-01:34:23,0.76414
26,2022-02-09-01:34:24,0.91903
27,2022-02-09-01:34:25,0.49700
28,2022-02-09-01:34:25,0.72798
29,2022-02-09-01:34:26,0.73845
30,2022-02-09-01:34:27,0.58924
31,2022-02-09-01:34:27,0.53168
32,2022-02-09-01:34:28,0.66876
33,2022-02-09-01:34:29,0.62361
34,2022-02-09-01:34:30,1.60838
35,2022-02-09-01:34:32,1.45673
36,2022-02-09-01:34:33,1.32704
37,2022-02-09-01:34:34,1.19890
38,2022-02-09-01:34:35,0.88253
39,2022-02-09-01:34:36,0.69639
40,2022-02-09-01:34:37,1.07104
41,2022-02-09-01:34:38,1.09642
42,2022-02-09-01:34:39,0.59665
43,2022-02-09-01:34:39,0.47835
44,2022-02-09-01:34:39,0.43720
45,2022-02-09-01:34:40,0.51466
46,2022-02-09-01:34:41,0.79699
47,2022-02-09-01:34:42,1.08831
48,2022-02-09-01:34:43,0.94699
49,2022-02-09-01:34:43,0.60778
50,2022-02-09-01:34:44,0.88955
51,2022-02-09-01:34:45,0.74401
52,2022-02-09-01:34:46,0.98989
53,2022-02-09-01:34:47,0.67805
54,2022-02-09-01:34:48,0.93527
55,2022-02-09-01:34:49,1.09223
56,2022-02-09-01:34:49,0.55396
57,2022-02-09-01:34:50,0.44915
58,2022-02-09-01:34:50,0.54000
59,2022-02-09-01:34:51,0.62050
60,2022-02-09-01:34:52,0.98772
61,2022-02-09-01:34:53,0.79436
62,2022-02-09-01:34:53,0.42522
63,2022-02-09-01:34:54,0.76756
64,2022-02-09-01:34:55,0.64036
65,2022-02-09-01:34:55,0.60312
66,2022-02-09-01:34:56,0.89562
67,2022-02-09-01:34:57,0.90618
68,2022-02-09-01:34:57,0.52053
69,2022-02-09-01:34:58,0.59036
70,2022-02-09-01:34:59,0.80784
71,2022-02-09-01:35:00,0.79515
72,2022-02-09-01:35:01,0.98593
73,2022-02-09-01:35:01,0.46902
74,2022-02-09-01:35:02,0.70915
75,2022-02-09-01:35:02,0.52668
76,2022-02-09-01:35:03,0.82852
77,2022-02-09-01:35:04,0.99283
78,2022-02-09-01:35:05,0.93113
79,2022-02-09-01:35:06,0.52887
80,2022-02-09-01:35:06,0.55735
81,2022-02-09-01:35:07,0.63151
82,2022-02-09-01:35:07,0.51193
83,2022-02-09-01:35:08,0.66062
84,2022-02-09-01:35:09,0.63801
85,2022-02-09-01:35:09,0.41942
86,2022-02-09-01:35:10,0.91191
87,2022-02-09-01:35:11,0.92820
88,2022-02-09-01:35:11,0.51995
89,2022-02-09-01:35:12,0.75602
90,2022-02-09-01:35:13,0.59456
91,2022-02-09-01:35:14,0.80920
92,2022-02-09-01:35:14,0.77742
93,2022-02-09-01:35:15,0.55846
94,2022-02-09-01:35:16,0.86823
95,2022-02-09-01:35:17,1.06713
96,2022-02-09-01:35:17,0.63013
97,2022-02-09-01:35:18,0.52554
98,2022-02-09-01:35:19,0.79139
99,2022-02-09-01:35:20,0.78103
100,2022-02-09-01:35:21,0.97770
101,2022-02-09-01:35:22,0.97252
102,2022-02-09-01:35:22,0.52741
103,2022-02-09-01:35:23,0.56771
104,2022-02-09-01:35:23,0.75134
105,2022-02-09-01:35:24,0.65120
106,2022-02-09-01:35:25,1.02635
107,2022-02-09-01:35:26,0.46750
108,2022-02-09-01:35:26,0.63992
109,2022-02-09-01:35:27,0.65756
110,2022-02-09-01:35:27,0.52041
111,2022-02-09-01:35:28,0.99137
112,2022-02-09-01:35:29,0.90377
113,2022-02-09-01:35:30,0.77931
114,2022-02-09-01:35:31,0.71553
115,2022-02-09-01:35:31,0.45837
116,2022-02-09-01:35:32,0.86473
117,2022-02-09-01:35:33,0.86785
118,2022-02-09-01:35:34,0.80719
119,2022-02-09-01:35:35,0.99167
120,2022-02-09-01:35:35,0.53337
121,2022-02-09-01:35:36,0.70156
122,2022-02-09-01:35:37,0.67222
123,2022-02-09-01:35:37,0.47403
124,2022-02-09-01:35:38,0.89915
125,2022-02-09-01:35:39,0.63016
126,2022-02-09-01:35:40,0.96757
127,2022-02-09-01:35:41,0.99905
128,2022-02-09-01:35:41,0.87704
129,2022-02-09-01:35:42,0.64478
130,2022-02-09-01:35:43,0.58512
131,2022-02-09-01:35:44,1.08885
132,2022-02-09-01:35:45,0.96476
133,2022-02-09-01:35:46,0.83162
134,2022-02-09-01:35:46,0.61414
135,2022-02-09-01:35:47,0.92378
136,2022-02-09-01:35:48,0.83202
137,2022-02-09-01:35:49,0.72164
138,2022-02-09-01:35:50,0.83761
139,2022-02-09-01:35:50,0.79226
140,2022-02-09-01:35:51,0.91515
141,2022-02-09-01:35:52,0.93903
142,2022-02-09-01:35:53,0.44151
143,2022-02-09-01:35:53,0.54056
144,2022-02-09-01:35:54,0.46170
145,2022-02-09-01:35:54,0.65933
146,2022-02-09-01:35:55,1.07225
147,2022-02-09-01:35:56,0.81829
148,2022-02-09-01:35:57,0.62052
149,2022-02-09-01:35:58,0.97369
150,2022-02-09-01:35:59,0.91330
151,2022-02-09-01:35:59,0.60297
152,2022-02-09-01:36:00,0.83564
153,2022-02-09-01:36:01,0.55945
154,2022-02-09-01:36:02,0.88445
155,2022-02-09-01:36:03,0.96965
156,2022-02-09-01:36:03,0.70402
157,2022-02-09-01:36:04,1.16363
158,2022-02-09-01:36:05,0.52832
159,2022-02-09-01:36:06,0.72290
160,2022-02-09-01:36:06,0.66615
161,2022-02-09-01:36:07,0.76263
162,2022-02-09-01:36:08,0.60433
163,2022-02-09-01:36:09,0.93188
164,2022-02-09-01:36:10,1.09072
165,2022-02-09-01:36:11,0.93083
166,2022-02-09-01:36:11,0.66705
167,2022-02-09-01:36:12,1.04529
168,2022-02-09-01:36:13,1.00965
169,2022-02-09-01:36:14,0.89981
170,2022-02-09-01:36:15,0.75055
171,2022-02-09-01:36:16,0.85078
172,2022-02-09-01:36:17,0.67473
173,2022-02-09-01:36:17,0.59482
174,2022-02-09-01:36:18,0.60356
