"iteration,date,executiontime"
0,2022-02-09-01:33:42,2.89731
1,2022-02-09-01:33:42,0.61186
2,2022-02-09-01:33:43,0.81710
3,2022-02-09-01:33:44,0.41354
4,2022-02-09-01:33:44,0.84986
5,2022-02-09-01:33:45,0.78052
6,2022-02-09-01:33:46,0.43235
7,2022-02-09-01:33:46,0.78053
8,2022-02-09-01:33:47,0.67686
9,2022-02-09-01:33:48,0.82962
10,2022-02-09-01:33:49,0.61578
11,2022-02-09-01:33:49,0.58137
12,2022-02-09-01:33:50,0.73347
13,2022-02-09-01:33:51,0.73424
14,2022-02-09-01:33:51,0.64928
15,2022-02-09-01:33:52,1.05766
16,2022-02-09-01:33:53,0.72639
17,2022-02-09-01:33:54,0.48411
18,2022-02-09-01:33:54,0.41357
19,2022-02-09-01:33:54,0.44500
20,2022-02-09-01:33:55,0.83728
21,2022-02-09-01:33:56,0.84087
22,2022-02-09-01:33:57,0.77518
23,2022-02-09-01:33:57,0.65705
24,2022-02-09-01:33:58,0.38287
25,2022-02-09-01:33:58,0.58292
26,2022-02-09-01:33:59,0.81872
27,2022-02-09-01:34:00,0.83210
28,2022-02-09-01:34:01,0.51264
29,2022-02-09-01:34:01,0.62322
30,2022-02-09-01:34:02,0.62958
31,2022-02-09-01:34:03,0.76690
32,2022-02-09-01:34:04,0.93325
33,2022-02-09-01:34:04,0.66655
34,2022-02-09-01:34:05,0.71834
35,2022-02-09-01:34:05,0.44824
36,2022-02-09-01:34:06,0.74362
37,2022-02-09-01:34:07,0.62747
38,2022-02-09-01:34:07,0.45992
39,2022-02-09-01:34:08,0.50890
40,2022-02-09-01:34:08,0.55650
41,2022-02-09-01:34:09,0.65770
42,2022-02-09-01:34:10,0.80022
43,2022-02-09-01:34:10,0.64527
44,2022-02-09-01:34:11,0.84725
45,2022-02-09-01:34:12,0.75855
46,2022-02-09-01:34:13,0.67009
47,2022-02-09-01:34:14,1.09450
48,2022-02-09-01:34:14,0.39444
49,2022-02-09-01:34:15,0.84171
50,2022-02-09-01:34:16,0.79458
51,2022-02-09-01:34:16,0.56648
52,2022-02-09-01:34:17,0.86393
53,2022-02-09-01:34:18,0.82852
54,2022-02-09-01:34:19,0.55752
55,2022-02-09-01:34:20,1.05341
56,2022-02-09-01:34:20,0.63880
57,2022-02-09-01:34:21,0.48187
58,2022-02-09-01:34:21,0.39409
59,2022-02-09-01:34:22,0.71083
60,2022-02-09-01:34:23,0.89363
61,2022-02-09-01:34:24,0.89304
62,2022-02-09-01:34:24,0.63261
63,2022-02-09-01:34:25,0.42235
64,2022-02-09-01:34:25,0.52899
65,2022-02-09-01:34:26,0.44457
66,2022-02-09-01:34:27,0.93419
67,2022-02-09-01:34:27,0.59443
68,2022-02-09-01:34:28,0.62448
69,2022-02-09-01:34:29,0.79451
70,2022-02-09-01:34:30,1.11814
71,2022-02-09-01:34:32,1.75513
72,2022-02-09-01:34:33,1.79009
73,2022-02-09-01:34:35,1.56461
74,2022-02-09-01:34:36,1.16852
75,2022-02-09-01:34:37,0.87066
76,2022-02-09-01:34:38,1.09330
77,2022-02-09-01:34:39,0.95803
78,2022-02-09-01:34:40,0.61663
79,2022-02-09-01:34:40,0.85627
80,2022-02-09-01:34:41,0.44266
81,2022-02-09-01:34:42,0.60692
82,2022-02-09-01:34:42,0.92287
83,2022-02-09-01:34:43,0.63941
84,2022-02-09-01:34:44,0.69055
85,2022-02-09-01:34:44,0.50396
86,2022-02-09-01:34:45,0.89277
87,2022-02-09-01:34:46,1.03253
88,2022-02-09-01:34:47,0.99280
89,2022-02-09-01:34:48,0.77585
90,2022-02-09-01:34:49,1.03649
91,2022-02-09-01:34:50,0.65567
92,2022-02-09-01:34:50,0.80197
93,2022-02-09-01:34:51,0.52049
94,2022-02-09-01:34:52,0.73425
95,2022-02-09-01:34:53,0.82002
96,2022-02-09-01:34:53,0.73111
97,2022-02-09-01:34:54,0.84091
98,2022-02-09-01:34:55,0.67112
99,2022-02-09-01:34:55,0.40000
100,2022-02-09-01:34:56,0.87228
101,2022-02-09-01:34:57,0.91997
102,2022-02-09-01:34:58,0.66544
103,2022-02-09-01:34:58,0.64127
104,2022-02-09-01:34:59,0.56943
105,2022-02-09-01:35:00,0.80440
106,2022-02-09-01:35:01,1.08781
107,2022-02-09-01:35:02,0.77947
108,2022-02-09-01:35:02,0.73542
109,2022-02-09-01:35:03,0.86631
110,2022-02-09-01:35:04,0.63669
111,2022-02-09-01:35:04,0.70908
112,2022-02-09-01:35:05,0.70032
113,2022-02-09-01:35:06,0.64738
114,2022-02-09-01:35:07,0.95783
115,2022-02-09-01:35:08,0.97536
116,2022-02-09-01:35:08,0.62699
117,2022-02-09-01:35:09,0.68206
118,2022-02-09-01:35:10,0.57314
119,2022-02-09-01:35:10,0.53773
120,2022-02-09-01:35:11,0.56503
121,2022-02-09-01:35:11,0.62844
122,2022-02-09-01:35:12,0.52940
123,2022-02-09-01:35:13,0.78184
124,2022-02-09-01:35:14,0.92340
125,2022-02-09-01:35:14,0.49856
126,2022-02-09-01:35:15,0.87011
127,2022-02-09-01:35:16,0.96235
128,2022-02-09-01:35:17,0.64407
129,2022-02-09-01:35:17,0.86353
130,2022-02-09-01:35:18,0.56659
131,2022-02-09-01:35:19,0.74210
132,2022-02-09-01:35:20,0.81302
133,2022-02-09-01:35:20,0.67692
134,2022-02-09-01:35:21,0.64096
135,2022-02-09-01:35:22,1.09529
136,2022-02-09-01:35:23,0.56388
137,2022-02-09-01:35:23,0.44464
138,2022-02-09-01:35:24,0.76534
139,2022-02-09-01:35:25,0.73772
140,2022-02-09-01:35:26,0.98507
141,2022-02-09-01:35:26,0.95352
142,2022-02-09-01:35:27,0.58840
143,2022-02-09-01:35:28,0.56153
144,2022-02-09-01:35:28,0.83279
145,2022-02-09-01:35:29,0.56993
146,2022-02-09-01:35:30,1.17739
147,2022-02-09-01:35:31,0.88181
148,2022-02-09-01:35:32,0.64099
149,2022-02-09-01:35:33,0.83951
150,2022-02-09-01:35:33,0.73334
151,2022-02-09-01:35:34,0.87578
152,2022-02-09-01:35:35,0.76339
153,2022-02-09-01:35:36,0.96062
154,2022-02-09-01:35:37,1.03180
155,2022-02-09-01:35:38,0.84645
156,2022-02-09-01:35:38,0.42950
157,2022-02-09-01:35:39,0.80124
158,2022-02-09-01:35:40,0.60313
159,2022-02-09-01:35:41,0.96807
160,2022-02-09-01:35:41,0.69510
161,2022-02-09-01:35:42,0.72255
162,2022-02-09-01:35:43,0.72760
163,2022-02-09-01:35:43,0.56353
164,2022-02-09-01:35:44,0.88461
165,2022-02-09-01:35:45,0.76417
166,2022-02-09-01:35:46,0.68408
167,2022-02-09-01:35:46,0.82004
168,2022-02-09-01:35:47,0.88541
169,2022-02-09-01:35:48,0.84127
170,2022-02-09-01:35:49,0.95275
171,2022-02-09-01:35:50,0.64049
172,2022-02-09-01:35:51,0.88493
173,2022-02-09-01:35:52,0.84762
174,2022-02-09-01:35:52,0.49560
175,2022-02-09-01:35:53,0.82612
176,2022-02-09-01:35:53,0.59160
177,2022-02-09-01:35:54,0.87801
178,2022-02-09-01:35:55,0.89416
179,2022-02-09-01:35:56,0.75330
180,2022-02-09-01:35:57,0.92264
181,2022-02-09-01:35:58,0.76561
182,2022-02-09-01:35:58,0.55625
183,2022-02-09-01:35:59,0.48415
184,2022-02-09-01:35:59,0.46902
185,2022-02-09-01:36:00,0.57118
186,2022-02-09-01:36:01,0.95591
187,2022-02-09-01:36:01,0.78994
188,2022-02-09-01:36:02,0.63815
189,2022-02-09-01:36:03,0.96482
190,2022-02-09-01:36:04,0.75979
191,2022-02-09-01:36:05,0.77546
192,2022-02-09-01:36:05,0.85261
