timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640060650705395968,"2021-12-21,04:24:10",10.1.1.5,4705,0.000,0.000,0.000,0.000,0.000,0.000
1640060653012284928,"2021-12-21,04:24:13",10.1.1.5,314,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640060653037614080,"2021-12-21,04:24:13",10.1.1.5,0.34021902084350586,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640060653341517824,"2021-12-21,04:24:13",10.1.1.5,302,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640060653368574976,"2021-12-21,04:24:13",10.1.1.5,0.3296661376953125,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640060653670257920,"2021-12-21,04:24:13",10.1.1.5,299,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640060653691803904,"2021-12-21,04:24:13",10.1.1.5,0.32137107849121094,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640060653989048832,"2021-12-21,04:24:13",10.1.1.5,295,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640060654023361024,"2021-12-21,04:24:14",10.1.1.5,0.33002400398254395,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640060654358084864,"2021-12-21,04:24:14",10.1.1.5,333,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640060654374877952,"2021-12-21,04:24:14",10.1.1.5,0.34998416900634766,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640060654690790912,"2021-12-21,04:24:14",10.1.1.5,313,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640060654707453952,"2021-12-21,04:24:14",10.1.1.5,0.3305191993713379,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640060655038748928,"2021-12-21,04:24:15",10.1.1.5,329,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640060655069158912,"2021-12-21,04:24:15",10.1.1.5,0.3599429130554199,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640060655398215936,"2021-12-21,04:24:15",10.1.1.5,327,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640060655432344832,"2021-12-21,04:24:15",10.1.1.5,0.36145901679992676,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640060655768055808,"2021-12-21,04:24:15",10.1.1.5,329,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640060655820204032,"2021-12-21,04:24:15",10.1.1.5,0.38051700592041016,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640060656155922944,"2021-12-21,04:24:16",10.1.1.5,331,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640060656169915904,"2021-12-21,04:24:16",10.1.1.5,0.3453948497772217,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640060656515923968,"2021-12-21,04:24:16",10.1.1.5,343,-0.110,-0.110,-0.110,0.000,0.000,0.000
