iteration,date,executiontime
1,2022-02-12-14:53:14,4.008308
2,2022-02-12-14:53:18,3.493277
3,2022-02-12-14:53:28,4.698824
4,2022-02-12-14:53:45,8.706762
5,2022-02-12-14:53:50,3.929896
6,2022-02-12-14:53:52,2.160996
7,2022-02-12-14:53:54,2.605768
8,2022-02-12-14:53:57,2.629223
9,2022-02-12-14:54:00,2.448391
10,2022-02-12-14:54:05,4.317539
11,2022-02-12-14:54:08,3.490914
12,2022-02-12-14:54:11,2.195527
13,2022-02-12-14:54:22,5.718796
14,2022-02-12-14:54:35,7.140804
15,2022-02-12-14:54:44,3.163224
16,2022-02-12-14:55:04,15.540549
17,2022-02-12-14:55:07,2.225666
18,2022-02-12-14:55:09,2.428163
19,2022-02-12-14:55:10,1.136015
20,2022-02-12-14:55:12,1.656737
21,2022-02-12-14:55:14,1.705364
22,2022-02-12-14:55:16,1.957722
23,2022-02-12-14:55:18,2.263009
24,2022-02-12-14:55:22,3.687745
25,2022-02-12-14:55:25,3.566955
26,2022-02-12-14:55:29,3.557287
27,2022-02-12-14:55:32,3.496161
28,2022-02-12-14:55:33,1.085162
29,2022-02-12-14:55:37,3.600801
30,2022-02-12-14:55:40,3.567400
31,2022-02-12-14:55:42,1.341453
32,2022-02-12-14:55:44,1.858107
33,2022-02-12-14:55:45,1.896992
34,2022-02-12-14:55:49,3.509949
35,2022-02-12-14:55:52,3.175029
36,2022-02-12-14:55:54,1.938010
37,2022-02-12-14:55:56,1.901688
38,2022-02-12-14:55:58,1.897135
39,2022-02-12-14:55:59,1.544068
40,2022-02-12-14:56:01,1.760760
41,2022-02-12-14:56:03,2.217178
42,2022-02-12-14:56:06,2.164553
43,2022-02-12-14:56:07,1.700882
44,2022-02-12-14:56:09,1.346131
45,2022-02-12-14:56:10,1.590264
46,2022-02-12-14:56:12,1.763124
47,2022-02-12-14:56:14,1.633888
48,2022-02-12-14:56:15,1.706432
49,2022-02-12-14:56:17,1.915948
50,2022-02-12-14:56:19,1.590213
51,2022-02-12-14:56:21,1.749051
52,2022-02-12-14:56:22,1.532059
53,2022-02-12-14:56:24,1.819873
54,2022-02-12-14:56:26,1.744098
55,2022-02-12-14:56:27,1.754884
56,2022-02-12-14:56:29,1.951753
57,2022-02-12-14:56:31,1.703426
58,2022-02-12-14:56:32,1.326497
59,2022-02-12-14:56:34,1.551903
60,2022-02-12-14:56:36,1.938067
61,2022-02-12-14:56:39,3.117020
62,2022-02-12-14:56:42,3.114713
63,2022-02-12-14:56:45,2.665547
64,2022-02-12-14:56:47,2.636481
65,2022-02-12-14:56:49,1.743120
66,2022-02-12-14:56:51,1.682917
67,2022-02-12-14:56:54,3.480966
68,2022-02-12-14:56:57,3.110594
69,2022-02-12-14:56:59,1.986869
70,2022-02-12-14:57:01,1.945176
71,2022-02-12-14:57:05,3.117488
72,2022-02-12-14:57:08,3.852900
73,2022-02-12-14:57:10,2.012896
74,2022-02-12-14:57:13,2.571962
75,2022-02-12-14:57:15,1.765549
76,2022-02-12-14:57:17,1.970593
77,2022-02-12-14:57:19,1.930133
