"iteration,date,executiontime"
0,2022-02-09-01:33:42,2.50150
1,2022-02-09-01:33:42,0.55130
2,2022-02-09-01:33:43,0.75626
3,2022-02-09-01:33:44,0.53390
4,2022-02-09-01:33:45,0.98085
5,2022-02-09-01:33:46,0.82766
6,2022-02-09-01:33:46,0.41429
7,2022-02-09-01:33:47,0.62930
8,2022-02-09-01:33:47,0.81589
9,2022-02-09-01:33:48,0.78340
10,2022-02-09-01:33:49,0.95332
11,2022-02-09-01:33:50,0.39170
12,2022-02-09-01:33:50,0.73415
13,2022-02-09-01:33:51,0.76374
14,2022-02-09-01:33:52,0.63775
15,2022-02-09-01:33:53,1.08559
16,2022-02-09-01:33:53,0.55374
17,2022-02-09-01:33:54,0.64028
18,2022-02-09-01:33:55,0.64543
19,2022-02-09-01:33:55,0.48683
20,2022-02-09-01:33:56,0.95246
21,2022-02-09-01:33:57,0.93237
22,2022-02-09-01:33:58,0.62189
23,2022-02-09-01:33:58,0.56151
24,2022-02-09-01:33:59,0.71050
25,2022-02-09-01:33:59,0.54186
26,2022-02-09-01:34:00,0.62749
27,2022-02-09-01:34:01,0.62557
28,2022-02-09-01:34:01,0.38634
29,2022-02-09-01:34:02,0.82410
30,2022-02-09-01:34:03,0.68893
31,2022-02-09-01:34:03,0.92367
32,2022-02-09-01:34:04,0.97728
33,2022-02-09-01:34:05,0.68446
34,2022-02-09-01:34:06,0.97960
35,2022-02-09-01:34:07,0.95932
36,2022-02-09-01:34:08,0.53765
37,2022-02-09-01:34:08,0.75340
38,2022-02-09-01:34:09,0.65514
39,2022-02-09-01:34:10,0.48642
40,2022-02-09-01:34:10,0.84886
41,2022-02-09-01:34:11,0.75468
42,2022-02-09-01:34:12,0.72512
43,2022-02-09-01:34:12,0.60754
44,2022-02-09-01:34:13,0.66027
45,2022-02-09-01:34:14,0.40554
46,2022-02-09-01:34:14,0.71841
47,2022-02-09-01:34:15,0.74669
48,2022-02-09-01:34:15,0.46281
49,2022-02-09-01:34:16,0.92378
50,2022-02-09-01:34:17,0.78855
51,2022-02-09-01:34:18,0.69242
52,2022-02-09-01:34:19,0.77934
53,2022-02-09-01:34:19,0.67233
54,2022-02-09-01:34:20,0.88144
55,2022-02-09-01:34:21,0.99174
56,2022-02-09-01:34:22,0.62266
57,2022-02-09-01:34:22,0.59495
58,2022-02-09-01:34:23,0.72929
59,2022-02-09-01:34:24,0.49514
60,2022-02-09-01:34:25,0.98616
61,2022-02-09-01:34:25,0.85436
62,2022-02-09-01:34:26,0.59895
63,2022-02-09-01:34:27,0.76490
64,2022-02-09-01:34:28,0.78214
65,2022-02-09-01:34:28,0.62653
66,2022-02-09-01:34:29,1.08702
67,2022-02-09-01:34:32,2.17404
68,2022-02-09-01:34:33,1.09272
69,2022-02-09-01:34:34,1.59226
70,2022-02-09-01:34:35,0.89422
71,2022-02-09-01:34:36,0.85197
72,2022-02-09-01:34:37,0.99490
73,2022-02-09-01:34:38,0.63458
