timestamp,date,init_position,final_position,latency
1643877309231952896,2022-02-03-08:35:09,-1,2,3220
1643877313255512832,2022-02-03-08:35:13,-1,1,4023
1643877314863835136,2022-02-03-08:35:14,-1,6,1607
1643877321925880832,2022-02-03-08:35:21,-1,8,7061
1643877322127566080,2022-02-03-08:35:22,-1,8,201
1643877334406867968,2022-02-03-08:35:34,-1,2,12278
1643877337640242944,2022-02-03-08:35:37,-1,4,3233
1643877340862240000,2022-02-03-08:35:40,-1,0,3221
1643877343679919104,2022-02-03-08:35:43,-1,3,2817
1643877350716381952,2022-02-03-08:35:50,-1,2,7035
1643877354744237824,2022-02-03-08:35:54,-1,1,4027
1643877357357316096,2022-02-03-08:35:57,-1,0,2612
1643877363195909120,2022-02-03-08:36:03,-1,9,5838
1643877366417452032,2022-02-03-08:36:06,-1,3,3221
1643877370250534144,2022-02-03-08:36:10,-1,4,3832
1643877373076976896,2022-02-03-08:36:13,-1,5,2826
1643877375292797952,2022-02-03-08:36:15,-1,4,2215
1643877377509506816,2022-02-03-08:36:17,-1,5,2216
1643877377710884096,2022-02-03-08:36:17,-1,5,201
1643877379928129792,2022-02-03-08:36:19,-1,4,2216
1643877382952300032,2022-02-03-08:36:22,-1,0,3023
1643877386172316928,2022-02-03-08:36:26,-1,6,3219
1643877386375809792,2022-02-03-08:36:26,-1,6,203
1643877391411709184,2022-02-03-08:36:31,-1,7,5035
1643877396444376832,2022-02-03-08:36:36,-1,3,5032
1643877400278697984,2022-02-03-08:36:40,-1,4,3833
1643877409356013056,2022-02-03-08:36:49,-1,8,9077
1643877413986968064,2022-02-03-08:36:53,-1,7,4630
1643877418424257024,2022-02-03-08:36:58,-1,0,4436
1643877422051964928,2022-02-03-08:37:02,-1,3,3627
1643877425470467072,2022-02-03-08:37:05,-1,1,3418
1643877430907931136,2022-02-03-08:37:10,-1,7,5437
1643877434125879040,2022-02-03-08:37:14,-1,4,3217
1643877438165203200,2022-02-03-08:37:18,-1,3,4038
1643877445210278912,2022-02-03-08:37:25,-1,2,7043
1643877448431639808,2022-02-03-08:37:28,-1,4,3221
1643877451657729024,2022-02-03-08:37:31,-1,7,3225
1643877456696715008,2022-02-03-08:37:36,-1,6,5038
1643877462139460096,2022-02-03-08:37:42,-1,2,5442
1643877469185328896,2022-02-03-08:37:49,-1,3,7045
1643877472217166848,2022-02-03-08:37:52,-1,6,3031
1643877475244525824,2022-02-03-08:37:55,-1,0,3026
1643877481081444096,2022-02-03-08:38:01,-1,9,5836
1643877483494820096,2022-02-03-08:38:03,-1,0,2413
1643877485916985088,2022-02-03-08:38:05,-1,6,2421
1643877487729132800,2022-02-03-08:38:07,-1,1,1811
1643877491145828096,2022-02-03-08:38:11,-1,9,3416
1643877494167341056,2022-02-03-08:38:14,-1,6,3020
1643877499604201984,2022-02-03-08:38:19,-1,2,5436
1643877505035727872,2022-02-03-08:38:25,-1,5,5431
1643877512088505088,2022-02-03-08:38:32,-1,8,7052
1643877512289666816,2022-02-03-08:38:32,-1,8,200
1643877516109294848,2022-02-03-08:38:36,-1,6,3819
1643877516310808832,2022-02-03-08:38:36,-1,6,201
1643877523366703104,2022-02-03-08:38:43,-1,7,7055
1643877526209543936,2022-02-03-08:38:46,-1,9,2842
1643877527823456000,2022-02-03-08:38:47,-1,5,1613
1643877531661164032,2022-02-03-08:38:51,-1,6,3837
1643877536705229056,2022-02-03-08:38:56,-1,7,5043
1643877540123820032,2022-02-03-08:39:00,-1,5,3418
1643877545569596928,2022-02-03-08:39:05,-1,2,5445
1643877551016360960,2022-02-03-08:39:11,-1,5,5446
1643877555857779968,2022-02-03-08:39:15,-1,3,4840
1643877560891501056,2022-02-03-08:39:20,-1,7,5033
1643877561094811904,2022-02-03-08:39:21,-1,7,202
1643877563916353024,2022-02-03-08:39:23,-1,9,2821
1643877567546448896,2022-02-03-08:39:27,-1,1,3629
1643877570164398080,2022-02-03-08:39:30,-1,0,2617
1643877576025489920,2022-02-03-08:39:36,-1,9,5860
1643877578856382976,2022-02-03-08:39:38,-1,7,2830
1643877581688098816,2022-02-03-08:39:41,-1,9,2831
1643877590156534016,2022-02-03-08:39:50,-1,8,8468
1643877592769708032,2022-02-03-08:39:52,-1,9,2612
1643877596195458048,2022-02-03-08:39:56,-1,1,3425
1643877596398857216,2022-02-03-08:39:56,-1,1,201
1643877598011225088,2022-02-03-08:39:58,-1,6,1612
1643877605099700992,2022-02-03-08:40:05,-1,7,7087
1643877610601612032,2022-02-03-08:40:10,-1,1,5501
1643877614048643072,2022-02-03-08:40:14,-1,9,3446
1643877618083581952,2022-02-03-08:40:18,-1,2,4034
1643877618284632832,2022-02-03-08:40:18,-1,2,200
1643877621529062144,2022-02-03-08:40:21,-1,4,3243
1643877623950483200,2022-02-03-08:40:23,-1,1,2421
1643877626584781056,2022-02-03-08:40:26,-1,0,2633
1643877626787224064,2022-02-03-08:40:26,-1,0,201
1643877626989068032,2022-02-03-08:40:26,-1,0,201
1643877629405076992,2022-02-03-08:40:29,-1,1,2415
1643877631017093888,2022-02-03-08:40:31,-1,6,1611
1643877637691155968,2022-02-03-08:40:37,-1,7,6673
1643877637896760064,2022-02-03-08:40:37,-1,7,205
1643877641142464000,2022-02-03-08:40:41,-1,4,3245
1643877644379431936,2022-02-03-08:40:44,-1,7,3236
1643877649847214848,2022-02-03-08:40:49,-1,1,5467
1643877658338275072,2022-02-03-08:40:58,-1,8,8490
1643877662381204992,2022-02-03-08:41:02,-1,4,4042
1643877664800096000,2022-02-03-08:41:04,-1,1,2418
1643877668234839808,2022-02-03-08:41:08,-1,3,3434
1643877671656627968,2022-02-03-08:41:11,-1,1,3421
1643877677103249152,2022-02-03-08:41:17,-1,7,5446
1643877682156348928,2022-02-03-08:41:22,-1,3,5052
1643877684978672896,2022-02-03-08:41:24,-1,0,2821
1643877687605811968,2022-02-03-08:41:27,-1,1,2626
1643877690227900928,2022-02-03-08:41:30,-1,0,2621
1643877696068013056,2022-02-03-08:41:36,-1,9,5839
1643877697888695040,2022-02-03-08:41:37,-1,4,1820
1643877701114113024,2022-02-03-08:41:41,-1,7,3225
1643877704537987072,2022-02-03-08:41:44,-1,5,3423
1643877706751897088,2022-02-03-08:41:46,-1,4,2213
1643877709979124992,2022-02-03-08:41:49,-1,7,3226
1643877713406842880,2022-02-03-08:41:53,-1,5,3427
1643877716227160064,2022-02-03-08:41:56,-1,0,2819
1643877719452946944,2022-02-03-08:41:59,-1,9,3225
1643877722677334016,2022-02-03-08:42:02,-1,3,3224
1643877725699054848,2022-02-03-08:42:05,-1,6,3021
1643877728119476992,2022-02-03-08:42:08,-1,4,2420
1643877729932297984,2022-02-03-08:42:09,-1,9,1812
1643877733357399040,2022-02-03-08:42:13,-1,1,3424
