timestamp,date,init_position,final_position,latency
1643876902821701120,2022-02-03-08:28:22,-1,2,7248
1643876906852423936,2022-02-03-08:28:26,-1,9,4030
1643876910480593920,2022-02-03-08:28:30,-1,1,3627
1643876916119657984,2022-02-03-08:28:36,-1,7,5638
1643876920347932160,2022-02-03-08:28:40,-1,0,4227
1643876926605936128,2022-02-03-08:28:46,-1,2,6257
1643876930641393920,2022-02-03-08:28:50,-1,9,4034
1643876934664007936,2022-02-03-08:28:54,-1,2,4022
1643876940102947840,2022-02-03-08:29:00,-1,6,5438
1643876942323427072,2022-02-03-08:29:02,-1,4,2220
1643876942525451008,2022-02-03-08:29:02,-1,4,201
1643876942727348992,2022-02-03-08:29:02,-1,4,201
1643876945153156096,2022-02-03-08:29:05,-1,1,2425
1643876953621881856,2022-02-03-08:29:13,-1,8,8468
1643876958056994816,2022-02-03-08:29:18,-1,0,4434
1643876966122029056,2022-02-03-08:29:26,-1,2,8064
1643876972365801216,2022-02-03-08:29:32,-1,0,6243
1643876978601913856,2022-02-03-08:29:38,-1,2,6235
1643876983243460864,2022-02-03-08:29:43,-1,4,4641
1643876985462450944,2022-02-03-08:29:45,-1,9,2218
1643876988680996864,2022-02-03-08:29:48,-1,3,3218
1643876992100528128,2022-02-03-08:29:52,-1,1,3419
1643876996123800064,2022-02-03-08:29:56,-1,2,4022
1643877000155491072,2022-02-03-08:30:00,-1,9,4031
1643877002577565952,2022-02-03-08:30:02,-1,0,2421
1643877004994770944,2022-02-03-08:30:04,-1,6,2416
1643877008017558016,2022-02-03-08:30:08,-1,3,3022
1643877011043236096,2022-02-03-08:30:11,-1,6,3025
1643877014063108864,2022-02-03-08:30:14,-1,3,3019
1643877017084791808,2022-02-03-08:30:17,-1,6,3021
1643877019501221888,2022-02-03-08:30:19,-1,4,2416
1643877021713696000,2022-02-03-08:30:21,-1,6,2211
1643877024738814976,2022-02-03-08:30:24,-1,9,3024
1643877026360740864,2022-02-03-08:30:26,-1,5,1621
1643877030589613824,2022-02-03-08:30:30,-1,1,4228
1643877033209330944,2022-02-03-08:30:33,-1,0,2619
1643877039040806144,2022-02-03-08:30:39,-1,9,5831
1643877040853287936,2022-02-03-08:30:40,-1,4,1812
1643877043268610048,2022-02-03-08:30:43,-1,1,2414
1643877046694496000,2022-02-03-08:30:46,-1,9,3425
1643877048312608000,2022-02-03-08:30:48,-1,5,1617
1643877051743730176,2022-02-03-08:30:51,-1,7,3430
1643877056384939008,2022-02-03-08:30:56,-1,8,4640
1643877058595685120,2022-02-03-08:30:58,-1,2,2210
1643877065641254912,2022-02-03-08:31:05,-1,3,7045
1643877071069853184,2022-02-03-08:31:11,-1,8,5428
1643877073079993856,2022-02-03-08:31:13,-1,1,2009
1643877081536800000,2022-02-03-08:31:21,-1,7,8456
1643877085767569152,2022-02-03-08:31:25,-1,0,4230
1643877088996061952,2022-02-03-08:31:28,-1,6,3227
1643877094024389120,2022-02-03-08:31:34,-1,7,5027
1643877096841454080,2022-02-03-08:31:36,-1,9,2816
1643877105299459840,2022-02-03-08:31:45,-1,8,8457
1643877108716677888,2022-02-03-08:31:48,-1,5,3416
1643877113755078144,2022-02-03-08:31:53,-1,1,5038
1643877113960201984,2022-02-03-08:31:53,-1,1,204
1643877118188077824,2022-02-03-08:31:58,-1,5,4227
1643877118388961024,2022-02-03-08:31:58,-1,5,200
1643877121006118912,2022-02-03-08:32:01,-1,0,2616
1643877123423337984,2022-02-03-08:32:03,-1,9,2416
