timestamp,date,init_position,final_position,latency
1643844459477349120,2022-02-02-23:27:39,-1,2,7240
1643844463511121920,2022-02-02-23:27:43,-1,9,4033
1643844467146370816,2022-02-02-23:27:47,-1,1,3634
1643844472792592128,2022-02-02-23:27:52,-1,7,5645
1643844477022967040,2022-02-02-23:27:57,-1,0,4229
1643844483267083776,2022-02-02-23:28:03,-1,2,6243
1643844487293622016,2022-02-02-23:28:07,-1,9,4026
1643844491315056128,2022-02-02-23:28:11,-1,2,4021
1643844496756556032,2022-02-02-23:28:16,-1,6,5441
1643844498977411072,2022-02-02-23:28:18,-1,4,2220
1643844499178723072,2022-02-02-23:28:19,-1,4,200
1643844499379902976,2022-02-02-23:28:19,-1,4,200
1643844501802414848,2022-02-02-23:28:21,-1,1,2422
1643844510262928128,2022-02-02-23:28:30,-1,8,8460
1643844514694711808,2022-02-02-23:28:34,-1,0,4431
1643844522746128128,2022-02-02-23:28:42,-1,2,8050
1643844529000626176,2022-02-02-23:28:49,-1,0,6254
1643844535255971072,2022-02-02-23:28:55,-1,2,6255
1643844539892008192,2022-02-02-23:28:59,-1,4,4635
1643844542114063872,2022-02-02-23:29:02,-1,9,2221
1643844545362665984,2022-02-02-23:29:05,-1,3,3248
1643844548795811840,2022-02-02-23:29:08,-1,1,3432
1643844552825901056,2022-02-02-23:29:12,-1,2,4029
1643844556850759936,2022-02-02-23:29:16,-1,9,4024
1643844559281443072,2022-02-02-23:29:19,-1,0,2430
1643844561699052032,2022-02-02-23:29:21,-1,6,2417
1643844564724654080,2022-02-02-23:29:24,-1,3,3025
1643844567740519168,2022-02-02-23:29:27,-1,6,3015
1643844570755081984,2022-02-02-23:29:30,-1,3,3014
1643844573775152896,2022-02-02-23:29:33,-1,6,3019
1643844576188083968,2022-02-02-23:29:36,-1,4,2412
1643844578399741952,2022-02-02-23:29:38,-1,6,2211
1643844581421876992,2022-02-02-23:29:41,-1,9,3021
1643844583033541888,2022-02-02-23:29:43,-1,5,1611
1643844587277302016,2022-02-02-23:29:47,-1,1,4243
1643844589892528896,2022-02-02-23:29:49,-1,0,2614
1643844595753042944,2022-02-02-23:29:55,-1,9,5860
1643844597564488960,2022-02-02-23:29:57,-1,4,1811
1643844599990809088,2022-02-02-23:29:59,-1,1,2425
1643844603427602944,2022-02-02-23:30:03,-1,9,3436
1643844605037667072,2022-02-02-23:30:05,-1,5,1609
1643844608462949120,2022-02-02-23:30:08,-1,7,3424
1643844613101191168,2022-02-02-23:30:13,-1,8,4637
1643844615317733120,2022-02-02-23:30:15,-1,2,2215
1643844622387040000,2022-02-02-23:30:22,-1,3,7068
1643844627829125888,2022-02-02-23:30:27,-1,8,5441
1643844629849588992,2022-02-02-23:30:29,-1,1,2020
1643844638307081984,2022-02-02-23:30:38,-1,7,8457
1643844642532027904,2022-02-02-23:30:42,-1,0,4224
1643844645756730112,2022-02-02-23:30:45,-1,6,3224
1643844650786644992,2022-02-02-23:30:50,-1,7,5029
1643844653606061824,2022-02-02-23:30:53,-1,9,2818
1643844662062146048,2022-02-02-23:31:02,-1,8,8455
1643844665496706048,2022-02-02-23:31:05,-1,5,3434
1643844670532845056,2022-02-02-23:31:10,-1,1,5035
1643844670734039040,2022-02-02-23:31:10,-1,1,200
1643844674965487872,2022-02-02-23:31:14,-1,5,4231
1643844675170636800,2022-02-02-23:31:15,-1,5,204
1643844677792119040,2022-02-02-23:31:17,-1,0,2621
1643844680207433984,2022-02-02-23:31:20,-1,9,2415
1643844681615452160,2022-02-02-23:31:21,-1,5,1407
1643844685048572928,2022-02-02-23:31:25,-1,7,3432
1643844689288101888,2022-02-02-23:31:29,-1,2,4239
1643844689489944064,2022-02-02-23:31:29,-1,2,201
1643844695729392896,2022-02-02-23:31:35,-1,0,6238
1643844701569956096,2022-02-02-23:31:41,-1,3,5840
1643844708614660096,2022-02-02-23:31:48,-1,2,7044
1643844711834269952,2022-02-02-23:31:51,-1,4,3219
1643844715865384192,2022-02-02-23:31:55,-1,3,4030
1643844721292773888,2022-02-02-23:32:01,-1,8,5427
1643844721493895936,2022-02-02-23:32:01,-1,8,200
1643844723509155072,2022-02-02-23:32:03,-1,1,2015
1643844726925854976,2022-02-02-23:32:06,-1,3,3416
1643844730345841920,2022-02-02-23:32:10,-1,1,3419
1643844731756496896,2022-02-02-23:32:11,-1,6,1410
1643844736402179072,2022-02-02-23:32:16,-1,9,4645
1643844740639416832,2022-02-02-23:32:20,-1,2,4236
1643844744861749760,2022-02-02-23:32:24,-1,7,4221
1643844750111894016,2022-02-02-23:32:30,-1,3,5249
1643844752939697152,2022-02-02-23:32:32,-1,0,2827
1643844757367484928,2022-02-02-23:32:37,-1,7,4427
1643844762412730880,2022-02-02-23:32:42,-1,3,5044
1643844766035512064,2022-02-02-23:32:46,-1,1,3622
1643844768452922112,2022-02-02-23:32:48,-1,4,2417
1643844771880305920,2022-02-02-23:32:51,-1,2,3426
1643844775102065152,2022-02-02-23:32:55,-1,4,3221
1643844775304349952,2022-02-02-23:32:55,-1,4,201
1643844775506480896,2022-02-02-23:32:55,-1,4,201
1643844778322607104,2022-02-02-23:32:58,-1,5,2815
1643844783753252096,2022-02-02-23:33:03,-1,2,5430
1643844790020128000,2022-02-02-23:33:10,-1,0,6266
1643844790222123008,2022-02-02-23:33:10,-1,0,201
1643844792846121984,2022-02-02-23:33:12,-1,1,2623
1643844798107123968,2022-02-02-23:33:18,-1,5,5260
1643844799915816192,2022-02-02-23:33:19,-1,3,1808
1643844805348311040,2022-02-02-23:33:25,-1,8,5432
1643844808766304000,2022-02-02-23:33:28,-1,5,3417
1643844815803858944,2022-02-02-23:33:35,-1,7,7037
1643844818619759104,2022-02-02-23:33:38,-1,9,2815
1643844821032943872,2022-02-02-23:33:41,-1,0,2412
1643844821235780864,2022-02-02-23:33:41,-1,0,202
1643844823663145984,2022-02-02-23:33:43,-1,1,2427
1643844827107855104,2022-02-02-23:33:47,-1,3,3444
1643844828929723136,2022-02-02-23:33:48,-1,5,1821
1643844835577035776,2022-02-02-23:33:55,-1,7,6646
1643844840599752960,2022-02-02-23:34:00,-1,3,5022
1643844843827544832,2022-02-02-23:34:03,-1,9,3227
1643844846455645952,2022-02-02-23:34:06,-1,0,2627
1643844852706390016,2022-02-02-23:34:12,-1,8,6250
1643844865057121024,2022-02-02-23:34:25,-1,2,12350
1643844867083545088,2022-02-02-23:34:27,-1,8,2025
1643844871512172032,2022-02-02-23:34:31,-1,0,4428
1643844877367831040,2022-02-02-23:34:37,-1,9,5855
1643844880197206016,2022-02-02-23:34:40,-1,7,2829
1643844883018416896,2022-02-02-23:34:43,-1,9,2820
1643844884628480000,2022-02-02-23:34:44,-1,5,1609
1643844888868870912,2022-02-02-23:34:48,-1,1,4240
1643844892310323968,2022-02-02-23:34:52,-1,9,3441
1643844894123234048,2022-02-02-23:34:54,-1,4,1812
1643844897138510848,2022-02-02-23:34:57,-1,0,3014
1643844899557815040,2022-02-02-23:34:59,-1,6,2418
1643844901978918144,2022-02-02-23:35:01,-1,4,2420
1643844902179853824,2022-02-02-23:35:02,-1,4,200
1643844904598082048,2022-02-02-23:35:04,-1,1,2417
1643844904799292928,2022-02-02-23:35:04,-1,1,200
1643844909045996800,2022-02-02-23:35:09,-1,5,4246
1643844911295206144,2022-02-02-23:35:11,-1,4,2248
1643844913719656960,2022-02-02-23:35:13,-1,1,2424
1643844916146397952,2022-02-02-23:35:16,-1,4,2426
1643844919377132800,2022-02-02-23:35:19,-1,7,3230
1643844919580151040,2022-02-02-23:35:19,-1,7,202
1643844922822254848,2022-02-02-23:35:22,-1,4,3241
1643844926864923904,2022-02-02-23:35:26,-1,3,4042
1643844927066230016,2022-02-02-23:35:27,-1,3,200
1643844934112721920,2022-02-02-23:35:34,-1,2,7046
1643844938164787968,2022-02-02-23:35:38,-1,1,4051
1643844940588881920,2022-02-02-23:35:40,-1,4,2423
1643844943009718016,2022-02-02-23:35:43,-1,1,2420
1643844948476869120,2022-02-02-23:35:48,-1,7,5466
1643844948678507008,2022-02-02-23:35:48,-1,7,201
1643844953727525888,2022-02-02-23:35:53,-1,6,5048
1643844956755977984,2022-02-02-23:35:56,-1,0,3028
1643844962619827968,2022-02-02-23:36:02,-1,3,5863
1643844966460763904,2022-02-02-23:36:06,-1,4,3840
1643844969485647872,2022-02-02-23:36:09,-1,0,3024
1643844971900609024,2022-02-02-23:36:11,-1,9,2414
1643844974718969088,2022-02-02-23:36:14,-1,7,2817
1643844978164544000,2022-02-02-23:36:18,-1,5,3445
1643844981594604032,2022-02-02-23:36:21,-1,7,3429
1643844985830276096,2022-02-02-23:36:25,-1,2,4235
1643844986031297024,2022-02-02-23:36:26,-1,2,200
1643844991480029184,2022-02-02-23:36:31,-1,5,5448
1643844994907730176,2022-02-02-23:36:34,-1,7,3427
1643844999953082112,2022-02-02-23:36:39,-1,6,5045
1643845002980099840,2022-02-02-23:36:42,-1,0,3026
1643845005399266048,2022-02-02-23:36:45,-1,6,2418
1643845010233129984,2022-02-02-23:36:50,-1,9,4833
1643845013048401152,2022-02-02-23:36:53,-1,7,2814
1643845015882592000,2022-02-02-23:36:55,-1,9,2833
1643845016083851008,2022-02-02-23:36:56,-1,9,200
1643845020134948864,2022-02-02-23:37:00,-1,2,4050
1643845020338118912,2022-02-02-23:37:00,-1,2,202
1643845025798327808,2022-02-02-23:37:05,-1,5,5459
1643845030233430016,2022-02-02-23:37:10,-1,9,4434
1643845033454180864,2022-02-02-23:37:13,-1,3,3220
1643845036673626880,2022-02-02-23:37:16,-1,9,3219
1643845045152535040,2022-02-02-23:37:25,-1,8,8478
1643845048585989120,2022-02-02-23:37:28,-1,5,3433
1643845053023257088,2022-02-02-23:37:33,-1,6,4436
1643845058053553152,2022-02-02-23:37:38,-1,9,5030
1643845060874816768,2022-02-02-23:37:40,-1,7,2820
1643845065095205120,2022-02-02-23:37:45,-1,2,4220
1643845067104474112,2022-02-02-23:37:47,-1,8,2008
1643845069315260928,2022-02-02-23:37:49,-1,1,2210
1643845072735860992,2022-02-02-23:37:52,-1,3,3420
1643845075953965056,2022-02-02-23:37:55,-1,9,3217
1643845084412172032,2022-02-02-23:38:04,-1,8,8457
1643845089663047168,2022-02-02-23:38:09,-1,3,5250
1643845096910052096,2022-02-02-23:38:16,-1,2,7246
1643845102361072128,2022-02-02-23:38:22,-1,6,5450
1643845109427695104,2022-02-02-23:38:29,-1,8,7066
1643845112852387072,2022-02-02-23:38:32,-1,6,3424
1643845117885827072,2022-02-02-23:38:37,-1,9,5033
1643845120730009088,2022-02-02-23:38:40,-1,7,2843
1643845125394530048,2022-02-02-23:38:45,-1,8,4663
1643845128834284032,2022-02-02-23:38:48,-1,6,3439
1643845131855345920,2022-02-02-23:38:51,-1,3,3020
1643845135689934848,2022-02-02-23:38:55,-1,4,3834
1643845135891941120,2022-02-02-23:38:55,-1,4,201
1643845138708775168,2022-02-02-23:38:58,-1,5,2816
1643845145767166976,2022-02-02-23:39:05,-1,8,7057
1643845158043320832,2022-02-02-23:39:18,-1,2,12275
1643845164290103808,2022-02-02-23:39:24,-1,0,6246
1643845172165718016,2022-02-02-23:39:32,-1,7,7875
1643845176392905984,2022-02-02-23:39:36,-1,2,4226
1643845179622307072,2022-02-02-23:39:39,-1,4,3229
1643845182047076864,2022-02-02-23:39:42,-1,1,2424
1643845190503639040,2022-02-02-23:39:50,-1,8,8456
1643845202785281792,2022-02-02-23:40:02,-1,2,12281
1643845202989872896,2022-02-02-23:40:02,-1,2,204
1643845205012123136,2022-02-02-23:40:05,-1,8,2021
1643845208632836096,2022-02-02-23:40:08,-1,5,3620
1643845214075094016,2022-02-02-23:40:14,-1,2,5441
1643845216084229120,2022-02-02-23:40:16,-1,8,2008
1643845217697850880,2022-02-02-23:40:17,-1,4,1613
1643845221922158848,2022-02-02-23:40:21,-1,3,4223
1643845225140163840,2022-02-02-23:40:25,-1,9,3217
1643845228166776064,2022-02-02-23:40:28,-1,7,3025
1643845228368563968,2022-02-02-23:40:28,-1,7,201
1643845232602675968,2022-02-02-23:40:32,-1,2,4233
1643845234628034048,2022-02-02-23:40:34,-1,8,2025
1643845238259152896,2022-02-02-23:40:38,-1,5,3630
1643845245292804096,2022-02-02-23:40:45,-1,8,7033
1643845250527489792,2022-02-02-23:40:50,-1,3,5234
1643845255755343872,2022-02-02-23:40:55,-1,7,5227
1643845255958400000,2022-02-02-23:40:55,-1,7,202
1643845261008052992,2022-02-02-23:41:01,-1,3,5049
1643845264230968832,2022-02-02-23:41:04,-1,6,3222
1643845269257168896,2022-02-02-23:41:09,-1,7,5025
1643845272082438912,2022-02-02-23:41:12,-1,9,2824
1643845272286632960,2022-02-02-23:41:12,-1,9,203
1643845275110210048,2022-02-02-23:41:15,-1,7,2823
1643845280556158976,2022-02-02-23:41:20,-1,1,5445
1643845282167956224,2022-02-02-23:41:22,-1,6,1611
1643845282368828928,2022-02-02-23:41:22,-1,6,200
1643845284805722112,2022-02-02-23:41:24,-1,0,2436
1643845289640225024,2022-02-02-23:41:29,-1,4,4834
1643845298708500992,2022-02-02-23:41:38,-1,8,9067
1643845301324732160,2022-02-02-23:41:41,-1,9,2615
1643845301525655040,2022-02-02-23:41:41,-1,9,200
1643845304142850048,2022-02-02-23:41:44,-1,0,2616
1643845306754494976,2022-02-02-23:41:46,-1,6,2611
1643845313623004928,2022-02-02-23:41:53,-1,8,6868
1643845317049999872,2022-02-02-23:41:57,-1,6,3426
1643845321893950976,2022-02-02-23:42:01,-1,3,4843
1643845324721208064,2022-02-02-23:42:04,-1,0,2826
1643845327134743040,2022-02-02-23:42:07,-1,9,2413
1643845335386607872,2022-02-02-23:42:15,-1,8,8251
1643845338811992832,2022-02-02-23:42:18,-1,6,3424
1643845341832140032,2022-02-02-23:42:21,-1,3,3019
1643845346861385216,2022-02-02-23:42:26,-1,8,5028
1643845347062899200,2022-02-02-23:42:27,-1,8,200
1643845351688572928,2022-02-02-23:42:31,-1,7,4625
