"iteration,date,init_position,final_position,time"
0,2022-01-28-06:17:51,-1,2,3.31153
1,2022-01-28-06:17:54,2,7,2.61703
2,2022-01-28-06:17:57,7,3,3.40950
3,2022-01-28-06:18:00,3,1,2.40357
4,2022-01-28-06:18:03,1,6,3.85822
5,2022-01-28-06:18:07,6,5,3.58202
6,2022-01-28-06:18:09,5,0,2.17341
7,2022-01-28-06:18:12,0,3,2.78482
8,2022-01-28-06:18:15,3,2,2.80313
9,2022-01-28-06:18:17,2,4,1.92395
10,2022-01-28-06:18:18,4,0,1.62322
11,2022-01-28-06:18:20,0,4,1.75501
12,2022-01-28-06:18:22,4,7,2.12796
13,2022-01-28-06:18:29,7,3,6.31692
14,2022-01-28-06:18:33,3,2,4.67653
15,2022-01-28-06:18:39,2,5,5.95800
16,2022-01-28-06:18:41,5,2,1.83894
17,2022-01-28-06:18:44,2,7,2.77533
18,2022-01-28-06:18:47,7,6,2.83363
19,2022-01-28-06:18:50,6,4,3.83449
20,2022-01-28-06:18:52,4,0,1.94209
21,2022-01-28-06:18:56,0,3,3.88445
22,2022-01-28-06:19:00,3,6,3.76308
23,2022-01-28-06:19:03,6,2,3.18576
24,2022-01-28-06:19:06,2,7,2.76067
25,2022-01-28-06:19:10,7,4,4.31187
26,2022-01-28-06:19:14,4,0,3.88017
27,2022-01-28-06:19:19,0,4,4.43298
28,2022-01-28-06:19:30,4,7,11.03155
29,2022-01-28-06:19:34,7,2,3.50305
30,2022-01-28-06:19:37,2,6,3.56650
31,2022-01-28-06:19:40,6,5,2.97980
32,2022-01-28-06:19:42,5,2,1.79169
33,2022-01-28-06:19:45,2,6,3.40489
34,2022-01-28-06:19:51,6,1,5.47580
35,2022-01-28-06:19:56,1,3,4.74180
36,2022-01-28-06:19:59,3,6,3.55807
37,2022-01-28-06:20:04,6,0,5.01961
38,2022-01-28-06:20:09,0,6,4.24682
39,2022-01-28-06:20:12,6,2,3.30013
40,2022-01-28-06:20:15,2,5,3.47969
41,2022-01-28-06:20:32,5,7,10.75175
42,2022-01-28-06:20:42,7,3,9.71582
43,2022-01-28-06:20:50,3,5,5.16325
44,2022-01-28-06:21:02,5,4,11.32838
45,2022-01-28-06:21:05,4,1,3.28178
46,2022-01-28-06:21:10,1,3,4.08585
47,2022-01-28-06:21:16,3,7,5.78763
48,2022-01-28-06:21:28,7,1,10.79310
49,2022-01-28-06:21:40,1,4,8.89744
50,2022-01-28-06:21:50,4,2,6.82797
51,2022-01-28-06:22:01,2,1,9.13040
52,2022-01-28-06:22:12,1,3,7.58040
53,2022-01-28-06:22:24,3,1,9.88160
54,2022-01-28-06:23:03,1,7,35.30147
55,2022-01-28-06:23:07,7,0,2.50786
56,2022-01-28-06:23:09,0,3,2.72965
57,2022-01-28-06:23:12,3,5,2.45665
58,2022-01-28-06:23:15,5,6,3.20881
59,2022-01-28-06:23:18,6,5,3.34009
60,2022-01-28-06:23:21,5,2,2.30317
61,2022-01-28-06:23:22,2,5,1.62384
62,2022-01-28-06:23:25,5,0,3.23133
63,2022-01-28-06:23:27,0,2,1.91216
64,2022-01-28-06:23:30,2,1,2.25725
65,2022-01-28-06:23:32,1,0,1.90758
66,2022-01-28-06:23:33,0,2,1.83833
67,2022-01-28-06:23:37,2,6,3.53531
68,2022-01-28-06:23:41,6,5,3.81487
69,2022-01-28-06:23:43,5,0,2.42486
70,2022-01-28-06:23:46,0,5,3.12359
71,2022-01-28-06:23:48,5,2,1.81248
72,2022-01-28-06:23:51,2,7,2.66138
73,2022-01-28-06:23:55,7,1,4.09756
74,2022-01-28-06:23:56,1,4,1.54492
75,2022-01-28-06:23:59,4,3,2.22906
76,2022-01-28-06:24:02,3,2,3.09973
77,2022-01-28-06:24:05,2,6,3.56343
78,2022-01-28-06:24:09,6,5,3.68272
79,2022-01-28-06:24:12,5,6,3.06768
80,2022-01-28-06:24:15,6,0,3.10426
81,2022-01-28-06:24:17,0,4,1.66562
82,2022-01-28-06:24:20,4,6,3.59564
83,2022-01-28-06:24:25,6,7,4.19160
84,2022-01-28-06:24:27,7,2,2.79085
85,2022-01-28-06:24:30,2,1,2.35433
86,2022-01-28-06:24:32,1,3,2.48510
87,2022-01-28-06:24:35,3,5,2.77965
88,2022-01-28-06:24:37,5,2,1.63479
89,2022-01-28-06:24:39,2,4,1.87713
90,2022-01-28-06:24:41,4,3,2.46859
91,2022-01-28-06:24:44,3,4,2.76917
92,2022-01-28-06:24:46,4,5,1.92365
93,2022-01-28-06:24:48,5,0,2.61895
94,2022-01-28-06:24:50,0,1,1.30030
95,2022-01-28-06:24:51,1,4,1.44095
96,2022-01-28-06:24:55,4,2,4.38488
97,2022-01-28-06:25:00,2,1,4.47295
98,2022-01-28-06:25:03,1,6,2.88839
99,2022-01-28-06:25:06,6,7,2.84909
100,2022-01-28-06:25:08,7,3,2.48454
101,2022-01-28-06:25:11,3,0,2.75655
102,2022-01-28-06:25:13,0,4,1.82615
103,2022-01-28-06:25:15,4,7,2.33124
104,2022-01-28-06:25:20,7,3,5.34286
