"iteration,date,init_position,final_position,time"
0,2022-01-28-08:18:00,-1,3,5.05376
1,2022-01-28-08:18:02,3,1,2.23381
2,2022-01-28-08:18:04,1,7,2.20663
3,2022-01-28-08:18:07,7,5,2.73864
4,2022-01-28-08:18:09,5,4,2.00729
5,2022-01-28-08:18:11,4,5,1.79394
6,2022-01-28-08:18:18,5,6,6.70758
7,2022-01-28-08:18:22,6,5,4.30615
8,2022-01-28-08:18:27,5,1,2.98201
9,2022-01-28-08:18:29,1,7,1.71807
10,2022-01-28-08:18:53,7,0,23.81153
11,2022-01-28-08:19:01,0,1,1.22038
12,2022-01-28-08:19:03,1,3,2.29261
13,2022-01-28-08:19:05,3,5,2.21311
14,2022-01-28-08:19:07,5,1,2.01985
15,2022-01-28-08:20:05,1,3,57.05536
16,2022-01-28-08:20:41,3,6,9.70867
17,2022-01-28-08:20:48,6,0,7.04917
18,2022-01-28-08:20:50,0,7,2.19266
19,2022-01-28-08:20:52,7,1,1.74285
20,2022-01-28-08:20:53,1,7,1.76856
21,2022-01-28-08:20:55,7,1,1.70774
22,2022-01-28-08:21:05,1,7,10.36781
23,2022-01-28-08:21:41,7,5,35.17342
24,2022-01-28-08:22:55,5,7,73.51101
