"iteration,date,executiontime"
0,2022-02-09-01:33:42,2.96614
1,2022-02-09-01:33:42,0.77132
2,2022-02-09-01:33:43,0.57967
3,2022-02-09-01:33:44,0.45243
4,2022-02-09-01:33:45,0.98612
5,2022-02-09-01:33:45,0.75000
6,2022-02-09-01:33:46,0.47797
7,2022-02-09-01:33:46,0.44433
8,2022-02-09-01:33:47,0.63051
9,2022-02-09-01:33:48,0.71355
10,2022-02-09-01:33:48,0.77984
11,2022-02-09-01:33:49,0.58333
12,2022-02-09-01:33:49,0.51851
13,2022-02-09-01:33:50,0.53114
14,2022-02-09-01:33:51,0.59588
15,2022-02-09-01:33:51,0.85013
16,2022-02-09-01:33:52,0.52821
17,2022-02-09-01:33:52,0.41818
18,2022-02-09-01:33:53,0.71703
19,2022-02-09-01:33:54,0.59444
20,2022-02-09-01:33:55,0.86507
21,2022-02-09-01:33:56,1.05375
22,2022-02-09-01:33:56,0.49212
23,2022-02-09-01:33:57,0.46047
24,2022-02-09-01:33:57,0.54912
25,2022-02-09-01:33:57,0.36609
26,2022-02-09-01:33:58,0.95538
27,2022-02-09-01:33:59,0.72282
28,2022-02-09-01:34:00,0.41092
29,2022-02-09-01:34:00,0.62528
30,2022-02-09-01:34:01,0.68150
31,2022-02-09-01:34:02,0.74194
32,2022-02-09-01:34:02,0.74121
33,2022-02-09-01:34:03,1.02080
34,2022-02-09-01:34:04,1.08938
35,2022-02-09-01:34:05,0.93793
36,2022-02-09-01:34:06,0.57691
37,2022-02-09-01:34:07,1.05994
38,2022-02-09-01:34:08,0.83557
39,2022-02-09-01:34:09,0.83190
40,2022-02-09-01:34:09,0.67535
41,2022-02-09-01:34:10,0.78009
42,2022-02-09-01:34:11,0.55610
43,2022-02-09-01:34:11,0.58049
44,2022-02-09-01:34:12,0.84609
45,2022-02-09-01:34:13,0.90898
46,2022-02-09-01:34:13,0.42099
47,2022-02-09-01:34:14,0.82166
48,2022-02-09-01:34:15,0.63832
49,2022-02-09-01:34:16,0.80395
50,2022-02-09-01:34:16,0.78145
51,2022-02-09-01:34:17,0.53990
52,2022-02-09-01:34:18,0.95791
53,2022-02-09-01:34:19,0.86813
54,2022-02-09-01:34:19,0.63203
55,2022-02-09-01:34:21,1.06058
56,2022-02-09-01:34:21,0.84499
57,2022-02-09-01:34:22,0.64528
58,2022-02-09-01:34:23,0.74587
59,2022-02-09-01:34:23,0.54846
60,2022-02-09-01:34:24,0.96319
61,2022-02-09-01:34:25,1.05714
62,2022-02-09-01:34:26,0.46323
63,2022-02-09-01:34:26,0.42182
64,2022-02-09-01:34:27,0.69311
65,2022-02-09-01:34:28,0.62292
66,2022-02-09-01:34:28,0.81751
67,2022-02-09-01:34:29,0.46954
68,2022-02-09-01:34:30,1.51775
69,2022-02-09-01:34:32,2.03788
70,2022-02-09-01:34:34,1.53256
71,2022-02-09-01:34:35,0.84120
72,2022-02-09-01:34:36,0.86381
73,2022-02-09-01:34:37,0.99936
74,2022-02-09-01:34:38,0.89983
75,2022-02-09-01:34:38,0.65676
76,2022-02-09-01:34:39,0.66507
77,2022-02-09-01:34:40,0.95320
78,2022-02-09-01:34:41,0.69370
79,2022-02-09-01:34:41,0.72911
80,2022-02-09-01:34:42,0.69425
81,2022-02-09-01:34:43,0.57979
82,2022-02-09-01:34:43,0.52213
83,2022-02-09-01:34:44,0.74327
84,2022-02-09-01:34:44,0.67914
85,2022-02-09-01:34:45,0.77673
86,2022-02-09-01:34:46,0.64558
87,2022-02-09-01:34:47,0.86293
88,2022-02-09-01:34:47,0.48559
89,2022-02-09-01:34:48,0.98415
90,2022-02-09-01:34:49,0.79931
91,2022-02-09-01:34:50,0.60832
92,2022-02-09-01:34:50,0.59163
93,2022-02-09-01:34:51,0.40155
94,2022-02-09-01:34:51,0.76051
95,2022-02-09-01:34:52,0.89300
96,2022-02-09-01:34:53,0.51343
97,2022-02-09-01:34:54,0.83166
98,2022-02-09-01:34:54,0.68714
99,2022-02-09-01:34:55,0.73151
