"iteration,date,executiontime"
0,2022-02-09-01:34:06,2.68676
1,2022-02-09-01:34:06,0.52562
2,2022-02-09-01:34:07,0.63780
3,2022-02-09-01:34:07,0.56804
4,2022-02-09-01:34:08,0.83269
5,2022-02-09-01:34:09,0.88490
6,2022-02-09-01:34:10,0.67340
7,2022-02-09-01:34:11,1.00648
8,2022-02-09-01:34:11,0.72377
9,2022-02-09-01:34:12,0.89390
10,2022-02-09-01:34:13,0.85714
11,2022-02-09-01:34:14,0.66035
12,2022-02-09-01:34:15,0.73462
13,2022-02-09-01:34:15,0.58991
14,2022-02-09-01:34:16,0.85516
15,2022-02-09-01:34:17,1.04004
16,2022-02-09-01:34:18,0.61922
17,2022-02-09-01:34:18,0.46318
18,2022-02-09-01:34:19,0.45896
19,2022-02-09-01:34:19,0.45804
20,2022-02-09-01:34:20,0.92908
21,2022-02-09-01:34:21,0.93919
22,2022-02-09-01:34:22,0.63200
23,2022-02-09-01:34:22,0.52004
24,2022-02-09-01:34:22,0.45865
25,2022-02-09-01:34:23,0.64115
26,2022-02-09-01:34:24,0.97492
27,2022-02-09-01:34:25,0.82147
28,2022-02-09-01:34:26,0.63137
29,2022-02-09-01:34:26,0.91979
30,2022-02-09-01:34:27,0.65377
31,2022-02-09-01:34:28,0.82274
32,2022-02-09-01:34:29,0.75861
33,2022-02-09-01:34:30,1.10735
34,2022-02-09-01:34:32,1.99993
35,2022-02-09-01:34:33,1.59027
36,2022-02-09-01:34:34,0.98011
37,2022-02-09-01:34:36,1.10956
38,2022-02-09-01:34:36,0.64753
39,2022-02-09-01:34:37,0.65021
40,2022-02-09-01:34:38,1.21652
41,2022-02-09-01:34:39,0.51987
42,2022-02-09-01:34:39,0.68293
43,2022-02-09-01:34:40,0.57199
44,2022-02-09-01:34:40,0.50097
45,2022-02-09-01:34:41,0.52585
46,2022-02-09-01:34:42,0.86253
47,2022-02-09-01:34:43,0.95546
48,2022-02-09-01:34:44,0.98068
49,2022-02-09-01:34:44,0.81952
50,2022-02-09-01:34:45,0.96986
51,2022-02-09-01:34:46,0.70193
