"iteration,date,init_position,final_position,time"
132,2022-01-27-20:07:56,4,1,1.33551
133,2022-01-27-20:07:58,1,2,2.01664
134,2022-01-27-20:08:00,2,5,1.59131
135,2022-01-27-20:08:02,5,4,2.03013
136,2022-01-27-20:08:04,4,7,1.92365
137,2022-01-27-20:08:06,7,1,1.70557
138,2022-01-27-20:08:08,1,2,2.04073
139,2022-01-27-20:08:09,2,0,1.76415
140,2022-01-27-20:08:11,0,1,1.12426
141,2022-01-27-20:08:12,1,7,1.76003
142,2022-01-27-20:08:14,7,4,1.95027
143,2022-01-27-20:08:16,4,3,2.12632
144,2022-01-27-20:08:19,3,2,2.65251
145,2022-01-27-20:08:22,2,6,3.41093
146,2022-01-27-20:08:26,6,5,3.39690
147,2022-01-27-20:08:28,5,1,1.99198
148,2022-01-27-20:08:29,1,0,1.11165
149,2022-01-27-20:08:30,0,1,1.13024
150,2022-01-27-20:08:34,1,6,3.62235
151,2022-01-27-20:08:37,6,5,3.44739
152,2022-01-27-20:08:39,5,1,1.97218
153,2022-01-27-20:08:41,1,2,2.05829
154,2022-01-27-20:08:43,2,5,1.53959
155,2022-01-27-20:08:45,5,1,2.08158
156,2022-01-27-20:08:47,1,2,2.03736
157,2022-01-27-20:08:49,2,1,2.07098
158,2022-01-27-20:08:51,1,7,1.77967
159,2022-01-27-20:08:53,7,4,2.02360
160,2022-01-27-20:08:55,4,7,1.91958
161,2022-01-27-20:08:56,7,1,1.74952
162,2022-01-27-20:08:59,1,5,2.17356
163,2022-01-27-20:09:02,5,4,3.41741
164,2022-01-27-20:09:05,4,7,3.48375
165,2022-01-27-20:09:09,7,2,3.24535
166,2022-01-27-20:09:14,2,1,4.86858
167,2022-01-27-20:09:17,1,6,3.78513
168,2022-01-27-20:09:20,6,7,2.65725
169,2022-01-27-20:09:23,7,4,3.33416
170,2022-01-27-20:09:28,4,2,4.36656
171,2022-01-27-20:09:32,2,0,4.13675
172,2022-01-27-20:09:35,0,3,3.55313
173,2022-01-27-20:09:39,3,7,3.82005
174,2022-01-27-20:09:42,7,2,2.59749
175,2022-01-27-20:09:45,2,3,2.76808
176,2022-01-27-20:09:47,3,4,2.13868
177,2022-01-27-20:09:48,4,1,1.35115
178,2022-01-27-20:09:49,1,0,1.15452
179,2022-01-27-20:09:51,0,4,1.57002
180,2022-01-27-20:09:53,4,7,1.91718
181,2022-01-27-20:09:55,7,6,2.73277
182,2022-01-27-20:09:59,6,2,3.24624
183,2022-01-27-20:10:02,2,6,3.18887
184,2022-01-27-20:10:05,6,4,2.71783
185,2022-01-27-20:10:09,4,2,4.15790
186,2022-01-27-20:10:13,2,1,4.26560
187,2022-01-27-20:10:15,1,5,1.96624
188,2022-01-27-20:10:17,5,1,2.17135
189,2022-01-27-20:10:18,1,0,1.09726
190,2022-01-27-20:10:22,0,6,3.52124
191,2022-01-27-20:10:26,6,7,4.16947
192,2022-01-27-20:10:28,7,4,2.14424
193,2022-01-27-20:10:30,4,5,1.83412
194,2022-01-27-20:10:32,5,1,2.14476
195,2022-01-27-20:10:33,1,4,1.34181
196,2022-01-27-20:10:36,4,3,2.10213
197,2022-01-27-20:10:38,3,6,2.06925
198,2022-01-27-20:10:41,6,1,3.17842
199,2022-01-27-20:10:44,1,6,3.61487
200,2022-01-27-20:10:48,6,1,3.81473
201,2022-01-27-20:10:50,1,4,1.33870
202,2022-01-27-20:10:51,4,7,1.92061
203,2022-01-27-20:10:54,7,0,2.20823
204,2022-01-27-20:10:56,0,3,2.44030
205,2022-01-27-20:10:59,3,0,2.38505
206,2022-01-27-20:11:00,0,4,1.57912
207,2022-01-27-20:11:02,4,3,2.10183
208,2022-01-27-20:11:06,3,7,3.42563
209,2022-01-27-20:11:09,7,3,3.26820
210,2022-01-27-20:11:12,3,7,3.35186
211,2022-01-27-20:11:15,7,5,3.02476
212,2022-01-27-20:11:18,5,6,3.18625
213,2022-01-27-20:11:22,6,2,3.59696
214,2022-01-27-20:11:24,2,0,1.75189
215,2022-01-27-20:11:26,0,5,2.02426
216,2022-01-27-20:11:28,5,0,2.06309
217,2022-01-27-20:11:30,0,5,2.00329
218,2022-01-27-20:11:32,5,1,2.06284
219,2022-01-27-20:11:33,1,4,1.34713
220,2022-01-27-20:11:37,4,6,3.48470
221,2022-01-27-20:11:41,6,7,4.10173
222,2022-01-27-20:11:43,7,1,1.76621
223,2022-01-27-20:11:45,1,3,2.25574
224,2022-01-27-20:11:47,3,7,2.27262
225,2022-01-27-20:11:50,7,2,2.64216
226,2022-01-27-20:11:53,2,3,2.65932
227,2022-01-27-20:11:55,3,0,2.40728
228,2022-01-27-20:11:57,0,4,1.59595
229,2022-01-27-20:12:01,4,2,4.25791
230,2022-01-27-20:12:05,2,3,4.37534
231,2022-01-27-20:12:07,3,5,2.28595
232,2022-01-27-20:12:10,5,1,2.14634
233,2022-01-27-20:12:12,1,5,2.00400
234,2022-01-27-20:12:14,5,4,2.31860
235,2022-01-27-20:12:17,4,6,2.71604
236,2022-01-27-20:12:20,6,0,3.01186
237,2022-01-27-20:12:21,0,2,1.76643
238,2022-01-27-20:12:23,2,5,1.53764
239,2022-01-27-20:12:26,5,4,3.55895
240,2022-01-27-20:12:30,4,5,3.62040
241,2022-01-27-20:12:33,5,6,3.12612
242,2022-01-27-20:12:36,6,7,2.65573
243,2022-01-27-20:12:39,7,4,3.19171
244,2022-01-27-20:12:43,4,1,3.88118
245,2022-01-27-20:12:45,1,2,2.03496
246,2022-01-27-20:12:48,2,6,3.12417
247,2022-01-27-20:12:52,6,4,3.97087
248,2022-01-27-20:12:56,4,1,3.80900
249,2022-01-27-20:12:58,1,5,2.21408
250,2022-01-27-20:13:01,5,3,3.10325
251,2022-01-27-20:13:05,3,1,3.45645
252,2022-01-27-20:13:06,1,7,1.75625
253,2022-01-27-20:13:08,7,1,1.80473
254,2022-01-27-20:13:10,1,7,1.76696
255,2022-01-27-20:13:12,7,4,1.95375
256,2022-01-27-20:13:14,4,7,1.94178
257,2022-01-27-20:13:17,7,6,2.63610
258,2022-01-27-20:13:19,6,1,2.76920
259,2022-01-27-20:13:23,1,6,3.64877
260,2022-01-27-20:13:26,6,3,3.36088
261,2022-01-27-20:13:30,3,4,3.58494
262,2022-01-27-20:13:32,4,5,1.83823
263,2022-01-27-20:13:35,5,4,3.46108
264,2022-01-27-20:13:39,4,5,3.94001
265,2022-01-27-20:13:41,5,4,2.03357
266,2022-01-27-20:13:46,4,2,4.78387
267,2022-01-27-20:13:50,2,5,3.82647
268,2022-01-27-20:13:52,5,1,2.04126
269,2022-01-27-20:13:54,1,5,2.16091
270,2022-01-27-20:13:57,5,6,3.21810
