"iteration,date,executiontime"
1,2022-02-09-04:12:20,3.14455
2,2022-02-09-04:12:20,0.45110
3,2022-02-09-04:12:20,0.42447
4,2022-02-09-04:12:21,0.43357
5,2022-02-09-04:12:21,0.48026
6,2022-02-09-04:12:22,0.43353
7,2022-02-09-04:12:22,0.53179
8,2022-02-09-04:12:23,0.46373
9,2022-02-09-04:12:23,0.41084
10,2022-02-09-04:12:24,0.43848
11,2022-02-09-04:12:24,0.43607
12,2022-02-09-04:12:25,0.47591
13,2022-02-09-04:12:25,0.55759
14,2022-02-09-04:12:25,0.42960
15,2022-02-09-04:12:26,0.42323
16,2022-02-09-04:12:26,0.43814
17,2022-02-09-04:12:27,0.46307
18,2022-02-09-04:12:27,0.59293
19,2022-02-09-04:12:28,0.54363
20,2022-02-09-04:12:28,0.44420
21,2022-02-09-04:12:29,0.44655
22,2022-02-09-04:12:29,0.49396
23,2022-02-09-04:12:30,0.44938
24,2022-02-09-04:12:30,0.70260
25,2022-02-09-04:12:31,0.48026
26,2022-02-09-04:12:31,0.47590
27,2022-02-09-04:12:32,0.51172
28,2022-02-09-04:12:32,0.48534
29,2022-02-09-04:12:33,0.47073
30,2022-02-09-04:12:34,0.56481
31,2022-02-09-04:12:34,0.46440
32,2022-02-09-04:12:34,0.46710
33,2022-02-09-04:12:35,0.42378
34,2022-02-09-04:12:35,0.39651
35,2022-02-09-04:12:36,0.53600
36,2022-02-09-04:12:36,0.50013
37,2022-02-09-04:12:37,0.49534
38,2022-02-09-04:12:37,0.64555
39,2022-02-09-04:12:38,0.52515
40,2022-02-09-04:12:39,0.53438
41,2022-02-09-04:12:39,0.46247
42,2022-02-09-04:12:39,0.45762
43,2022-02-09-04:12:40,0.53895
44,2022-02-09-04:12:40,0.46477
45,2022-02-09-04:12:41,0.45451
46,2022-02-09-04:12:41,0.49986
47,2022-02-09-04:12:42,0.50280
48,2022-02-09-04:12:42,0.46750
49,2022-02-09-04:12:43,0.49884
50,2022-02-09-04:12:43,0.50241
51,2022-02-09-04:12:44,0.44381
52,2022-02-09-04:12:44,0.56267
53,2022-02-09-04:12:45,0.42192
54,2022-02-09-04:12:45,0.51638
55,2022-02-09-04:12:46,0.53167
56,2022-02-09-04:12:46,0.56271
57,2022-02-09-04:12:47,0.63447
58,2022-02-09-04:12:48,0.50344
59,2022-02-09-04:12:48,0.45709
60,2022-02-09-04:12:49,0.57476
61,2022-02-09-04:12:49,0.45188
62,2022-02-09-04:12:50,0.56417
63,2022-02-09-04:12:50,0.54342
64,2022-02-09-04:12:51,0.45549
65,2022-02-09-04:12:51,0.45310
66,2022-02-09-04:12:52,0.47494
67,2022-02-09-04:12:52,0.63552
68,2022-02-09-04:12:53,0.72936
69,2022-02-09-04:12:53,0.46276
