"iteration,date,init_position,final_position,time"
0,2022-01-28-06:12:40,-1,7,51.12165
1,2022-01-28-06:12:42,7,4,2.18762
2,2022-01-28-06:12:44,4,3,2.22419
3,2022-01-28-06:12:47,3,4,2.76787
4,2022-01-28-06:12:51,4,6,3.56601
5,2022-01-28-06:12:53,6,7,2.76397
6,2022-01-28-06:12:57,7,3,3.35879
7,2022-01-28-06:12:59,3,1,2.38295
8,2022-01-28-06:13:01,1,2,2.03936
9,2022-01-28-06:13:03,2,0,1.96965
10,2022-01-28-06:13:05,0,5,2.17722
11,2022-01-28-06:13:09,5,7,3.49925
12,2022-01-28-06:13:12,7,1,3.45639
13,2022-01-28-06:13:15,1,6,2.88715
14,2022-01-28-06:13:18,6,1,2.84220
15,2022-01-28-06:13:21,1,7,2.85330
16,2022-01-28-06:13:27,7,4,6.09194
17,2022-01-28-06:13:41,4,3,8.08041
18,2022-01-28-06:13:44,3,0,2.55531
19,2022-01-28-06:13:45,0,1,1.18301
20,2022-01-28-06:13:47,1,7,1.78194
21,2022-01-28-06:13:49,7,1,2.82099
22,2022-01-28-06:13:51,1,4,1.45232
23,2022-01-28-06:13:53,4,3,2.55733
24,2022-01-28-06:13:56,3,5,2.86132
25,2022-01-28-06:13:58,5,1,2.16397
26,2022-01-28-06:14:01,1,5,2.14456
27,2022-01-28-06:14:03,5,0,2.57750
28,2022-01-28-06:14:04,0,1,1.17539
29,2022-01-28-06:14:23,1,5,18.32247
30,2022-01-28-06:14:36,5,1,4.14677
31,2022-01-28-06:14:39,1,3,2.44206
32,2022-01-28-06:14:42,3,5,2.79757
33,2022-01-28-06:14:44,5,0,2.45984
34,2022-01-28-06:14:46,0,5,2.03898
35,2022-01-28-06:14:50,5,4,3.92644
36,2022-01-28-06:14:54,4,0,4.16103
37,2022-01-28-06:14:56,0,4,1.55069
38,2022-01-28-06:14:57,4,0,1.56168
39,2022-01-28-06:14:59,0,4,1.58753
40,2022-01-28-06:15:01,4,3,2.14223
41,2022-01-28-06:15:06,3,2,4.75964
42,2022-01-28-06:15:13,2,6,6.48584
43,2022-01-28-06:15:27,6,1,11.89984
44,2022-01-28-06:15:41,1,3,13.25305
45,2022-01-28-06:16:08,3,0,20.91999
46,2022-01-28-06:16:28,0,7,19.05209
47,2022-01-28-06:16:30,7,1,1.82652
48,2022-01-28-06:16:34,1,6,3.73707
49,2022-01-28-06:16:38,6,3,4.02897
50,2022-01-28-06:16:41,3,0,2.67225
51,2022-01-28-06:16:43,0,2,2.10759
52,2022-01-28-06:16:44,2,4,1.82000
53,2022-01-28-06:16:47,4,3,2.16616
54,2022-01-28-06:16:50,3,7,3.36690
55,2022-01-28-06:16:54,7,0,3.85945
56,2022-01-28-06:16:59,0,6,4.71461
57,2022-01-28-06:17:03,6,1,4.00309
58,2022-01-28-06:17:04,1,4,1.43264
59,2022-01-28-06:17:06,4,0,1.68236
60,2022-01-28-06:17:07,0,4,1.56586
61,2022-01-28-06:17:09,4,5,1.84714
62,2022-01-28-06:17:11,5,2,2.14027
63,2022-01-28-06:17:14,2,6,3.19621
64,2022-01-28-06:17:18,6,1,3.82887
65,2022-01-28-06:17:20,1,0,1.48156
66,2022-01-28-06:17:22,0,3,2.50782
67,2022-01-28-06:17:25,3,5,2.49508
68,2022-01-28-06:17:29,5,2,3.99891
69,2022-01-28-06:17:34,2,1,4.85449
70,2022-01-28-06:17:36,1,5,2.03980
71,2022-01-28-06:17:38,5,1,2.00038
72,2022-01-28-06:17:39,1,4,1.52802
73,2022-01-28-06:17:43,4,6,3.57670
74,2022-01-28-06:17:47,6,1,3.86229
75,2022-01-28-06:17:49,1,5,2.47158
76,2022-01-28-06:17:52,5,0,2.74951
77,2022-01-28-06:17:55,0,5,3.09810
78,2022-01-28-06:17:57,5,3,2.39976
79,2022-01-28-06:18:00,3,0,2.60694
80,2022-01-28-06:18:01,0,1,1.11883
81,2022-01-28-06:18:03,1,2,2.08839
82,2022-01-28-06:18:05,2,5,1.65857
83,2022-01-28-06:18:07,5,1,2.06373
84,2022-01-28-06:18:08,1,4,1.45081
85,2022-01-28-06:18:12,4,6,3.70555
86,2022-01-28-06:18:16,6,4,3.74282
87,2022-01-28-06:18:18,4,5,1.93479
88,2022-01-28-06:18:20,5,0,2.24841
89,2022-01-28-06:18:22,0,7,2.03853
90,2022-01-28-06:18:27,7,6,5.22830
91,2022-01-28-06:18:31,6,1,3.45614
92,2022-01-28-06:18:32,1,4,1.50768
93,2022-01-28-06:18:36,4,6,3.61897
94,2022-01-28-06:18:40,6,1,4.08171
95,2022-01-28-06:18:42,1,7,1.93507
96,2022-01-28-06:18:44,7,4,2.20371
97,2022-01-28-06:18:46,4,7,2.06588
98,2022-01-28-06:18:49,7,3,3.05527
99,2022-01-28-06:18:53,3,7,3.43230
100,2022-01-28-06:18:56,7,5,3.80294
101,2022-01-28-06:18:59,5,1,2.18551
