date,init_position,final_position,time
1,2022-01-26-15:20:07,-1,4,10.146165
2,2022-01-26-15:20:10,4,2,2.701566
3,2022-01-26-15:20:14,2,5,4.337446
4,2022-01-26-15:20:21,5,6,6.113098
5,2022-01-26-15:20:25,6,5,4.824401
6,2022-01-26-15:20:29,5,0,3.181724
7,2022-01-26-15:20:31,0,1,2.363361
8,2022-01-26-15:20:34,1,2,2.910693
9,2022-01-26-15:20:38,2,7,3.988722
10,2022-01-26-15:20:41,7,5,3.595829
11,2022-01-26-15:20:44,5,4,2.904478
12,2022-01-26-15:20:47,4,5,2.571308
13,2022-01-26-15:20:49,5,0,2.400477
14,2022-01-26-15:20:53,0,5,3.342241
15,2022-01-26-15:20:55,5,1,2.735496
16,2022-01-26-15:20:58,1,2,2.448550
17,2022-01-26-15:21:02,2,3,3.944368
18,2022-01-26-15:21:05,3,7,3.658891
19,2022-01-26-15:21:10,7,2,4.094637
20,2022-01-26-15:21:12,2,0,2.373380
21,2022-01-26-15:21:16,0,6,4.427055
22,2022-01-26-15:21:21,6,2,4.512353
23,2022-01-26-15:21:24,2,5,2.630595
24,2022-01-26-15:21:27,5,7,3.366917
25,2022-01-26-15:21:31,7,3,4.275699
26,2022-01-26-15:21:35,3,5,3.406014
27,2022-01-26-15:21:39,5,4,4.420469
28,2022-01-26-15:21:43,4,6,4.298247
29,2022-01-26-15:21:49,6,7,5.144953
30,2022-01-26-15:21:50,7,1,1.927878
31,2022-01-26-15:21:55,1,6,4.180986
32,2022-01-26-15:21:59,6,0,4.485905
33,2022-01-26-15:22:01,0,1,1.632145
34,2022-01-26-15:22:03,1,0,2.043362
35,2022-01-26-15:22:08,0,3,4.758914
36,2022-01-26-15:22:11,3,0,3.081587
37,2022-01-26-15:22:17,0,3,5.980353
38,2022-01-26-15:22:21,3,7,4.537007
39,2022-01-26-15:22:24,7,3,2.649806
40,2022-01-26-15:22:28,3,0,4.047773
41,2022-01-26-15:22:32,0,6,4.384023
42,2022-01-26-15:22:39,6,4,7.119933
43,2022-01-26-15:22:44,4,1,4.761451
44,2022-01-26-15:22:47,1,2,2.814718
45,2022-01-26-15:22:49,2,4,2.158916
46,2022-01-26-15:22:52,4,7,2.618279
47,2022-01-26-15:22:54,7,1,2.259788
48,2022-01-26-15:22:58,1,3,3.618048
49,2022-01-26-15:23:02,3,2,3.974450
50,2022-01-26-15:23:04,2,5,2.424358
51,2022-01-26-15:23:08,5,7,3.735370
52,2022-01-26-15:23:14,7,1,6.020170
53,2022-01-26-15:23:17,1,2,3.010257
54,2022-01-26-15:23:20,2,4,3.064784
55,2022-01-26-15:23:23,4,3,3.389233
56,2022-01-26-15:23:26,3,4,2.658597
57,2022-01-26-15:23:28,4,1,1.875350
58,2022-01-26-15:23:30,1,4,2.078270
59,2022-01-26-15:23:32,4,1,2.265392
60,2022-01-26-15:23:34,1,4,2.034454
61,2022-01-26-15:23:38,4,2,3.421886
62,2022-01-26-15:23:42,2,6,4.155207
63,2022-01-26-15:23:46,6,4,4.393594
64,2022-01-26-15:23:51,4,0,4.796008
65,2022-01-26-15:23:53,0,4,2.466437
66,2022-01-26-15:23:59,4,2,5.979409
67,2022-01-26-15:24:04,2,3,4.388196
68,2022-01-26-15:24:08,3,0,4.330239
69,2022-01-26-15:24:14,0,5,6.018550
70,2022-01-26-15:24:18,5,2,3.339390
71,2022-01-26-15:24:20,2,0,2.232926
72,2022-01-26-15:24:23,0,3,3.157811
73,2022-01-26-15:24:26,3,1,3.315153
74,2022-01-26-15:24:29,1,3,2.753327
75,2022-01-26-15:24:32,3,1,3.128504
76,2022-01-26-15:24:37,1,6,4.491152
77,2022-01-26-15:24:41,6,1,4.348154
78,2022-01-26-15:24:44,1,2,2.723771
79,2022-01-26-15:24:46,2,4,2.571447
80,2022-01-26-15:24:49,4,1,2.524266
81,2022-01-26-15:24:52,1,2,2.739709
82,2022-01-26-15:24:55,2,7,3.591835
83,2022-01-26-15:25:00,7,5,4.475457
84,2022-01-26-15:25:02,5,0,2.739826
85,2022-01-26-15:25:04,0,1,1.790290
86,2022-01-26-15:25:07,1,5,2.981442
87,2022-01-26-15:25:10,5,2,3.116721
88,2022-01-26-15:25:13,2,0,2.605578
89,2022-01-26-15:25:15,0,2,2.521792
90,2022-01-26-15:25:19,2,7,3.475143
91,2022-01-26-15:25:24,7,1,4.786525
92,2022-01-26-15:25:28,1,6,4.500520
93,2022-01-26-15:25:33,6,0,4.787221
94,2022-01-26-15:25:38,0,5,4.671725
95,2022-01-26-15:25:41,5,6,3.660196
96,2022-01-26-15:25:46,6,0,4.641213
97,2022-01-26-15:25:49,0,3,3.332856
98,2022-01-26-15:25:53,3,7,3.594964
99,2022-01-26-15:25:56,7,4,2.596277
100,2022-01-26-15:25:58,4,1,1.964577
101,2022-01-26-15:26:01,1,3,3.464509
102,2022-01-26-15:26:05,3,2,3.824355
103,2022-01-26-15:26:07,2,5,2.215277
104,2022-01-26-15:26:10,5,1,2.741843
105,2022-01-26-15:26:13,1,5,3.237386
106,2022-01-26-15:26:17,5,3,3.607369
107,2022-01-26-15:26:22,3,2,5.536683
108,2022-01-26-15:26:27,2,6,5.166102
109,2022-01-26-15:26:32,6,1,4.475607
110,2022-01-26-15:26:34,1,4,2.200803
111,2022-01-26-15:26:36,4,0,2.224620
112,2022-01-26-15:26:40,0,3,4.085566
113,2022-01-26-15:26:45,3,1,4.463448
114,2022-01-26-15:26:48,1,2,2.697411
115,2022-01-26-15:26:50,2,1,2.818002
116,2022-01-26-15:26:54,1,3,3.220937
117,2022-01-26-15:26:59,3,2,5.614943
118,2022-01-26-15:27:03,2,7,4.209133
119,2022-01-26-15:27:07,7,6,3.757489
120,2022-01-26-15:27:12,6,3,4.667290
121,2022-01-26-15:27:15,3,1,3.495121
122,2022-01-26-15:27:18,1,7,2.859872
123,2022-01-26-15:27:23,7,2,4.820037
124,2022-01-26-15:27:26,2,0,2.925042
125,2022-01-26-15:27:29,0,5,3.381767
126,2022-01-26-15:27:32,5,1,2.985387
127,2022-01-26-15:27:35,1,7,2.516065
128,2022-01-26-15:27:39,7,2,3.984556
129,2022-01-26-15:27:42,2,0,2.698961
130,2022-01-26-15:27:45,0,5,3.163641
131,2022-01-26-15:27:48,5,2,3.728010
132,2022-01-26-15:27:51,2,1,2.999447
133,2022-01-26-15:27:54,1,0,2.426674
134,2022-01-26-15:27:56,0,4,2.261010
135,2022-01-26-15:27:59,4,0,2.613495
136,2022-01-26-15:28:01,0,1,2.235532
137,2022-01-26-15:28:04,1,2,2.746993
138,2022-01-26-15:28:06,2,4,2.659897
139,2022-01-26-15:28:09,4,3,2.943967
140,2022-01-26-15:28:13,3,5,3.156832
141,2022-01-26-15:28:17,5,6,4.657730
142,2022-01-26-15:28:22,6,7,4.395795
143,2022-01-26-15:28:26,7,2,3.938029
144,2022-01-26-15:28:31,2,5,4.997780
145,2022-01-26-15:28:35,5,6,4.247916
146,2022-01-26-15:28:38,6,3,2.976394
147,2022-01-26-15:28:41,3,4,3.179684
148,2022-01-26-15:28:44,4,5,3.297653
149,2022-01-26-15:28:48,5,3,3.253450
150,2022-01-26-15:28:51,3,4,3.230360
151,2022-01-26-15:28:53,4,7,2.674650
152,2022-01-26-15:28:56,7,3,2.893659
153,2022-01-26-15:29:00,3,0,3.516274
154,2022-01-26-15:29:02,0,2,2.577912
155,2022-01-26-15:29:05,2,1,2.568426
156,2022-01-26-15:29:08,1,5,3.328177
157,2022-01-26-15:29:13,5,3,4.176562
158,2022-01-26-15:29:15,3,4,2.876760
159,2022-01-26-15:29:20,4,6,4.409412
160,2022-01-26-15:29:25,6,1,5.202711
161,2022-01-26-15:29:27,1,7,2.217185
162,2022-01-26-15:29:30,7,1,2.282695
163,2022-01-26-15:29:32,1,0,2.101884
164,2022-01-26-15:29:34,0,1,1.957505
165,2022-01-26-15:29:37,1,5,2.884766
166,2022-01-26-15:29:40,5,3,3.414682
167,2022-01-26-15:29:45,3,7,4.543674
168,2022-01-26-15:29:49,7,3,4.258462
169,2022-01-26-15:29:52,3,2,3.621999
170,2022-01-26-15:29:55,2,1,2.839434
171,2022-01-26-15:29:57,1,4,1.924817
172,2022-01-26-15:29:59,4,0,2.127787
173,2022-01-26-15:30:02,0,4,2.231687
174,2022-01-26-15:30:07,4,2,5.483712
175,2022-01-26-15:30:13,2,5,6.031882
176,2022-01-26-15:30:16,5,3,3.027975
177,2022-01-26-15:30:20,3,5,3.722952
178,2022-01-26-15:30:23,5,0,3.603804
179,2022-01-26-15:30:27,0,3,3.692804
180,2022-01-26-15:30:31,3,2,3.526837
181,2022-01-26-15:30:35,2,6,4.343438
182,2022-01-26-15:30:40,6,4,4.791390
183,2022-01-26-15:30:44,4,2,4.024214
184,2022-01-26-15:30:46,2,4,2.504306
185,2022-01-26-15:30:49,4,1,2.181783
186,2022-01-26-15:30:51,1,5,2.775513
187,2022-01-26-15:30:55,5,7,3.466437
188,2022-01-26-15:30:58,7,4,3.253117
189,2022-01-26-15:31:01,4,7,2.747414
190,2022-01-26-15:31:04,7,1,2.741000
191,2022-01-26-15:31:08,1,6,4.023097
192,2022-01-26-15:31:12,6,2,4.574684
193,2022-01-26-15:31:16,2,7,3.725138
194,2022-01-26-15:31:21,7,4,5.206744
195,2022-01-26-15:31:24,4,5,2.823654
196,2022-01-26-15:31:28,5,6,4.464023
197,2022-01-26-15:31:33,6,1,4.772450
198,2022-01-26-15:31:37,1,6,3.736161
199,2022-01-26-15:31:40,6,3,3.005651
200,2022-01-26-15:31:44,3,1,3.638512
201,2022-01-26-15:31:48,1,6,4.419541
202,2022-01-26-15:31:54,6,3,5.922324
203,2022-01-26-15:31:58,3,2,3.898126
204,2022-01-26-15:32:00,2,5,2.622558
205,2022-01-26-15:32:04,5,1,3.647785
206,2022-01-26-15:32:07,1,4,2.538674
207,2022-01-26-15:32:12,4,2,5.808140
208,2022-01-26-15:32:18,2,1,5.871725
209,2022-01-26-15:32:21,1,2,2.515128
210,2022-01-26-15:32:24,2,1,3.061135
211,2022-01-26-15:32:28,1,3,3.579124
212,2022-01-26-15:32:31,3,0,3.418405
213,2022-01-26-15:32:33,0,4,2.266599
214,2022-01-26-15:32:36,4,7,2.799266
215,2022-01-26-15:32:40,7,6,3.967601
216,2022-01-26-15:32:43,6,3,3.405687
217,2022-01-26-15:32:47,3,5,3.166368
218,2022-01-26-15:32:51,5,6,4.071382
219,2022-01-26-15:32:54,6,7,3.864872
220,2022-01-26-15:32:59,7,4,4.842578
221,2022-01-26-15:33:05,4,7,5.692975
222,2022-01-26-15:33:08,7,1,2.521336
223,2022-01-26-15:33:10,1,4,2.094899
224,2022-01-26-15:33:12,4,0,2.264591
225,2022-01-26-15:33:15,0,5,2.803719
226,2022-01-26-15:33:18,5,1,3.234929
227,2022-01-26-15:33:21,1,7,2.794980
228,2022-01-26-15:33:26,7,6,5.136180
229,2022-01-26-15:33:30,6,4,4.163465
230,2022-01-26-15:33:33,4,3,2.957261
231,2022-01-26-15:33:38,3,5,4.760789
232,2022-01-26-15:33:43,5,3,4.944794
233,2022-01-26-15:33:46,3,4,3.170842
234,2022-01-26-15:33:48,4,0,2.184101
235,2022-01-26-15:33:51,0,2,3.046786
236,2022-01-26-15:33:56,2,6,5.092024
237,2022-01-26-15:34:01,6,1,4.352482
238,2022-01-26-15:34:03,1,4,2.175300
239,2022-01-26-15:34:06,4,3,3.064925
240,2022-01-26-15:34:11,3,2,5.539650
241,2022-01-26-15:34:18,2,3,6.073766
242,2022-01-26-15:34:21,3,0,3.426399
243,2022-01-26-15:34:24,0,5,3.370124
244,2022-01-26-15:34:27,5,1,2.635279
245,2022-01-26-15:34:29,1,4,2.191193
246,2022-01-26-15:34:32,4,2,2.866434
247,2022-01-26-15:34:35,2,7,3.479309
248,2022-01-26-15:34:38,7,4,2.578147
249,2022-01-26-15:34:41,4,7,2.940083
250,2022-01-26-15:34:45,7,6,3.657415
251,2022-01-26-15:34:49,6,0,3.868324
252,2022-01-26-15:34:51,0,5,2.762035
253,2022-01-26-15:34:58,5,2,6.298231
254,2022-01-26-15:35:02,2,5,4.460422
255,2022-01-26-15:35:05,5,4,2.869827
256,2022-01-26-15:35:07,4,1,2.493707
257,2022-01-26-15:35:11,1,3,3.209683
258,2022-01-26-15:35:16,3,2,4.988465
259,2022-01-26-15:35:22,2,7,5.900280
260,2022-01-26-15:35:25,7,4,2.925488
261,2022-01-26-15:35:27,4,0,2.562483
262,2022-01-26-15:35:31,0,6,3.991509
263,2022-01-26-15:35:36,6,4,5.023405
264,2022-01-26-15:35:41,4,2,4.310170
265,2022-01-26-15:35:45,2,3,4.270677
266,2022-01-26-15:35:49,3,1,3.793659
267,2022-01-26-15:35:51,1,4,2.370092
268,2022-01-26-15:35:55,4,2,4.381806
269,2022-01-26-15:35:58,2,0,2.883812
270,2022-01-26-15:36:00,0,1,2.008060
271,2022-01-26-15:36:03,1,5,2.734377
272,2022-01-26-15:36:07,5,3,3.882197
273,2022-01-26-15:36:10,3,0,3.266137
274,2022-01-26-15:36:13,0,2,2.739509
275,2022-01-26-15:36:15,2,5,2.484385
276,2022-01-26-15:36:19,5,3,3.284059
277,2022-01-26-15:36:23,3,0,3.956341
278,2022-01-26-15:36:26,0,5,3.438312
279,2022-01-26-15:36:29,5,3,3.268336
280,2022-01-26-15:36:33,3,6,3.607669
281,2022-01-26-15:36:39,6,0,6.028963
282,2022-01-26-15:36:44,0,6,4.708903
283,2022-01-26-15:36:48,6,4,4.106122
284,2022-01-26-15:36:53,4,0,5.354989
285,2022-01-26-15:36:58,0,3,4.587412
286,2022-01-26-15:37:02,3,1,3.779038
287,2022-01-26-15:37:04,1,0,1.725821
288,2022-01-26-15:37:06,0,1,2.206725
289,2022-01-26-15:37:09,1,2,3.136586
290,2022-01-26-15:37:12,2,1,2.981133
291,2022-01-26-15:37:16,1,5,4.374573
292,2022-01-26-15:37:20,5,6,4.168232
293,2022-01-26-15:37:25,6,4,4.577680
294,2022-01-26-15:37:28,4,2,2.986178
295,2022-01-26-15:37:31,2,5,2.488176
296,2022-01-26-15:37:33,5,1,2.864653
297,2022-01-26-15:37:37,1,5,3.784316
298,2022-01-26-15:37:41,5,6,3.704780
299,2022-01-26-15:37:45,6,4,3.983277
300,2022-01-26-15:37:50,4,6,4.614333
301,2022-01-26-15:37:55,6,7,5.123729
302,2022-01-26-15:37:58,7,2,3.607902
303,2022-01-26-15:38:02,2,1,3.191215
304,2022-01-26-15:38:05,1,2,3.174531
305,2022-01-26-15:38:07,2,0,2.769892
306,2022-01-26-15:38:10,0,1,2.141553
