"iteration,date,init_position,final_position,time"
0,2022-01-28-06:14:51,-1,0,7.12330
1,2022-01-28-06:14:52,0,4,1.59214
2,2022-01-28-06:14:54,4,7,1.93068
3,2022-01-28-06:14:57,7,2,3.14828
4,2022-01-28-06:14:59,2,4,1.82342
5,2022-01-28-06:15:06,4,2,6.44315
6,2022-01-28-06:15:12,2,5,6.60700
7,2022-01-28-06:15:25,5,4,9.77252
8,2022-01-28-06:15:33,4,7,7.99487
9,2022-01-28-06:16:08,7,5,32.24969
10,2022-01-28-06:16:28,5,2,12.66915
11,2022-01-28-06:16:33,2,3,4.70166
12,2022-01-28-06:16:35,3,5,2.44487
13,2022-01-28-06:16:38,5,1,2.54953
14,2022-01-28-06:16:43,1,6,4.73883
15,2022-01-28-06:16:49,6,3,6.19999
16,2022-01-28-06:16:52,3,6,2.98660
17,2022-01-28-06:16:56,6,0,3.71062
18,2022-01-28-06:16:58,0,2,2.26343
19,2022-01-28-06:17:00,2,0,1.74268
20,2022-01-28-06:17:03,0,3,3.80332
21,2022-01-28-06:17:06,3,2,2.67827
22,2022-01-28-06:17:10,2,1,4.21614
23,2022-01-28-06:17:14,1,6,4.00643
24,2022-01-28-06:17:18,6,5,3.51505
25,2022-01-28-06:17:20,5,2,1.81603
26,2022-01-28-06:17:23,2,3,3.35058
27,2022-01-28-06:17:27,3,1,3.52710
28,2022-01-28-06:17:28,1,7,1.86749
29,2022-01-28-06:17:30,7,4,2.02063
30,2022-01-28-06:17:32,4,1,1.41482
31,2022-01-28-06:17:34,1,7,1.79030
32,2022-01-28-06:17:35,7,1,1.75623
33,2022-01-28-06:17:37,1,0,1.15170
34,2022-01-28-06:17:40,0,3,3.66154
35,2022-01-28-06:17:43,3,6,3.27559
36,2022-01-28-06:17:48,6,1,4.13526
37,2022-01-28-06:17:49,1,0,1.21015
38,2022-01-28-06:17:53,0,3,4.05973
39,2022-01-28-06:17:57,3,0,3.86392
40,2022-01-28-06:17:59,0,5,2.24099
41,2022-01-28-06:18:01,5,3,2.25020
42,2022-01-28-06:18:03,3,6,2.11274
43,2022-01-28-06:18:07,6,7,3.54597
44,2022-01-28-06:18:10,7,1,3.45220
45,2022-01-28-06:18:14,1,6,3.66464
46,2022-01-28-06:18:18,6,3,3.90736
47,2022-01-28-06:18:20,3,7,2.23232
48,2022-01-28-06:18:23,7,0,2.87712
49,2022-01-28-06:18:28,0,3,5.19670
50,2022-01-28-06:18:32,3,7,4.13445
51,2022-01-28-06:18:35,7,0,2.48453
52,2022-01-28-06:18:37,0,2,1.93209
53,2022-01-28-06:18:40,2,7,2.76466
54,2022-01-28-06:18:44,7,1,3.95704
55,2022-01-28-06:18:47,1,6,2.99058
56,2022-01-28-06:18:50,6,2,3.52271
57,2022-01-28-06:18:54,2,6,4.21582
58,2022-01-28-06:18:57,6,1,3.13781
59,2022-01-28-06:18:59,1,0,1.16064
60,2022-01-28-06:19:01,0,7,2.20919
61,2022-01-28-06:19:04,7,0,3.55233
62,2022-01-28-06:19:07,0,5,2.19501
63,2022-01-28-06:19:09,5,1,2.27832
64,2022-01-28-06:19:10,1,4,1.51193
65,2022-01-28-06:19:19,4,2,8.31666
66,2022-01-28-06:19:30,2,4,10.86312
67,2022-01-28-06:19:33,4,5,2.69750
68,2022-01-28-06:19:36,5,0,3.00049
69,2022-01-28-06:19:40,0,6,3.91884
70,2022-01-28-06:19:45,6,1,5.15927
71,2022-01-28-06:19:47,1,4,1.70664
72,2022-01-28-06:19:51,4,6,4.58216
73,2022-01-28-06:19:56,6,4,4.69678
74,2022-01-28-06:19:58,4,3,2.38303
75,2022-01-28-06:20:02,3,1,3.59887
76,2022-01-28-06:20:04,1,7,2.29948
77,2022-01-28-06:20:09,7,4,4.55473
78,2022-01-28-06:20:16,4,6,6.78897
79,2022-01-28-06:20:32,6,7,10.72423
80,2022-01-28-06:20:42,7,5,9.72031
81,2022-01-28-06:20:50,5,2,5.34328
82,2022-01-28-06:21:02,2,3,11.26111
83,2022-01-28-06:21:08,3,1,6.24578
84,2022-01-28-06:21:12,1,2,3.71357
85,2022-01-28-06:21:16,2,6,3.86322
86,2022-01-28-06:21:27,6,5,10.78233
87,2022-01-28-06:21:40,5,1,8.55842
88,2022-01-28-06:21:50,1,4,7.46263
89,2022-01-28-06:22:01,4,3,9.15773
90,2022-01-28-06:22:24,3,6,19.67064
91,2022-01-28-06:23:04,6,2,35.95404
92,2022-01-28-06:23:07,2,0,1.99417
93,2022-01-28-06:23:08,0,1,1.15624
94,2022-01-28-06:23:09,1,4,1.38112
95,2022-01-28-06:23:11,4,2,2.30625
96,2022-01-28-06:23:13,2,0,1.86898
97,2022-01-28-06:23:17,0,5,3.36554
98,2022-01-28-06:23:20,5,4,3.62053
99,2022-01-28-06:23:23,4,2,2.68398
100,2022-01-28-06:23:28,2,0,4.61115
101,2022-01-28-06:23:30,0,2,1.87129
102,2022-01-28-06:23:31,2,4,1.84625
103,2022-01-28-06:23:33,4,0,1.90294
104,2022-01-28-06:23:35,0,4,1.67946
105,2022-01-28-06:23:37,4,5,1.84724
106,2022-01-28-06:23:39,5,2,1.80625
107,2022-01-28-06:23:41,2,0,1.96815
108,2022-01-28-06:23:45,0,6,4.34810
109,2022-01-28-06:23:49,6,4,4.01588
